"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g1462","g1462",-5.34150312854059,8.52229541587818,-41.0294145268865,1.29943728076094e-25,2.03660805013662e-21
"g13934","g13934",-4.11586852005871,8.46009405519039,-31.6711496401802,1.00827828540367e-22,6.02461829464938e-19
"g7362","g7362",-5.44469551424968,7.07167077212289,-31.5052883684679,1.15318413092249e-22,6.02461829464938e-19
"g14382","g14382",-8.66414875315177,6.27818720911415,-31.0732697484313,1.64513284488127e-22,6.44604176945604e-19
"g13803","g13803",-4.43473015367267,6.86371156454131,-30.6507501448517,2.32745421080688e-22,7.29563796919526e-19
"g14360","g14360",-8.0808543643869,7.23906322259219,-29.9634127324459,4.15768850188358e-22,1.08605753150036e-18
"g22065","g22065",-5.49217215380194,6.44472246796754,-29.0966309004812,8.767184490846e-22,1.96297260750042e-18
"g11667","g11667",-4.40273275887573,7.34772095498966,-28.2842250416864,1.80115952450673e-21,3.52869665344925e-18
"g7883","g7883",-8.30414109184347,8.23614996878324,-27.9202384921074,2.50784782133966e-21,3.73498311822942e-18
"g21687","g21687",-8.95121115715077,5.11273562223639,-27.913348560084,2.52658818830913e-21,3.73498311822942e-18
"g9973","g9973",-4.89278334182227,6.60765195159547,-27.8693490677604,2.62137525046408e-21,3.73498311822942e-18
"g23353","g23353",-6.78382370103674,7.64524147154886,-27.6798663871785,3.11836309937601e-21,3.77358869920653e-18
"g17560","g17560",-4.01481091673803,7.21358561863214,-27.6752531318495,3.1300104057733e-21,3.77358869920653e-18
"g3313","g3313",-9.21455312594663,-1.10723439681212,-27.5641812714912,3.4795051998016e-21,3.8953060711779e-18
"g15126","g15126",-7.06658646061351,5.90279305821806,-26.5440081410345,9.01748976871912e-21,9.42207447634232e-18
"g13442","g13442",-9.88018333565778,-0.747883493934226,-26.2572854651728,1.19273602046473e-20,1.16835947804648e-17
"g19229","g19229",-4.67880158401514,6.81360862870402,-26.1488101989735,1.31683826827509e-20,1.21404742227503e-17
"g10981","g10981",-11.8488996981252,4.92458394907234,-25.7444757572026,1.97864412249766e-20,1.7228494073281e-17
"g14384","g14384",-3.48088889373168,7.9538350502446,-25.2254275190733,3.26316159383535e-20,2.69176482422008e-17
"g17480","g17480",-8.46838879491364,4.52613335723476,-25.0447090211122,3.92083358040082e-20,3.0725612352811e-17
"g15581","g15581",-10.089425567724,5.30727221265225,-24.8963825465964,4.57198234278636e-20,3.41222282183289e-17
"g9979","g9979",-13.8677493711542,2.423943528577,-24.823008722861,5.01951196706954e-20,3.57594595726732e-17
"g5591","g5591",-11.3241243804479,4.47193514601841,-24.6361220500378,5.98507363529827e-20,4.07843735156651e-17
"g5194","g5194",-7.58935188076785,7.02206533785804,-24.5706557377095,6.33558387249111e-20,4.13740025139805e-17
"g18206","g18206",-3.43553621384068,8.14880242128112,-24.4464068101224,7.18858567395237e-20,4.50666813071422e-17
"g23556","g23556",-14.6197816765569,1.93083465102987,-24.4033019124358,7.7503436947452e-20,4.67196679722083e-17
"g15656","g15656",-14.4855143759621,2.38685724962581,-24.0571545590587,1.10878705373945e-19,6.43630351602162e-17
"g6570","g6570",-4.30103356893242,9.03724644081831,-23.9221541419656,1.23930969735753e-19,6.93703603095877e-17
"g14187","g14187",-15.4172302113119,3.5821425709566,-23.3489758921289,2.36297318373355e-19,1.26962230755107e-16
"g21514","g21514",-3.23972296795389,8.22342948281145,-23.2881680365245,2.43020922775041e-19,1.26962230755107e-16
"g20359","g20359",-3.07921551469761,6.58112077637824,-23.1919851497723,2.69554988417096e-19,1.3628178495036e-16
"g11913","g11913",-14.5376783951718,2.72530523856524,-22.8793275637571,3.90384047679244e-19,1.88910231759521e-16
"g15778","g15778",-9.16901262062824,6.14534335196012,-22.8377168431228,3.97756501503489e-19,1.88910231759521e-16
"g14186","g14186",-15.1789272857035,3.08400557729879,-22.8391422048902,4.09897575570663e-19,1.88950726527029e-16
"g15701","g15701",-9.7710815884366,4.62442529760293,-22.7480214305901,4.39591303690028e-19,1.96848985792395e-16
"g12147","g12147",-14.8613707850789,2.78273929524079,-22.7049845150052,4.73797844769604e-19,2.02111640851119e-16
"g10895","g10895",-15.3036106451782,2.53303812728573,-22.7016851977,4.77134608019613e-19,2.02111640851119e-16
"g2171","g2171",-14.9519689902461,2.91408964486041,-22.462912413733,6.19704023626117e-19,2.5559529374453e-16
"g15336","g15336",-14.8319483611015,2.69942743898803,-22.4326644492669,6.40327018859844e-19,2.57329368374111e-16
"g19335","g19335",-14.1604775647368,2.00906861328893,-22.2916370530485,7.4581809342496e-19,2.92230174456235e-16
"g9583","g9583",-7.29539831371792,4.74501128890148,-22.0659497240622,9.35251369942914e-19,3.57516944417446e-16
"g1319","g1319",-14.3012183821543,2.52731284111672,-22.0660102669497,9.62159993446129e-19,3.59046037554314e-16
"g10587","g10587",-14.9594349211937,2.6661833466132,-22.0216818866669,1.01655515938469e-18,3.70522535186891e-16
"g294","g294",-14.4839623293415,2.18330197856994,-21.9721949094074,1.07135847651912e-18,3.81622759147366e-16
"g17515","g17515",-3.63374593825901,6.94432326928356,-21.754433549641,1.33126182492045e-18,4.63663701821738e-16
"g882","g882",-5.24813091124548,5.37622744192105,-21.6748178961417,1.45848107524774e-18,4.88088736151464e-16
"g18285","g18285",-5.22014153422104,4.96038938595195,-21.6717178460527,1.46367451024812e-18,4.88088736151464e-16
"g10811","g10811",-13.5541501083765,1.45892125855594,-21.5359153637744,1.75350149486151e-18,5.72554769353424e-16
"g9600","g9600",-15.1559454742072,2.77900011482858,-21.5088575156423,1.83029309773258e-18,5.85432320831892e-16
"g11140","g11140",-14.0038606224471,1.98617735273906,-21.426009121732,1.9974497811493e-18,6.26120608399058e-16
"g3058","g3058",-11.8916700362808,4.25003445399674,-21.3808280319941,2.07788763171848e-18,6.30740757645422e-16
"g14697","g14697",-14.0429013898705,1.75229308303561,-21.3861260883968,2.0926765391158e-18,6.30740757645422e-16
"g19660","g19660",-14.0392104821766,1.7503198719678,-21.3278741743495,2.2393356746119e-18,6.51346625339719e-16
"g3915","g3915",-6.58209766525245,-2.53513068926876,-21.3025237813012,2.24415987802876e-18,6.51346625339719e-16
"g2721","g2721",-13.9735418783881,2.40654241497102,-21.2185168981112,2.5430808825808e-18,7.21797450641462e-16
"g4016","g4016",-14.3506175171677,3.10228618141059,-21.2000621540316,2.60561961992725e-18,7.21797450641462e-16
"g15569","g15569",-12.9929771867243,3.55569044873277,-21.1858785107999,2.62505293731662e-18,7.21797450641462e-16
"g5398","g5398",-14.8394569141837,3.74067384078924,-21.0888169599913,2.97989334270987e-18,8.05239109660204e-16
"g20165","g20165",-13.7656747174387,1.79652069343095,-21.0300303857268,3.16879460824802e-18,8.41771489746969e-16
"g4486","g4486",-7.55506535528696,-1.21001503574799,-20.9806383018817,3.27672577892071e-18,8.55935385550404e-16
"g5624","g5624",-14.0285032357615,2.56111663728657,-20.9422447917962,3.52157777551917e-18,9.04814565175607e-16
"g2756","g2756",-14.7499969173339,2.59753003398726,-20.9228831706272,3.62235617491828e-18,9.15696585959584e-16
"g19963","g19963",-14.7701071886877,2.98849507776872,-20.8268014188338,4.06069751550885e-18,1.01021130413603e-15
"g9601","g9601",-9.80845681740785,-0.601027771431841,-20.781734200647,4.1685139280684e-18,1.02082998116587e-15
"g7859","g7859",-12.1885327339147,4.20578673140058,-20.7343674427634,4.4568324835856e-18,1.07390517108598e-15
"g1775","g1775",-11.6583999124328,0.20522951657972,-20.7198210978363,4.52228298932396e-18,1.07390517108598e-15
"g6988","g6988",-8.13323091067591,8.04720341583969,-20.5363627512035,5.57087579105537e-18,1.29573264405253e-15
"g12672","g12672",-14.0935990089702,2.43382929368662,-20.5508291852712,5.62175842503488e-18,1.29573264405253e-15
"g17144","g17144",-7.86496483185821,5.51920894400973,-20.5029787962044,5.79725206932587e-18,1.31317740721086e-15
"g15682","g15682",-13.7230143365013,1.64148346027573,-20.5135142209823,5.86501745069612e-18,1.31317740721086e-15
"g15992","g15992",-11.7208848234798,3.97706535643676,-20.4509126330876,6.24970296695669e-18,1.37959992395933e-15
"g4672","g4672",-14.041727294275,1.94516353120303,-20.450558599737,6.3423592426746e-18,1.38060828347832e-15
"g20216","g20216",-13.2728085895114,1.53115317397787,-20.4178891685597,6.56356171910663e-18,1.40918770991176e-15
"g12498","g12498",-14.2873522932217,2.14801492160976,-20.3230604052776,7.41579690815845e-18,1.57064574245361e-15
"g21447","g21447",-14.444442765167,2.79215807889821,-20.2942405009822,7.68932341971592e-18,1.6068635460961e-15
"g4123","g4123",-14.0484268847981,1.85712600345619,-20.2371889596091,8.21933343698949e-18,1.69502122313074e-15
"g10300","g10300",-6.57104323001445,4.5877014197439,-20.1598108185404,8.78556846448705e-18,1.78826252654423e-15
"g9602","g9602",-13.8296165656141,1.79366650539887,-20.1516410319341,9.11154269199631e-18,1.82602889656691e-15
"g13754","g13754",-13.0416316156064,1.41691385527824,-20.1390997528179,9.20412702282816e-18,1.82602889656691e-15
"g8005","g8005",-6.91495620478202,5.68011996623649,-20.0938556244567,9.52749937417548e-18,1.86655622114315e-15
"g15681","g15681",-12.9636824064727,0.907232235101971,-20.0971222865579,9.68572912256677e-18,1.8741287967653e-15
"g8869","g8869",-14.8050002020704,2.81194012877654,-20.0524621564663,1.0365341063159e-17,1.98117061564502e-15
"g3189","g3189",-15.3344293028174,3.24207890414508,-20.0101271260545,1.09656411107776e-17,2.05959667270768e-15
"g13545","g13545",-12.2811611021147,0.539488554922214,-19.9875813963007,1.10384814973167e-17,2.05959667270768e-15
"g3180","g3180",-14.909987430499,3.78359515774094,-19.9185201119042,1.22383226450389e-17,2.23066445164255e-15
"g17850","g17850",-13.5913415964555,1.61101803129018,-19.9087770596886,1.22679687774763e-17,2.23066445164255e-15
