	A	Coef	t	P.value	F	F.p.value	Results	genes
g100	2.2781270528696	-0.510851257253372	0	0.983758382352117	5.5619332465384	0.026088695028534	0	g100
g10000	4.44146773817311	1.64727365459127	3.3400821227028	0.00126123072655889	72.2553374930896	5.21928304632309e-09	1	g10000
g10004	0.113357290884671	1.33725420268791	1.24597975808301	0.111897652146512	24.4081675638192	3.85320761097414e-05	0	g10004
g10005	-0.472498422268357	-6.98616522360663	-10.9488667868351	1.41223524482478e-11	163.274607906463	9.12628818791168e-13	-1	g10005
g10006	1.46646681414049	-8.60246812377409	-7.75908415682494	1.49344310046261e-08	77.0828658802202	2.76625462139505e-09	-1	g10006
g10009	0.70403525536316	-12.5871347803548	-14.5830895172169	2.20886734470763e-14	250.957818870587	6.10904993399772e-15	-1	g10009
g10013	3.90381300726395	-1.0065988188371	-0.0695909547426073	0.47252375610475	112.690164148565	5.49144524418896e-11	0	g10013
g10015	4.60361742146081	-0.0166601379259212	0	0.999999999994262	0.0351810825737893	0.852661322303691	0	g10015
g10016	2.27216326269929	-0.758425199922885	0	0.968938940014885	37.4263125116687	1.75867252521306e-06	0	g10016
g10017	2.9637568718082	-0.501351880490446	0	0.999999743538472	44.031640275601	4.68552601842728e-07	0	g10017
g10018	4.59166303554513	-0.219095650027898	0	0.999999999999976	16.5935226900172	0.000381151249022992	0	g10018
g10019	4.85438896648934	-0.650991039140071	0	0.999999491269513	139.437433740348	5.37161881139932e-12	0	g10019
g10020	2.11357102437983	-0.269312102654358	0	0.999999942997412	7.04710816609732	0.0133228935297248	0	g10020
g10021	4.52596889278658	-1.56609903572032	-4.89443457398461	2.17653059398099e-05	183.340608761368	2.4232275472661e-13	-1	g10021
g10025	3.73817411247035	-0.396041856987393	0	0.997479418691561	4.02981202450386	0.0551175690796621	0	g10025
g10026	4.99793236766894	0.0801354195062869	0	0.999999999999836	1.35234850632175	0.255347584668347	0	g10026
g10027	3.33619504122097	-0.154913195714029	0	0.999995551887714	1.013979651866	0.323158394201048	0	g10027
g10028	-0.484543422074281	1.30141548500106	0.955340947875228	0.174067507110345	17.014437875248	0.00033310174200381	0	g10028
g10029	2.52546185217689	1.58895826756138	2.83258668944183	0.00438164925162951	58.4012788060803	3.91428349469687e-08	1	g10029
g10030	6.22945283627282	0.225339344644945	0	1	29.8118788886446	9.76680677181922e-06	0	g10030
g10031	5.24883073263744	-0.100071761015941	0	1	3.92219184439421	0.058240113114833	0	g10031
g10032	6.14925334847146	-1.13065741908859	-0.512503875318752	0.306295459244064	19.6692694855167	0.000147035351253742	0	g10032
g10033	1.00738712629987	1.06535069449881	0.162214924890847	0.436202167962451	6.99304610673146	0.0136422826029169	0	g10033
g10034	8.04187038620706	-1.60360055904653	-5.68937510732899	2.67589609168696e-06	228.466362835287	1.85979244102763e-14	-1	g10034
g10035	4.12780436479163	-0.445611982663551	0	0.999999999011902	51.5164268877432	1.21234119260362e-07	0	g10035
g10036	5.11620974202043	-1.4528007400257	-4.78682260639382	2.89499482634889e-05	235.880758496195	1.27496055132658e-14	-1	g10036
g10037	6.89647121331136	0.185586439407504	0	1	32.2187695835836	5.54004675951766e-06	0	g10037
g10038	6.14250802315809	-0.698113732440373	0	0.999998639394178	189.256916013635	1.67941789839468e-13	0	g10038
g10039	3.42233579569399	-0.8442631695726	0	0.645052633346045	0.356966629432673	0.555323300905896	0	g10039
g1004	-1.46919315320925	2.2178692057769	2.94660757091221	0.0033324331361072	28.794872773941	1.25071389531217e-05	1	g1004
g10040	3.00688975311773	-1.55487366664213	-1.3717923795158	0.0908795536049507	14.776744355407	0.000693924409786437	0	g10040
g10041	5.89000898271136	-0.00174096217233277	0	1	0.00244997002570523	0.960898388321392	0	g10041
g10042	4.7419840124195	-0.953577580930642	0	0.718526662037241	144.851108293103	3.51480142753856e-12	0	g10042
g10043	5.95941208995563	-0.105451173977348	0	0.999999999999999	3.89841015519705	0.0589567092195008	0	g10043
g10044	8.99413743539217	0.530570781000469	0	0.999999999919455	130.080831386204	1.15680260429755e-11	0	g10044
g10045	3.79229001401014	-0.0482779733207228	0	0.999999999999999	0.711464174852399	0.4065911640486	0	g10045
g10047	4.04383457873205	-0.30933553907924	0	0.999999999999532	32.6820280637289	4.98127500404713e-06	0	g10047
g10048	2.84885120041343	0.717522040962645	0	0.88882772750387	10.0815024230061	0.00380831998649041	0	g10048
g10050	-0.664862580442133	-0.294867580501863	0	0.870536383805485	0.156041451730955	0.696024249922008	0	g10050
g10051	2.24169774404165	3.67996212351816	4.76090160639977	3.10132339819089e-05	42.7373704313592	6.00881435578281e-07	1	g10051
g10052	0.289235987314235	-4.31609243609565	-7.98109719311003	8.7288602686158e-09	107.907943960242	8.7243946979443e-11	-1	g10052
g10053	1.27403665594556	-6.11081114810242	-6.75813168527656	1.72413738983934e-07	65.2937117320799	1.38175298351449e-08	-1	g10053
g10054	0.00148365713158352	-6.40613207613874	-6.98847762747281	9.69990923661376e-08	68.5778131110834	8.65032151200045e-09	-1	g10054
g10055	5.00091431334608	0.652115921922651	0	0.988786392746813	20.6871348998481	0.000108940243664856	0	g10055
g10056	2.18374053535737	2.19415852945311	2.77447659278558	0.00502981844230129	25.988078220882	2.53993104310604e-05	1	g10056
g10057	5.01787591001823	1.35262310425596	1.74055732789236	0.0467459069068733	44.5767845152889	4.22541151811453e-07	0	g10057
