"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g13530","g13530",5.65760901941651,6.04104472289721,20.6641884265564,2.4506503568082e-17,4.59472435397969e-13
"g9061","g9061",6.51879027865686,-3.07378944834512,18.0279467569828,5.72528648618237e-16,5.36716981647166e-12
"g18439","g18439",8.26710235774873,-1.7074944232765,15.8021256981266,1.13919894201429e-14,7.11961365460865e-11
"g4593","g4593",8.68402397975903,-2.65478592467052,13.7459267031593,2.50057183659057e-13,1.17208053410592e-09
"g13191","g13191",5.67815732671688,-3.59965306503292,13.1788745763786,6.21229335773833e-13,2.21023411302221e-09
"g4057","g4057",8.9672520081443,-0.890300193727616,13.1040232189332,7.0731263950788e-13,2.21023411302221e-09
"g21295","g21295",7.95253285486872,-2.73180665248218,12.7873691421255,1.1937273330349e-12,2.60940643394597e-09
"g864","g864",6.97120562332301,-3.29326780548207,12.7816564494727,1.20269962601902e-12,2.60940643394597e-09
"g4056","g4056",6.92330383880083,-2.78493767931802,12.7574291526863,1.25258189266168e-12,2.60940643394597e-09
"g4591","g4591",5.2169803665885,-4.50301262580757,11.4542628297035,1.22107773939988e-11,2.28939865360084e-08
"g20279","g20279",8.90546604724907,-1.82221854770273,11.1294281596033,2.23476260446012e-11,3.80905127918389e-08
"g20277","g20277",7.11416145456704,-2.54648119205931,10.9374082701015,3.17897997817343e-11,4.9668913008978e-08
"g8819","g8819",-8.2584812390152,-2.49816062703878,-10.8627037311519,3.67080225731694e-11,5.29414396326426e-08
"g1128","g1128",3.7253542648751,5.11022361243524,10.6436279437151,5.53186209586736e-11,7.40834874538694e-08
"g9057","g9057",-4.13033008337147,5.11379232355591,-10.3494631084434,9.7555490179427e-11,1.21937859024938e-07
"g12841","g12841",-4.92157849397637,-3.17394147146104,-9.91942961729836,2.27872428879413e-10,2.62484637638274e-07
"g7822","g7822",7.54792042027136,-1.96666527710146,9.89960434564638,2.37998764726154e-10,2.62484637638274e-07
"g20018","g20018",4.9718451645115,4.0163499984528,9.8229359365074,2.76519224755819e-10,2.87975813172606e-07
"g10968","g10968",8.10702307025867,-2.24303861905044,9.7990643650828,2.91831055004508e-10,2.87975813172606e-07
"g1208","g1208",5.74121826379639,-2.87207324622198,9.58907060405026,4.44314625914779e-10,4.16522746063809e-07
"g6329","g6329",-5.80561697138791,-2.30566492673059,-9.53925818253988,4.91965486054738e-10,4.39231471335251e-07
"g9195","g9195",-5.44389220424138,-3.25386657645829,-9.51527223302068,5.16589861708759e-10,4.40251968962615e-07
"g13321","g13321",5.98608555838521,-3.17629273729504,9.35565607493542,7.18113736209395e-10,5.85232712248661e-07
"g12378","g12378",5.03421249736939,-4.36092432912816,9.3348867940314,7.49137825695657e-10,5.85232712248661e-07
"g4055","g4055",6.10755814625746,-1.5654888331978,9.26756855166488,8.62377126727961e-10,6.29595054081185e-07
"g1060","g1060",6.44570504428207,1.46874961573104,9.26189681422963,8.73085039528018e-10,6.29595054081185e-07
"g4224","g4224",10.0191570831437,-1.05943673259372,9.23742227571019,9.33842956728614e-10,6.48467466507585e-07
"g17872","g17872",-6.14273810065935,-2.27177931689396,-9.09277147386555,1.24349663263378e-09,8.31173806439266e-07
"g22782","g22782",-4.92611708945392,-3.68578332480764,-9.07645645745523,1.2856173868867e-09,8.31173806439266e-07
"g13497","g13497",-5.01586961986323,2.23119189734197,-8.91637910019046,1.80435290183818e-09,1.12766041855213e-06
"g17204","g17204",-3.66013279657469,2.48590490866289,-8.84053163745901,2.1206227026872e-09,1.28256629202201e-06
"g13531","g13531",6.05668542366972,-1.64092329548502,8.76039633508031,2.52100418925038e-09,1.47707211075798e-06
"g2645","g2645",9.00902319823998,-1.05728111793734,8.5973467581527,3.62596793761864e-09,2.06009917764884e-06
"g20085","g20085",6.9389276621674,-2.49687636895536,8.51653397818231,4.28220031246881e-09,2.36138157819052e-06
"g354","g354",3.4791461153844,1.52955082281615,8.36313508038182,5.97316739269411e-09,3.19974044130348e-06
"g1438","g1438",-7.27561762589068,-0.909568104417175,-8.21666311112936,8.295469942178e-09,4.32032683183043e-06
"g13495","g13495",-4.5159047939962,1.62898151291483,-8.17903363782274,8.97850385558682e-09,4.54967483211884e-06
"g11908","g11908",7.80652527360531,-3.20954999411971,8.13181447243226,1.00435272830375e-08,4.95542350078081e-06
"g3541","g3541",-5.94871398313513,1.10435879390269,-8.09569642724141,1.08259919647596e-08,5.20452623967377e-06
"g5582","g5582",6.66922990289094,-2.52122714658298,8.07439151354141,1.13722462690719e-08,5.33045613247072e-06
"g19261","g19261",5.09013707337875,-2.19973946680655,8.03717015281165,1.23313250026411e-08,5.63902469450045e-06
"g4590","g4590",10.0256223055824,-0.634168513675473,7.94507817839883,1.55152804600902e-08,6.92609507967216e-06
"g4594","g4594",5.84641511036799,-4.28471564844688,7.84679165787368,1.89665970925476e-08,8.26987741600407e-06
"g4497","g4497",-4.53463293938013,-4.69038008328903,-7.77554517296779,2.22778298675611e-08,9.49288709515687e-06
"g19940","g19940",2.11087321301498,3.20978158819909,7.75899053577539,2.31312642559982e-08,9.63751274523799e-06
"g20686","g20686",7.30429512231504,-1.53919477487437,7.66587823438415,2.87813113086819e-08,1.17308870810104e-05
"g22271","g22271",5.53003645530894,-3.20013134561818,7.6357179652677,3.07010074383151e-08,1.22470891161909e-05
"g8364","g8364",4.53214440399898,-3.67511319706898,7.57834080588847,3.50083575777354e-08,1.367441033802e-05
"g13171","g13171",4.26545317255336,-3.64833089780416,7.51647705486039,4.03808146233339e-08,1.54510182320997e-05
"g20048","g20048",9.41478953854731,-0.808916693247435,7.34208198016717,6.18159376469212e-08,2.31797402988425e-05
"g21179","g21179",8.58789037374784,-1.29249513136803,7.2711201754358,7.25171798440056e-08,2.64644076769082e-05
"g6067","g6067",6.42877272340756,-1.80987258301527,7.26122466307458,7.33985385460145e-08,2.64644076769082e-05
"g13042","g13042",-4.68428916305636,-1.80806379306088,-7.2398261206714,7.69686214180745e-08,2.71989933247262e-05
"g2882","g2882",-4.51549131973377,-3.6778409373063,-7.22875541206589,7.89908194238644e-08,2.71989933247262e-05
"g3239","g3239",11.7528838009823,0.379111544677392,7.24241405994125,8.01237333229098e-08,2.71989933247262e-05
"g20049","g20049",9.30233359092322,-0.817865743315289,7.22532682895073,8.12386594583535e-08,2.71989933247262e-05
"g23415","g23415",6.31754698737854,-2.85090089654184,7.17748295916772,8.93527607222362e-08,2.93907879084422e-05
"g3503","g3503",7.08041777363984,-0.158626758596758,7.15597812389416,9.4262182530238e-08,3.04710631079213e-05
"g23072","g23072",7.43506710109103,-2.37825652710286,7.07859746775764,1.13401737573858e-07,3.60367657249537e-05
"g1218","g1218",5.5139178908546,-2.92829912239306,7.00292457081011,1.34869249701463e-07,4.21443927108787e-05
"g14658","g14658",6.04810818385307,-2.22815660723058,6.9258673546802,1.62249826398701e-07,4.98692130352334e-05
"g15798","g15798",-7.74699591125589,0.16657361380936,-6.90771023092678,1.70711317305719e-07,5.16236530349183e-05
"g2809","g2809",6.85943360847639,-2.19445616297905,6.89215997629265,1.76359627812448e-07,5.24851851088187e-05
"g22202","g22202",-3.3800696106257,1.77054793153249,-6.82472498815966,2.06235237334433e-07,6.04172572622389e-05
"g8084","g8084",2.9775448483463,-0.447794895871284,6.73747166836203,2.54410544633215e-07,7.33837430973561e-05
"g15797","g15797",-8.44630191970772,0.591412121802686,-6.70625739650497,2.78667754731961e-07,7.91627535374171e-05
"g18233","g18233",5.76327475977877,-2.61263173292592,6.62787753600235,3.3224157240623e-07,9.29730931499164e-05
"g18174","g18174",4.44154598830222,-4.41690037657816,6.59965603888276,3.55182793721317e-07,9.6969163311074e-05
"g1211","g1211",-5.20792079522026,-3.64142013530206,-6.59799531319602,3.56865553814289e-07,9.6969163311074e-05
"g3814","g3814",-5.28070470496321,0.0825277774623995,-6.54684194452514,4.04172148881586e-07,0.000108254623134012
