"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g1462","g1462",5.20560229631344,8.52092649630345,28.1219304754475,1.71322216547484e-20,3.21212023804878e-16
"g17560","g17560",4.08504878503743,7.21221669905742,22.3433993049513,3.95109924149019e-18,2.78547791265023e-14
"g7362","g7362",5.4501289341676,7.07030185254817,21.6649170008636,8.1334789675371e-18,2.78547791265023e-14
"g13803","g13803",4.48050143531534,6.86234264496659,21.5939243239297,8.78081170347194e-18,2.78547791265023e-14
"g23353","g23353",7.11180664117621,7.64387255197414,21.5025358615865,9.70727985996344e-18,2.78547791265023e-14
"g14382","g14382",8.53363452483245,6.27681828953943,21.4736585325519,1.00431118531803e-17,2.78547791265023e-14
"g13934","g13934",4.10409601851208,8.45872513561567,21.4380608298348,1.03996721897443e-17,2.78547791265023e-14
"g22065","g22065",5.40591452154002,6.44335354839282,21.055445588359,1.58324563761697e-17,3.08442071887223e-14
"g14360","g14360",8.52007617947497,7.23769430301747,21.030058770932,1.63447421247099e-17,3.08442071887223e-14
"g15126","g15126",7.31790188270686,5.90142413864334,21.0220927355389,1.64511212271173e-17,3.08442071887223e-14
"g9973","g9973",4.99997576191454,6.60628303202075,20.6136683047566,2.59385697936221e-17,4.42111131873292e-14
"g11667","g11667",4.38671840478194,7.34635203541494,19.7034935983924,7.39550411148719e-17,1.15548588821894e-13
"g19229","g19229",4.71074583065174,6.8122397091293,19.3798866452242,1.0846029016984e-16,1.5642476772264e-13
"g21687","g21687",9.01677206364549,5.11136670266167,18.9122809096041,1.91571546259282e-16,2.56555351486806e-13
"g7883","g7883",8.72321620121686,8.23478104920851,18.7256750487148,2.4047689061935e-16,3.00580081481479e-13
"g14384","g14384",3.38549700027933,7.95246613066988,18.1997337715502,4.60400779538879e-16,5.39503388473402e-13
"g17480","g17480",8.42558283829447,4.52476443766004,17.9586806963534,6.27256426198055e-16,6.91790043222785e-13
"g5194","g5194",8.11494031451064,7.02069641828332,17.7093271832639,8.62809369517019e-16,8.987118260597e-13
"g10981","g10981",12.316827691007,4.92321502949762,17.6536864167809,9.45775181883036e-16,9.3328099395395e-13
"g21514","g21514",3.05853472827216,8.22206056323673,17.5441229955843,1.06513703282771e-15,9.98512711424334e-13
"g5591","g5591",11.4352684341188,4.47056622644369,17.1117442495861,1.91310980318023e-15,1.70804265237267e-12
"g3313","g3313",9.21257630654924,-1.10860331638685,17.0482377686844,2.05889217888661e-15,1.75464406645205e-12
"g15581","g15581",10.240723287384,5.30590329307752,16.9827875303934,2.25670158147833e-15,1.83960425874509e-12
"g18206","g18206",3.38782199993128,8.14743350170639,16.8182198879608,2.78362842275693e-15,2.11783626740537e-12
"g18285","g18285",5.25667646250276,4.95902046637723,16.8076516820745,2.82393229959647e-15,2.11783626740537e-12
"g9979","g9979",13.754699089084,2.42257460900227,16.5659392087935,4.05968481994096e-15,2.92750118034896e-12
"g12147","g12147",14.2782973163763,2.78137037566606,16.5271945804705,4.30002403083302e-15,2.98596853904031e-12
"g20359","g20359",3.06103163790951,6.57975185680352,16.2393196327419,6.14342289846181e-15,4.11367985440216e-12
"g13442","g13442",9.89887930375528,-0.749252413508949,16.2022043471352,6.53123579115747e-15,4.22255654649695e-12
"g3567","g3567",8.47259179576883,3.00822791326909,16.01288247299,8.46440845989144e-15,5.28997314048349e-12
"g15778","g15778",9.840366520568,6.1439744323854,15.936100396361,9.47823415943557e-15,5.73249716952444e-12
"g15569","g15569",13.5100871755733,3.55432152915804,15.9150784206364,1.00039171493065e-14,5.86135758226089e-12
"g17162","g17162",12.7882290962444,3.9118063680344,15.8802794744049,1.04469502367966e-14,5.93545060574846e-12
"g1319","g1319",13.9604835431775,2.52594392154199,15.7706768328367,1.23243695403039e-14,6.79616483856347e-12
"g21148","g21148",8.27101131629741,-1.33460557585886,15.7027894503197,1.31225862913341e-14,7.02958201074921e-12
"g15701","g15701",10.2545545575871,4.6230563780282,15.662345941803,1.40108359027224e-14,7.29692117611505e-12
"g6570","g6570",4.18821206150768,9.03587752124359,15.5959694598976,1.52309287482571e-14,7.71796440813708e-12
"g3058","g3058",11.9047045392876,4.24866553442201,15.5730493447026,1.60857589106412e-14,7.93662878462135e-12
"g3189","g3189",14.8102030028398,3.24070998457035,15.5544996708721,1.69241863262741e-14,8.13619408798237e-12
"g22861","g22861",4.55106290115636,6.04983803993908,15.5022243007575,1.74305455537992e-14,8.1648080878533e-12
"g9583","g9583",7.58975732399784,4.74364236932675,15.4871771803707,1.7854665934289e-14,8.1648080878533e-12
"g882","g882",5.22631849164113,5.37485852234632,15.4085433019471,1.9961026240809e-14,8.76800354975496e-12
"g3476","g3476",10.6326409388245,4.65192587853618,15.4128527933505,2.01090272888935e-14,8.76800354975496e-12
"g15992","g15992",11.2818411689152,3.97569643686204,15.3892968859934,2.08892111536589e-14,8.90117772545343e-12
"g14187","g14187",15.6547004078442,3.58077365138187,15.3339166623751,2.34845839429034e-14,9.69921432611996e-12
"g3180","g3180",15.0118404704338,3.78222623816621,15.3205748368277,2.37966749694127e-14,9.69921432611996e-12
"g23556","g23556",14.7349875693045,1.92946573145515,15.2305998759438,2.70694397864754e-14,1.07984026926942e-11
"g10587","g10587",14.9612651585281,2.66481442703848,15.163858896949,2.99188794106152e-14,1.16864389597838e-11
"g15656","g15656",14.3926172470116,2.38548833005109,15.1060069216623,3.24056974548493e-14,1.23994779914484e-11
"g2171","g2171",14.6908643367508,2.91272072528569,15.0870611005413,3.3416946526495e-14,1.25306866085051e-11
