"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g1462","g1462",5.18880558526849,8.52092649630345,27.7379487448552,2.37732024285398e-20,4.45723772332693e-16
"g14360","g14360",7.47698257213592,7.23769430301747,22.9150890066643,2.18749246196463e-18,2.05066480846874e-14
"g23353","g23353",6.10441476735405,7.64387255197414,22.098082582776,5.11948152690213e-18,3.1995053049296e-14
"g15126","g15126",6.48051918690952,5.90142413864334,21.3568684319451,1.1370205072999e-17,5.32949937284146e-14
"g7362","g7362",5.22523609702498,7.07030185254817,21.0345002742167,1.62034059667527e-17,6.07595316941292e-14
"g14382","g14382",8.57911921301685,6.27681828953943,20.7217166194653,2.3059577331499e-17,6.16394001908183e-14
"g13803","g13803",4.28154394139719,6.86234264496659,20.6296297264512,2.54743444273264e-17,6.16394001908183e-14
"g13934","g13934",3.98458085656968,8.45872513561567,20.5929729643537,2.65499893361268e-17,6.16394001908183e-14
"g22065","g22065",5.28257879036574,6.44335354839282,20.4937463384414,2.97088136980782e-17,6.16394001908183e-14
"g7883","g7883",7.70425371131931,8.23478104920851,20.3526999500211,3.49513871313395e-17,6.16394001908183e-14
"g17560","g17560",3.7261324344025,7.21221669905742,20.3209545022908,3.61637101764895e-17,6.16394001908183e-14
"g13530","g13530",5.47557250288433,6.04104472289721,20.0458519313431,4.96267277417084e-17,7.75376265357743e-14
"g9973","g9973",4.56110006098568,6.60628303202075,19.747149662737,7.02624739822637e-17,1.01334701899497e-13
"g5194","g5194",6.82780190696843,7.02069641828332,19.3176660201285,1.16933764501912e-16,1.56599367903311e-13
"g21687","g21687",8.75587209454412,5.11136670266167,18.8003902577123,2.19441653335746e-16,2.73517941317776e-13
"g11667","g11667",4.19225938292026,7.34635203541494,18.7461584376676,2.33414425360521e-16,2.73517941317776e-13
"g19229","g19229",4.349268417401,6.8122397091293,18.3525389004245,3.80080680944393e-16,4.19184275707437e-13
"g10981","g10981",11.2731036395477,4.92321502949762,18.2507110366559,4.38810569386497e-16,4.37499493488966e-13
"g15778","g15778",8.13848026679005,6.1439744323854,18.2322565247009,4.43356465746993e-16,4.37499493488966e-13
"g17480","g17480",8.28853335478852,4.52476443766004,17.7960157197799,7.7205969064577e-16,7.23767356995877e-13
"g15581","g15581",9.71899693368851,5.30590329307752,17.3458056490308,1.39184160563461e-15,1.24264944114492e-12
"g14384","g14384",3.26479817804584,7.95246613066988,17.2593872566694,1.54620600128302e-15,1.31771892354797e-12
"g21514","g21514",3.0167363115188,8.22206056323673,17.1330904271569,1.82723328999707e-15,1.48951291105022e-12
"g5591","g5591",11.0943296382908,4.47056622644369,17.0664377347103,2.02772253335889e-15,1.58407374074775e-12
"g18439","g18439",8.69522358463372,-1.7074944232765,16.846608832441,2.69235575573513e-15,2.01915912257112e-12
"g3313","g3313",9.08131609618423,-1.10860331638685,16.7896764173588,2.9107527746337e-15,2.09898860660028e-12
"g18206","g18206",3.34540712190613,8.14743350170639,16.4584680004246,4.54011846289328e-15,3.15269189114022e-12
