"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g1462","g1462",5.45234139633204,8.52092649630345,29.4826562982401,5.54614329081202e-21,1.03984640559435e-16
"g23353","g23353",6.38546368948337,7.64387255197414,23.3163671873661,1.45275072518094e-18,9.49177471411704e-15
"g14360","g14360",7.57833770784335,7.23769430301747,23.2736345176799,1.51876495505633e-18,9.49177471411704e-15
"g15126","g15126",6.76238749995231,5.90142413864334,22.4630966420536,3.48881913846526e-18,1.63529675067713e-14
"g7362","g7362",5.40536874907264,7.07030185254817,21.9383858887969,6.06536168432849e-18,2.10573851853028e-14
"g22065","g22065",5.54810708984439,6.44335354839282,21.7776831312733,7.20397378331269e-18,2.10573851853028e-14
"g17560","g17560",3.90850798329847,7.21221669905742,21.6962840653378,7.86184310081174e-18,2.10573851853028e-14
"g13934","g13934",4.10126643601111,8.45872513561567,21.4005029748319,1.08342922187412e-17,2.53915181011473e-14
"g14382","g14382",8.77088748326514,6.27681828953943,21.2469010855349,1.28758295419484e-17,2.68232142313323e-14
"g13803","g13803",4.35426052951227,6.86234264496659,21.0909230786804,1.52211935440642e-17,2.8538215775766e-14
"g9973","g9973",4.7403373857061,6.60628303202075,20.7532155550832,2.21696193190385e-17,3.7787108419332e-14
"g7883","g7883",7.80707566795711,8.23478104920851,20.663096552589,2.45884734698845e-17,3.84174407572387e-14
"g21514","g21514",3.39595738912074,8.22206056323673,20.37751236561,3.39028233448886e-17,4.88956949917936e-14
"g11667","g11667",4.38603097062398,7.34635203541494,19.8957092296814,5.90655043728254e-17,7.75847526308295e-14
"g5194","g5194",6.98930277758072,7.02069641828332,19.85410158316,6.20711125640003e-17,7.75847526308295e-14
"g19229","g19229",4.60587678103964,6.8122397091293,19.7767385948957,6.78687846262669e-17,7.95294901848674e-14
"g14384","g14384",3.54958866345417,7.95246613066988,19.4477207330578,1.00044664708916e-16,1.1033749521338e-13
"g21687","g21687",8.85326465194823,5.11136670266167,19.0371511747647,1.64530793796555e-16,1.71377102938422e-13
"g15778","g15778",8.42655786376966,6.1439744323854,18.969440486054,1.78398677591203e-16,1.76041937166183e-13
"g10981","g10981",11.3247549323884,4.92321502949762,18.3424993301368,3.91223890542844e-16,3.66752836189389e-13
"g17480","g17480",8.48353279026635,4.52476443766004,18.2746072030349,4.20747671923423e-16,3.75647528613917e-13
"g21148","g21148",9.3029737711718,-1.33460557585886,18.2394772097828,4.40866935824357e-16,3.75718826353222e-13
"g15581","g15581",9.90115362696312,5.30590329307752,17.7087961601131,8.6857162288404e-16,7.08036928584907e-13
"g18285","g18285",5.14643623986711,4.95902046637723,17.3091351464428,1.44833453232297e-15,1.13145100610514e-12
"g18206","g18206",3.45673193961752,8.14743350170639,17.2440462955844,1.5778038545045e-15,1.1832897787242e-12
"g5591","g5591",11.1868768854777,4.47056622644369,17.2230958004064,1.6482449699014e-15,1.18857480541082e-12
"g3313","g3313",9.19528414657026,-1.10860331638685,17.0420967704681,2.07567821085624e-15,1.44136632501273e-12
"g22861","g22861",5.66019409383989,6.04983803993908,16.814315429199,2.79902525967368e-15,1.8518656687401e-12
"g6988","g6988",7.40161561324344,8.04583449626496,16.798410838304,2.86437166747362e-15,1.8518656687401e-12
"g3567","g3567",6.81218805959771,3.00822791326909,16.7298532066384,3.13985533410521e-15,1.92305873565876e-12
"g9760","g9760",3.31331987363675,7.13079495336527,16.7197557617595,3.1796266897126e-15,1.92305873565876e-12
"g15701","g15701",9.23382056939981,4.6230563780282,16.5047133681724,4.29030206118741e-15,2.47484915386908e-12
"g6570","g6570",4.38975468326746,9.03587752124359,16.4886793688277,4.35596682904047e-15,2.47484915386908e-12
"g15569","g15569",12.4382616945583,3.55432152915804,16.4484328132458,4.71895908873899e-15,2.6022283516108e-12
"g9979","g9979",13.9464022781825,2.42257460900227,16.4264278260804,4.9232511935165e-15,2.63731533220688e-12
"g12147","g12147",15.388504559105,2.78137037566606,16.3499553095783,5.54305359914373e-15,2.88685310917627e-12
"g20359","g20359",3.0676095553634,6.57975185680352,16.252326937224,6.0335558790329e-15,3.05738213989157e-12
"g17144","g17144",7.343767388513,5.517840024435,16.2113755044955,6.39832862912401e-15,3.15690167019595e-12
"g13442","g13442",9.83959927788108,-0.749252413508949,16.1134223381234,7.38972538978669e-15,3.5525631111054e-12
"g9583","g9583",6.95332615087201,4.74364236932675,15.950971362936,9.20596413045846e-15,4.31506553704914e-12
"g3180","g3180",14.7545240321032,3.78222623816621,15.9039531675457,1.02751617518028e-14,4.69875628498903e-12
"g1319","g1319",14.5966256945568,2.52594392154199,15.7301541333872,1.31318700065098e-14,5.86212930362031e-12
"g3058","g3058",11.8626653871829,4.24866553442201,15.6675278317319,1.40433226884971e-14,6.09006114967674e-12
"g8005","g8005",6.32588326465366,5.67875104666176,15.6408098619861,1.42921057435477e-14,6.09006114967674e-12
"g882","g882",5.23984471744607,5.37485852234632,15.5280950019421,1.67943237545036e-14,6.93034850782888e-12
"g14187","g14187",15.1303954796973,3.58077365138187,15.553364462513,1.70033618518389e-14,6.93034850782888e-12
"g3189","g3189",15.7826068801968,3.24070998457035,15.4865618642278,1.88426287772799e-14,7.51660525415364e-12
"g10587","g10587",14.9168038583937,2.66481442703848,15.4516089875862,1.96541321651041e-14,7.67698591590703e-12
"g19963","g19963",14.5218629531918,2.987126158194,15.3339901816684,2.3228776607713e-14,8.88808842077575e-12
"g13592","g13592",14.0831537079539,2.23365450430831,15.1436654200484,3.05707188493269e-14,1.10293847759203e-11
"g19335","g19335",14.6475384594159,2.0076996937142,15.1394700948721,3.09199206068739e-14,1.10293847759203e-11
"g17162","g17162",14.5911941124848,3.9118063680344,15.1361354026141,3.10557207611607e-14,1.10293847759203e-11
"g9600","g9600",15.2438220254907,2.77763119525386,15.0989181815802,3.30113596376389e-14,1.10293847759203e-11
"g3534","g3534",4.76264518913816,5.42198194051096,15.0463169337045,3.39155650343567e-14,1.10293847759203e-11
"g7859","g7859",12.0647034651852,4.20441781182585,15.0568462929931,3.41769618628659e-14,1.10293847759203e-11
"g23556","g23556",14.4723588974656,1.92946573145515,15.0664547794521,3.43794188998437e-14,1.10293847759203e-11
"g15336","g15336",14.7749190085473,2.69805851941331,15.0664769128319,3.4475849472855e-14,1.10293847759203e-11
"g17515","g17515",3.63529720995499,6.94295434970884,15.0328042013735,3.45980759344705e-14,1.10293847759203e-11
"g15777","g15777",8.25105954405525,8.89936430916091,15.0277845615405,3.49948404533037e-14,1.10293847759203e-11
"g13000","g13000",7.14342850454588,5.01542794140349,15.0204185491317,3.52959137316774e-14,1.10293847759203e-11
"g15992","g15992",12.1551857340871,3.97569643686204,15.0153655412186,3.63645264527763e-14,1.11770246961164e-11
"g11913","g11913",14.515625452712,2.72393631899051,15.0031952286556,3.77696149363482e-14,1.12671748042453e-11
"g14186","g14186",14.8750957561441,3.08263665772407,15.0038723941454,3.78597265276789e-14,1.12671748042453e-11
"g21307","g21307",7.1526255727865,5.0630767777799,14.9307028222136,4.03218555957425e-14,1.18124136025715e-11
"g2171","g2171",15.1355180642874,2.91272072528569,14.9431836134904,4.15349576232093e-14,1.19805987765777e-11
"g8567","g8567",15.5523735462881,3.51836986822185,14.9137097021979,4.35761003336739e-14,1.23789137144856e-11
"g15656","g15656",14.5202070631524,2.38548833005109,14.8587502735974,4.68327953804212e-14,1.2950442752006e-11
"g2721","g2721",14.016503339942,2.40517349539629,14.8537065723745,4.69694440842927e-14,1.2950442752006e-11
"g7186","g7186",11.6387609690145,3.84308042920421,14.8036945071083,4.96634263224559e-14,1.34947765234743e-11
"g15779","g15779",8.70843533315818,7.0013617446199,14.761545265989,5.21117855922234e-14,1.39577695438371e-11
"g8655","g8655",14.6447940343124,2.43563427073666,14.7702426239852,5.35361105694168e-14,1.4086399730818e-11
"g3476","g3476",11.9709800145758,4.65192587853618,14.7347712916153,5.52070152932292e-14,1.4086399730818e-11
"g3146","g3146",6.2259321561214,5.05897276938481,14.7173531520419,5.54233033542523e-14,1.4086399730818e-11
"g4016","g4016",14.272983814901,3.10091726183587,14.7427980523726,5.55972894597327e-14,1.4086399730818e-11
"g22012","g22012",12.7437321129011,3.42765865280073,14.6791098579056,6.03917733050604e-14,1.5097138102621e-11
"g5624","g5624",14.0836371204255,2.55974771771184,14.5869471145653,7.02319273059101e-14,1.73260316455067e-11
"g997","g997",13.1540159308257,3.48278906229556,14.559956420391,7.25744671708857e-14,1.76714114933368e-11
"g10300","g10300",6.29411158681542,4.58633250016917,14.500742501826,7.69319006999036e-14,1.84922590541345e-11
"g4486","g4486",7.59125816962705,-1.21138395532272,14.4866491256251,7.87440393705339e-14,1.86882530906094e-11
"g22699","g22699",6.10741750151491,4.29343619576789,14.4477411991822,8.33957029720104e-14,1.95448254377778e-11
"g20043","g20043",7.66901277066356,5.09595499886032,14.3746617795247,9.34622591409148e-14,2.1633628353494e-11
