"","genes"
"1","g10306"
"2","g10350"
"3","g10729"
"4","g10800"
"5","g11555"
"6","g1248"
"7","g12841"
"8","g13042"
"9","g1324"
"10","g13388"
"11","g13495"
"12","g13497"
"13","g1438"
"14","g15704"
"15","g15797"
"16","g15798"
"17","g15894"
"18","g16040"
"19","g16809"
"20","g17069"
"21","g17070"
"22","g17199"
"23","g17204"
"24","g17218"
"25","g17219"
"26","g17277"
"27","g17311"
"28","g17312"
"29","g17317"
"30","g17785"
"31","g17872"
"32","g17932"
"33","g18023"
"34","g18118"
"35","g18441"
"36","g18640"
"37","g18641"
"38","g19038"
"39","g19773"
"40","g20012"
"41","g20833"
"42","g22782"
"43","g22858"
"44","g22901"
"45","g22998"
"46","g23106"
"47","g23396"
"48","g23495"
"49","g2882"
"50","g3541"
"51","g3814"
"52","g3974"
"53","g4187"
"54","g4661"
"55","g4821"
"56","g5248"
"57","g6329"
"58","g7421"
"59","g8423"
"60","g8578"
"61","g8580"
"62","g8581"
"63","g8730"
"64","g8819"
"65","g9057"
"66","g9186"
"67","g9187"
"68","g9195"
"69","g9535"
"70","g9537"
