"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g13530","g13530",3.96880220282673,6.04104472289721,19.493331216498,9.4772489839242e-17,1.77688941199595e-12
"g18439","g18439",8.51812454842991,-1.7074944232765,17.6809480561429,8.95908639665022e-16,8.39869554253975e-12
"g4057","g4057",8.4943431587323,-0.890300193727616,13.594979878904,3.1794539234369e-13,1.98705272035062e-09
"g9061","g9061",4.94156601021156,-3.07378944834512,13.0500650728466,7.67841289185789e-13,3.59906408273609e-09
"g20018","g20018",4.3453300710821,4.0163499984528,12.556947566737,1.75548298342543e-12,6.58271009124868e-09
"g22042","g22042",4.36498127322004,3.19631953060445,12.0513856473344,4.20384530398988e-12,1.31363159340844e-08
"g12841","g12841",-5.40599056687926,-3.17394147146104,-11.8907619039095,5.58034857262825e-12,1.49465650554582e-08
"g1128","g1128",3.48508031857618,5.11022361243524,11.7188147474375,7.57616463456883e-12,1.77556888416914e-08
"g9804","g9804",3.65165439771962,3.08421976938602,10.5717893510552,6.34780339196592e-11,1.3223885088441e-07
"g1060","g1060",6.49095013109657,1.46874961573104,10.1635648705034,1.40576586451294e-10,2.4207761583999e-07
"g1208","g1208",5.57760200276182,-2.87207324622198,10.1578482312792,1.42026442703071e-10,2.4207761583999e-07
"g7822","g7822",6.9647825222573,-1.96666527710146,10.0066073088279,1.91948662704275e-10,2.94262216176569e-07
"g17872","g17872",-5.52713426449252,-2.27177931689396,-9.9749495969506,2.04032684958952e-10,2.94262216176569e-07
"g15704","g15704",-2.015438336956,4.61777248185837,-9.91140017746395,2.31522327290297e-10,3.10058008168984e-07
"g13531","g13531",6.26890247535068,-1.64092329548502,9.61250206203476,4.2384385184883e-10,5.29776558554248e-07
"g2645","g2645",8.80604982150627,-1.05728111793734,9.53798724976437,4.97634205390643e-10,5.83133982304323e-07
"g13171","g13171",4.74135254171731,-3.64833089780416,9.42634205464685,6.200205150178e-10,6.83809684474632e-07
"g4056","g4056",5.22919615633328,-2.78493767931802,9.34695629683242,7.30700257020394e-10,7.60821292592426e-07
"g6329","g6329",-5.22224794185404,-2.30566492673059,-9.30909297865444,7.90396084960074e-10,7.60821292592426e-07
"g4055","g4055",5.82451702000394,-1.5654888331978,9.29658521072821,8.11585996685077e-10,7.60821292592426e-07
"g5915","g5915",3.21998689479806,2.76910430198559,8.98843365215047,1.54802167833602e-09,1.382088497482e-06
"g9057","g9057",-2.75381312575005,5.11379232355591,-8.88923133309457,1.91124476238346e-09,1.62881491136034e-06
"g15527","g15527",6.3595880975295,-2.6841804646777,8.76824356334048,2.48010749939916e-09,2.02171893505369e-06
"g21179","g21179",9.13384545604291,-1.29249513136803,8.58053815417385,3.76395402761828e-09,2.89097331509724e-06
"g5555","g5555",5.33560855231537,-4.38061358828914,8.56355693584216,3.85483667808581e-09,2.89097331509724e-06
"g3503","g3503",6.68963840238357,-0.158626758596758,8.47354771148684,4.70059544453038e-09,3.21887037312622e-06
"g9797","g9797",3.08420584095887,3.22041900245561,8.4628696059163,4.79911420811835e-09,3.21887037312622e-06
"g17204","g17204",-3.04737846296038,2.48590490866289,-8.46210927142511,4.80710280268463e-09,3.21887037312622e-06
"g1125","g1125",9.15417223050117,-3.00338862838725,8.4174514461436,5.37660630127391e-09,3.47606867388222e-06
