"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g18439","g18439",8.38796287769394,-1.7074944232765,29.9492359088617,8.14178437141296e-22,1.52650315179622e-17
"g4057","g4057",8.70519815044204,-0.890300193727616,20.830342891396,6.41738352399108e-18,6.01597618456544e-14
"g13530","g13530",4.78593751811841,6.04104472289721,17.8239885458023,2.73587161406135e-16,1.70982856306788e-12
"g12841","g12841",-5.18084270912299,-3.17394147146104,-17.0736329781742,7.6074984590022e-16,3.56582471519581e-12
"g7822","g7822",7.22559116493793,-1.96666527710146,16.5823220714332,1.51904282761305e-15,5.69610679498341e-12
"g20085","g20085",6.59176203699601,-2.49687636895536,15.4530605432752,7.93454477736108e-15,2.47941300051238e-11
"g9061","g9061",5.69794588781664,-3.07378944834512,15.2296304345606,1.11297580568951e-14,2.74203873125606e-11
"g1208","g1208",5.63815123479573,-2.87207324622198,15.1968962801831,1.1699989252786e-14,2.74203873125606e-11
"g5582","g5582",6.53208221743316,-2.52122714658298,15.0681759781559,1.42597891784823e-14,2.94495920923771e-11
"g1060","g1060",6.46343334783964,1.46874961573104,14.9312718545328,1.76165870663073e-14,2.94495920923771e-11
"g20686","g20686",7.40268425549685,-1.53919477487437,14.9281896246255,1.77185337783e-14,2.94495920923771e-11
"g2645","g2645",8.86842401687999,-1.05728111793734,14.8903868046071,1.8848744205479e-14,2.94495920923771e-11
"g4055","g4055",5.96187286538834,-1.5654888331978,14.5586669462146,3.15630140768797e-14,4.55211500713399e-11
"g4590","g4590",9.09840020026141,-0.634168513675473,14.2076575306959,5.55840803023967e-14,7.05966009438036e-11
"g21179","g21179",8.83759885551352,-1.29249513136803,14.1972309215827,5.64802930373382e-14,7.05966009438036e-11
"g22782","g22782",-4.59534546905161,-3.68578332480764,-13.9709205504635,8.11609317891782e-14,9.51053943822063e-11
"g6329","g6329",-5.48899473238736,-2.30566492673059,-13.883015239636,9.37405078562404e-14,1.01024372400419e-10
"g1128","g1128",3.61063953882463,5.11022361243524,13.8621761338436,9.69885702281479e-14,1.01024372400419e-10
"g4056","g4056",6.0386576694512,-2.78493767931802,13.6811490916445,1.30846028924729e-13,1.29117484016302e-10
"g13531","g13531",6.16502749579261,-1.64092329548502,13.440167860989,1.95767432188613e-13,1.83522179305215e-10
"g20048","g20048",9.06808726992219,-0.808916693247435,12.9563337569175,4.49527199119585e-13,3.84105509280147e-10
"g4224","g4224",9.04808453213329,-1.05943673259372,12.9418236382565,4.60930662883518e-13,3.84105509280147e-10
"g8364","g8364",4.46228497763459,-3.67511319706898,12.9208245334444,4.75123973564591e-13,3.84105509280147e-10
"g13171","g13171",4.51261815976248,-3.64833089780416,12.9010787030173,4.91681274879914e-13,3.84105509280147e-10
"g2809","g2809",6.71409000179675,-2.19445616297905,12.7597385102727,6.29609554005425e-13,4.72181981121909e-10
"g20049","g20049",9.00636647495097,-0.817865743315289,12.3942323135764,1.20804681091513e-12,8.71141140686453e-10
"g14658","g14658",6.2589511868107,-2.22815660723058,11.8790069727765,3.06012359353886e-12,2.12497249093556e-09
"g10916","g10916",5.12331550871284,-3.34101751860989,11.5974223071709,5.16098115667194e-12,3.45582984665865e-09
"g10968","g10968",6.94817179277137,-2.24303861905044,11.5291713025962,5.87437159653928e-12,3.79788251943155e-09
"g6525","g6525",9.09799821752047,0.473434622623617,11.4452704586576,6.92139081542369e-12,4.32563854661263e-09
"g8819","g8819",-6.99624391187685,-2.49816062703878,-11.3909759202572,7.62756432745857e-12,4.61320011533938e-09
"g22271","g22271",5.06443411957933,-3.20013134561818,11.2659319086158,9.66420785624993e-12,5.66231978427594e-09
"g20279","g20279",7.58298607901201,-1.82221854770273,11.1259521295999,1.26757716296422e-11,7.2017588570958e-09
"g23417","g23417",6.56583541221284,-2.34025751359881,11.0372198415541,1.50220191291116e-11,8.28375990152098e-09
"g17872","g17872",-5.8067162984011,-2.27177931689396,-11.0095937350637,1.58386537350372e-11,8.48454053937749e-09
"g13497","g13497",-4.45506988149609,2.23119189734197,-10.8809108176606,2.03448464637547e-11,1.05957090652482e-08
"g15527","g15527",5.9266932739487,-2.6841804646777,10.5410227764215,3.98488724479807e-11,2.01926083655997e-08
"g9195","g9195",-4.62757113437507,-3.25386657645829,-10.4747734389855,4.54759126873911e-11,2.24375759730499e-08
"g11372","g11372",6.19497183757583,-1.75444904525769,10.3040615886945,6.41971979318096e-11,3.08623913852179e-08
"g3503","g3503",6.83161056415864,-0.158626758596758,10.2885502753209,6.63005024208342e-11,3.10756801835045e-08
"g18233","g18233",5.88120194112516,-2.61263173292592,10.2758736337677,6.79557783094397e-11,3.10756801835045e-08
"g23415","g23415",5.55279794776159,-2.85090089654184,10.2548385792234,7.09074638957843e-11,3.11747316650993e-08
"g13321","g13321",5.25116106380396,-3.17629273729504,10.2506960589329,7.14978645047346e-11,3.11747316650993e-08
"g13191","g13191",4.64037849254422,-3.59965306503292,10.2007763349525,7.91340884329894e-11,3.37201141825027e-08
"g10961","g10961",6.27741486818865,-2.40948012486808,10.1089856185441,9.55482957300761e-11,3.9809666592071e-08
"g17204","g17204",-3.34807872500463,2.48590490866289,-10.0787413861409,1.01575171432241e-10,4.06793969123237e-08
"g15798","g15798",-7.54498242531504,0.16657361380936,-10.0783376793606,1.01975126933661e-10,4.06793969123237e-08
"g15797","g15797",-8.39511352649992,0.591412121802686,-9.94189590181662,1.35486807536565e-10,5.29217115521469e-08
"g2805","g2805",7.0968059617638,-1.63391767598048,9.88175848526646,1.52933370976183e-10,5.85173014782134e-08
"g18640","g18640",-3.86050350416542,-0.440473539664121,-9.72104569336037,2.13474740667733e-10,8.00487582555865e-08
"g18587","g18587",3.4253671261541,-4.1905898192569,9.68922096270251,2.28235684327181e-10,8.39057028519668e-08
"g9057","g9057",-3.45794393982111,5.11379232355591,-9.25648583305838,5.7394267412529e-10,2.06939446099521e-07
"g6067","g6067",5.99571123556046,-1.80987258301527,9.2216241089559,6.19338145951908e-10,2.19093790536836e-07
"g23414","g23414",5.70801010829953,-2.75937452441249,9.17708376072819,6.8191395015351e-10,2.36763049100522e-07
"g1438","g1438",-5.80361753922265,-0.909568104417175,-9.09416004112519,8.16754164742038e-10,2.78424069722699e-07
"g20011","g20011",4.14934504310097,-3.41094975879408,9.05715846400267,8.84923166591758e-10,2.95018749717841e-07
"g5232","g5232",11.0199836869291,0.390216860757181,9.06171325670402,8.96904834066719e-10,2.95018749717841e-07
"g20623","g20623",10.6308134239041,0.0109717965714042,9.00094646602205,1.02153608796368e-09,3.30220346779846e-07
"g3541","g3541",-5.09697676990726,1.10435879390269,-8.97390932888018,1.0621532587374e-09,3.37530702509619e-07
"g8280","g8280",6.85119522934933,-2.04928540919339,8.9323269851112,1.16611223434193e-09,3.64390638027948e-07
"g9254","g9254",6.19811699296734,0.601531015601817,8.89731412837436,1.25830846945116e-09,3.86754516290817e-07
"g3121","g3121",5.14127282270687,-0.618836877750014,8.67269150617011,2.07055756787676e-09,6.19137216712754e-07
"g6210","g6210",4.44478517550057,-3.09865553470852,8.67048125822372,2.08041200346171e-09,6.19137216712754e-07
"g18588","g18588",4.29030818550419,-2.65353997623433,8.64393174403391,2.20772391270628e-09,6.46759619364533e-07
"g13495","g13495",-3.96476976711221,1.62898151291483,-8.54912549257967,2.7315449705799e-09,7.87903640821578e-07
"g1162","g1162",4.06979083376756,-3.86857227787487,8.53480346511348,2.82114837045068e-09,8.0141986056939e-07
"g20018","g20018",4.66241414090831,4.0163499984528,8.48368846478286,3.16648134583418e-09,8.86094906761866e-07
"g11595","g11595",4.08921672220387,-3.17718893260373,8.43237566913956,3.55632802038774e-09,9.80552853738967e-07
"g21295","g21295",6.39377782690974,-2.73180665248218,8.35661398750333,4.23119868311501e-09,1.14972092912643e-06
"g19261","g19261",4.94128975261366,-2.19973946680655,8.09590247903465,7.68647087073200e-09,2.0587663193622e-06
"g3239","g3239",10.6567090083223,0.379111544677392,7.95968299087173,1.08136565126074e-08,2.85556684443486e-06
"g16062","g16062",5.01765353483475,-1.89955677142761,7.84232048061123,1.38756531582576e-08,3.61325862589127e-06
"g3814","g3814",-4.78227552319959,0.0825277774623995,-7.79574428797516,1.54782684078978e-08,3.97537060794077e-06
"g682","g682",5.50331083214899,-1.29098506840285,7.77122537673675,1.64051940803129e-08,4.15649978124036e-06
"g9541","g9541",4.30209223957379,-2.41046458135792,7.68073960924058,2.03007893095626e-08,5.07492665019986e-06
"g15704","g15704",-1.72455582553969,4.61777248185837,-7.62810597978041,2.2996723650821e-08,5.67323120696372e-06
"g17317","g17317",-3.44622014510742,1.29329506450916,-7.42034085737316,3.77626675165042e-08,9.19496432814205e-06
"g6171","g6171",4.29331187560767,-2.97391056276515,7.38117741181516,4.1492014203922e-08,9.97350992704274e-06
"g864","g864",5.27979645505871,-3.29326780548207,7.21584922508605,6.18946535880251e-08,1.46894032926821e-05
"g1324","g1324",-4.88803760986052,3.54228584603991,-7.19719729963167,6.47431759422254e-08,1.51733725717598e-05
"g21393","g21393",4.00062937991719,-2.92004554681913,7.14163589533302,7.40912316624045e-08,1.71498333634373e-05
"g9804","g9804",3.19629016835521,3.08421976938602,7.12846663360689,7.65041517916118e-08,1.74923944139138e-05
"g17312","g17312",-4.99717114733883,1.31048842458198,-7.08754061137763,8.45703201011912e-08,1.91037220671956e-05
"g4593","g4593",6.59676337943425,-2.65478592467052,7.01710638291056,1.00758563704687e-07,2.22578446260069e-05
"g20141","g20141",6.92919712950142,-0.0678626871185099,7.01696084882798,1.00907610710469e-07,2.22578446260069e-05
"g2808","g2808",4.52287802778354,-0.235215228527798,6.94154094273854,1.20932288202053e-07,2.63646450174452e-05
"g3974","g3974",-3.94747846873526,-3.29313541141941,-6.91163127944554,1.30156149390511e-07,2.80493982175021e-05
"g7175","g7175",3.4826048684375,-3.78468243243839,6.88254081598314,1.39829271286908e-07,2.95601011522955e-05
"g8581","g8581",-3.49152177043853,-3.81339357006345,-6.88112260739094,1.40319430505856e-07,2.95601011522955e-05
"g13042","g13042",-3.82699600347466,-1.80806379306088,-6.84383169825412,1.5385811689749e-07,3.20520648190116e-05
"g23020","g23020",3.4502670486537,-4.18088477952073,6.82542697761032,1.61018737922341e-07,3.31751683220437e-05
"g11371","g11371",6.05604106339587,-1.94094558408135,6.81654046926486,1.64928658609761e-07,3.36113850029827e-05
"g2001","g2001",5.666594212289,-2.72651794701905,6.77240113323879,1.83853240636222e-07,3.70652086955755e-05
"g3672","g3672",5.05947801135385,-1.12937793201321,6.7303671949297,2.03922741665471e-07,4.06739093987863e-05
"g650","g650",4.72803634028266,-2.80069304603721,6.71123670254909,2.1380492717633e-07,4.21960903118844e-05
"g20735","g20735",4.31785324396695,-3.74182509784255,6.63020686537639,2.61598119505917e-07,5.10906577355879e-05
"g872","g872",4.50490057119573,-1.31607570762429,6.55432325307455,3.1628729909999e-07,6.11347481528423e-05
"g15894","g15894",-6.74487988356098,-1.09092956115517,-6.54045205553918,3.2890601169153e-07,6.29250899306581e-05
"g18519","g18519",3.63648204016699,-0.358696561992322,6.52852577825061,3.37350186626217e-07,6.38886732227772e-05
"g17311","g17311",-6.58864247852759,1.16515399604924,-6.47307823858192,3.89330738020052e-07,7.29956200713795e-05
"g9386","g9386",5.90012506082098,0.00868805202174517,6.4353410869824,4.27228384643186e-07,7.93079701353969e-05
"g1218","g1218",4.5465620769856,-2.92829912239306,6.40363876101217,4.61922345207072e-07,8.49076671596803e-05
"g9797","g9797",2.37476475283273,3.22041900245561,6.37768221812973,4.9305825010836e-07,8.97509624396277e-05
"g354","g354",3.57473392621563,1.52955082281615,6.36774932577389,5.0558774917769e-07,9.11467760512741e-05
"g11943","g11943",3.60140767519225,-3.86174578042138,6.33517145046346,5.48969956516495e-07,9.80251210926454e-05
"g17760","g17760",3.09026806550183,0.427823021578267,6.28033482697853,6.30706058047636e-07,0.000110791574559475
"g1574","g1574",3.19682120210784,0.0246346491591159,6.27934928979427,6.32284307315792e-07,0.000110791574559475
"g14574","g14574",7.48537835998112,-1.64432674888742,6.27484556084414,6.45449530559364e-07,0.000112051233782014
"g6056","g6056",4.10018951162753,-2.10380446815938,6.23301116340217,7.11218833150403e-07,0.000122336164245293
"g10800","g10800",-4.28967164142195,-0.542078469835842,-6.22514860268246,7.25606611106333e-07,0.000123676348651206
"g6396","g6396",2.32632617907955,1.70857942718317,6.21609777778645,7.42362886484029e-07,0.000124357591700252
"g20833","g20833",-2.56146650805561,-0.141743953062878,-6.21582958161867,7.42868967434435e-07,0.000124357591700252
"g18403","g18403",3.01105064016139,-0.907290151927059,6.18699115737257,7.99377847711978e-07,0.000132633055457981
"g5915","g5915",2.60742364351025,2.76910430198559,6.14493031319924,8.89718815144413e-07,0.000146327526887216
"g2870","g2870",4.08701658269452,1.61676759817881,6.12583217986458,9.3419495652754e-07,0.000152306271651607
"g18670","g18670",4.5450105435532,-0.812657882923889,6.09571655905573,1.00900405608007e-06,0.000163084629719356
"g23072","g23072",5.96171869899783,-2.37825652710286,6.04829149819988,1.14175625238346e-06,0.000182963999794338
"g20142","g20142",6.89617343826735,0.246509616589722,5.98412382263371,1.35116786675919e-06,0.000214686833337865
"g349","g349",3.58212486343996,-2.51670755094446,5.9224700107209,1.57187906752297e-06,0.000247656812075531
"g14657","g14657",4.4628933090049,-3.17334742443442,5.88982444483943,1.70991785132675e-06,0.000265699409785862
"g9062","g9062",3.90955777334772,-3.96229875608422,5.88863938063956,1.71473831052799e-06,0.000265699409785862
"g20161","g20161",2.85344211687056,1.13814830493365,5.88463077770368,1.73236858676654e-06,0.000266230972403982
"g3201","g3201",3.35442117170932,-1.17310782050045,5.8770176806573,1.76664171354685e-06,0.00026929077631943
"g19940","g19940",1.85364134998142,3.20978158819909,5.85678275552708,1.86103785601583e-06,0.000281391925503555
"g10279","g10279",3.60331031293522,5.31976555932997,5.8437900803256,1.92440124283956e-06,0.000288644791215991
"g10179","g10179",4.15528356929696,-3.65256791943525,5.83445163878805,1.97150025781095e-06,0.000293362367727758
"g20162","g20162",2.97017013459661,3.81551373959772,5.78391218251975,2.2454800722999e-06,0.00033150004626418
"g322","g322",4.02716735930955,-2.10910582174351,5.6491764923943,3.18155496077887e-06,0.000466023234059711
"g507","g507",7.56045126930769,-0.714225527089011,5.63124051221157,3.3773760271724e-06,0.000490871497158568
"g7421","g7421",-3.82033441957099,-1.07249241107821,-5.54563998315641,4.16153932604726e-06,0.000600190006338924
"g18056","g18056",3.55423161299946,-4.13150624654259,5.53364622506311,4.29303795564441e-06,0.000614428768170817
"g10350","g10350",-4.10054158652801,-1.33100692788741,-5.51433956133737,4.51463685191181e-06,0.00064124944194314
"g4800","g4800",3.36008051186788,-1.66365605958283,5.51078539130931,4.55576065446392e-06,0.000642225236921383
"g9535","g9535",-5.84202550916108,1.4974494016896,-5.49549965207226,4.75702148837891e-06,0.000665592506609076
"g17219","g17219",-3.21579401067877,-0.758503259049475,-5.3468740936964,6.98204962663982e-06,0.000969677395924963
"g10770","g10770",3.85901535088371,-1.3704901644223,5.29656655141604,7.96295426847699e-06,0.00109777521749761
"g18023","g18023",-3.53145751208221,-2.59268746312836,-5.2876710545956,8.14950838799762e-06,0.00111529293990195
"g23495","g23495",-3.02832646429551,-1.11972518510534,-5.20441277179245,1.01309914674864e-05,0.00137641999292683
"g19773","g19773",-3.76998828657771,-0.262029222116796,-5.18698659672718,1.06047649694284e-05,0.00143042257850225
"g8578","g8578",-3.04205051941876,-3.21473465147827,-5.14201363871189,1.19286403644051e-05,0.00159398378382331
"g4661","g4661",-2.11959679818373,2.9394757061571,-5.14013482723691,1.19873973822117e-05,0.00159398378382331
"g22901","g22901",-3.71533906379978,-0.793755469422777,-5.09908380978436,1.334982738601e-05,0.00175787449986278
"g17199","g17199",-2.65526013533824,3.35979720614218,-5.09740138337833,1.34074379156423e-05,0.00175787449986278
"g10306","g10306",-3.69486281657167,-1.99252020055443,-5.06536623726277,1.45833054000128e-05,0.00189876661767249
"g18197","g18197",2.76247503919857,2.86433498037129,5.04227598906661,1.54919431983057e-05,0.00200214587075654
"g2882","g2882",-3.64526287125515,-3.6778409373063,-5.03988202311863,1.55908740269057e-05,0.00200214587075654
"g9571","g9571",2.21676510542781,3.59252316888387,5.03139398700696,1.59403953550786e-05,0.00203310525518619
"g4944","g4944",3.2242118679771,-2.99280057658114,5.00559032770139,1.70569826235819e-05,0.00216082004871309
"g17932","g17932",-1.92139348541588,0.897453232341449,-4.99915945759543,1.73468527799863e-05,0.00218279290450982
"g23054","g23054",3.25436686025855,-4.28893568860185,4.96611631830526,1.89184685656884e-05,0.00236468244758728
"g927","g927",2.44307191605432,-1.19141088260236,4.88306696748059,2.35267438453898e-05,0.00292121139309413
"g7587","g7587",2.93374512701106,1.4700484870961,4.87883477311919,2.37898076417229e-05,0.00293444147022805
"g22024","g22024",3.57525974556619,-0.563349937214737,4.85541986687902,2.53007623276379e-05,0.00310041825412342
"g2319","g2319",2.65074942521891,4.53194563843604,4.83721736308783,2.65373541266772e-05,0.00323083670468227
"g10289","g10289",3.22648792751884,-2.69278040088264,4.83099968602332,2.69749682783265e-05,0.00326292696935705
"g23056","g23056",2.61047243947711,-4.60478516995608,4.81325277886295,2.82615192108468e-05,0.00339663604925748
"g22042","g22042",2.81909181104274,3.19631953060445,4.77723880073325,3.10659192211621e-05,0.00370990394571699
"g12187","g12187",2.85982198090506,-4.47938302142793,4.73952598845879,3.43015384916531e-05,0.00407037686822788
"g17345","g17345",5.57757329157067,-0.864180735041505,4.71908027414037,3.63740519566934e-05,0.00428916415179902
"g3496","g3496",1.92976059633999,6.68621024474254,4.71214825337336,3.68594722928852e-05,0.00431923903762066
"g2486","g2486",2.67119791426564,0.483303872114536,4.69522802867973,3.85350051448352e-05,0.00448753299043798
"g21903","g21903",3.08359841241268,-2.31108346699013,4.6590389126838,4.23791110189394e-05,0.0049047281018154
