"","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale","gene"
"g1",0,0,0,0,0,"g1"
"g100",0,0,0,0,0,"g100"
"g1000",0,0,0,0,0,"g1000"
"g10000",0,-1,0,0,0,"g10000"
"g10001",0,0,0,0,0,"g10001"
"g10002",0,0,0,0,1,"g10002"
"g10003",-1,0,0,0,1,"g10003"
"g10004",0,0,0,0,0,"g10004"
"g10005",0,1,1,0,1,"g10005"
"g10006",0,1,1,0,1,"g10006"
"g10009",0,1,1,0,1,"g10009"
"g10011",0,0,0,0,0,"g10011"
"g10013",0,0,0,0,0,"g10013"
"g10015",0,0,0,0,0,"g10015"
"g10016",0,0,0,0,0,"g10016"
"g10017",0,0,0,0,0,"g10017"
"g10018",0,0,0,0,0,"g10018"
"g10019",0,0,0,0,0,"g10019"
"g10020",0,0,0,0,0,"g10020"
"g10021",0,1,0,0,1,"g10021"
"g10025",0,0,0,0,0,"g10025"
"g10026",0,0,0,0,0,"g10026"
"g10027",0,0,0,0,0,"g10027"
"g10028",0,0,0,0,0,"g10028"
"g10029",0,0,0,0,0,"g10029"
"g1003",0,0,0,0,0,"g1003"
"g10030",0,0,0,0,0,"g10030"
"g10031",0,0,0,0,0,"g10031"
"g10032",0,0,0,0,0,"g10032"
"g10033",0,0,0,0,0,"g10033"
"g10034",0,1,1,0,1,"g10034"
"g10035",0,0,0,0,0,"g10035"
"g10036",0,1,0,0,1,"g10036"
"g10037",0,0,0,0,0,"g10037"
"g10038",0,0,0,0,0,"g10038"
"g10039",0,0,0,0,0,"g10039"
"g1004",0,0,-1,0,0,"g1004"
"g10040",0,0,0,0,0,"g10040"
"g10041",0,0,0,0,0,"g10041"
"g10042",0,0,0,0,0,"g10042"
"g10043",0,0,0,0,0,"g10043"
"g10044",0,0,0,0,0,"g10044"
"g10045",0,0,0,0,0,"g10045"
"g10047",0,0,0,0,0,"g10047"
"g10048",0,0,0,0,0,"g10048"
"g10050",0,0,0,0,0,"g10050"
"g10051",0,-1,-1,0,-1,"g10051"
"g10052",0,1,1,0,1,"g10052"
"g10053",0,1,1,0,1,"g10053"
"g10054",0,1,1,0,1,"g10054"
"g10055",0,0,0,0,0,"g10055"
"g10056",0,0,0,0,-1,"g10056"
