"X1","gene_id","X04F_1","X04F_2","X04F_3","X04M_1","X04M_2","X04M_3","X13F_1","X13F_2","X13F_3","X13M_1","X13M_2","X13M_3","X13M_4","X15F_1","X15F_2","X15F_3","X15M_1","X15M_2","X15M_3","X21F_1","X21F_2","X21F_3","X21M_1","X21M_2","X21M_3","X21M_4"
1,"g1",0,1.42,0.19,0,0,0,0.13,0,0.48,0,0,0.52,0,0,0.32,0.22,0,0,0,0.13,0.63,0.26,0,0,0,0
2,"g10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"g100",102.38,121.06,85.8,169.76,134.21,106.31,43.82,97.77,87.5,99.14,123.12,129.8,123.25,57.23,47.67,90.89,78.86,85.6,118.49,41.98,53.76,46.14,58.6,48.66,69.98,62.33
4,"g1000",0.3,0,0.64,0.71,0.4,1.52,0,0,1.75,0.75,1.25,1.22,1.56,1.1,0.34,0,1.39,1.25,0.73,0.46,0.71,0.36,2.89,2.06,2.39,1.31
5,"g10000",11.24,15.92,11.96,3.54,2.03,1.67,15.97,14.41,17.19,5.27,10.37,4.5,5.14,12.68,7.8,16.91,4.89,3.82,3.49,19.7,11.92,15.64,4.41,5.82,4.61,4.82
6,"g10001",0.6,0,0.21,0.24,1.33,0,1.08,0.37,2.08,0,0.63,2.48,0.51,0.5,0.23,0,1.63,0.28,0,0,0.67,0.71,0.95,0.69,0.93,0
7,"g10002",0.55,0,0,124.98,12.47,2.27,0,0,0,0,0,0,0,0,0.11,0,36.75,29.92,17.68,0,0,0,9.55,251.61,30.86,25.02
8,"g10003",0.22,0.12,0,120.15,10.68,1,0,0.2,0,0,0,0,0,0,0,0.11,40.47,30.63,17.11,0.17,0,0.13,9.27,234.11,25.31,20.33
9,"g10004",1.69,2.35,0.9,0.52,0.29,0.52,3.36,4.12,2.78,1.92,1.27,1.12,0.99,2.58,1.35,3.15,1,1.19,0.86,4.83,1.71,2.44,1.32,0.87,1.06,0.61
10,"g10005",0.66,0.24,0,36.85,64.3,75.06,0.95,0,0,57.01,25.06,63.47,53.66,1.64,1.02,1.65,62.66,34.96,66.31,1.67,0,0,87.75,25.96,67.74,82.58
11,"g10006",0.2,0,0.3,44.52,102.75,80.75,0.26,0,0,73.58,32.91,65.84,49.55,3.05,1,0.39,83.14,41.11,65.16,0.72,0.12,0,74.3,25.95,82.95,108.32
12,"g10007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"g10008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"g10009",0,0,0,158.9,129.68,104.96,0,0,0,115.02,76.51,87.11,128.87,0,0,0,160.37,179.2,225.76,0,0,0,179.59,124.65,139.6,99.19
15,"g1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
16,"g10010",1.02,0,0,1.17,0.67,1.86,1.06,0,0.58,1.88,0.52,0.66,1.98,0.6,0.56,0,0,0,1.89,0,0,0,0.61,0,0,0.74
17,"g10011",0.1,0,0,0.36,0.13,0,0.11,0,0,0.25,0.31,0.42,0.25,0.13,0.35,0.1,0.23,0.27,0.23,0.15,0,0,0.12,0.92,0.9,0
18,"g10012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"g10013",3.53,2.2,2.1,5.18,6.55,5.98,2.1,2.35,3.59,4.8,5.04,4.65,3.84,2.44,3.45,2.67,4.77,4.82,5.32,2.42,2.14,2.27,4.32,5.35,5.04,4.44
20,"g10014",0,1.02,0,0,0,0,0,1.09,0.36,0.39,0,0.42,0,0,0.35,0.29,0.72,0.86,0.38,0.48,0.73,0.37,0.75,0,0.5,1.91
21,"g10015",7.66,7.02,7.38,7.63,8.08,7.91,11.01,10.81,10.73,11.04,10,9.51,10.49,10.4,11.81,10.69,11.25,9.49,10.27,10.67,10.82,9.51,9.58,10.67,9.22,8.11
22,"g10016",3.52,4.36,3.78,7.87,7.38,6.59,3.49,4.7,3.65,6.8,6.81,4.7,5.16,4.9,5.9,3.6,8.97,6.84,6.84,3.01,4.83,3.18,4.66,7.67,7.8,4.94
23,"g10017",5.33,5.63,5.71,7.29,7.97,8.05,4.21,5.36,5.65,7.03,8.71,6.6,7.87,5.96,7.51,7.01,7.06,8.25,6.99,5.35,5.6,5.06,8.06,8.83,7.49,7.88
24,"g10018",29.81,28.6,28.79,35.48,38.81,34.35,30.95,30.75,34.73,36.67,37.34,37.07,35.44,37.63,37.16,36.41,41.87,39.74,33.19,36.32,27.95,32.81,32.26,35.26,34.83,35.77
