GO	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Category
GO:0005975	4.79747662750086e-12	3.5848242608806	22.2359116022099	56	167	carbohydrate metabolic process	BP
GO:0055114	2.37242772668307e-10	2.3657425655849	51.9281767955801	95	390	oxidation-reduction process	BP
GO:0055085	2.90226606560497e-09	2.1019915759577	66.8408839779005	111	502	transmembrane transport	BP
GO:0006508	3.59205547581155e-07	2.01720483523762	52.0613259668508	86	391	proteolysis	BP
GO:0051234	0.000300556529962538	1.49474271370799	97.5983425414365	127	733	establishment of localization	BP
GO:0009166	0.000706642150336988	9.87605042016807	1.33149171270718	6	10	nucleotide catabolic process	BP
GO:0006643	0.000749274311167282	4.0481245576787	3.86132596685083	11	29	membrane lipid metabolic process	BP
GO:1903509	0.000749274311167282	4.0481245576787	3.86132596685083	11	29	liposaccharide metabolic process	BP
GO:0009247	0.000749274311167282	4.0481245576787	3.86132596685083	11	29	glycolipid biosynthetic process	BP
GO:0046434	0.00245392234501047	6.57983193277311	1.59779005524862	6	12	organophosphate catabolic process	BP
GO:0034404	0.00245392234501047	6.57983193277311	1.59779005524862	6	12	nucleobase-containing small molecule biosynthetic process	BP
GO:0008610	0.00767975536237968	2.37705456936226	7.05690607734807	14	53	lipid biosynthetic process	BP
GO:0016020	2.6480113485808e-26	12.118301314459	111.323372465315	170	1159	membrane	CC
GO:0016021	2.47682628862117e-24	5.46325283243888	73.0949839914621	137	761	integral component of membrane	CC
GO:0005794	0.00018895461157872	4.72883972215076	3.26574172892209	11	34	Golgi apparatus	CC
GO:0003824	8.06721726542585e-26	3.56328814627995	64.2376458902409	145	665	catalytic activity	MF
GO:0016758	7.8050699122335e-19	5.43847077292455	16.9685845996244	58	143	transferase activity, transferring hexosyl groups	MF
GO:0016705	3.60899737085466e-10	3.78982816368137	14.8326788458255	41	125	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	MF
GO:0008234	6.87617957935187e-10	6.55822865658931	6.17039439986341	24	52	cysteine-type peptidase activity	MF
GO:0005506	1.38402743399795e-08	3.48357921269182	14.1207102612259	37	119	iron ion binding	MF
GO:0020037	1.77980025543255e-08	3.44093089683964	14.2393716919925	37	120	heme binding	MF
GO:0008146	2.00651240726898e-08	7.59822747415067	4.27181150759775	18	36	sulfotransferase activity	MF
GO:0001733	5.311370274306e-08	20.7375730994152	1.77992146149906	11	15	galactosylceramide sulfotransferase activity	MF
GO:0050660	2.72512605963141e-07	4.25799743527536	7.95031586136247	24	67	flavin adenine dinucleotide binding	MF
GO:0008236	1.35567485024238e-06	2.37130417956656	24.8002390302203	49	209	serine-type peptidase activity	MF
GO:0016787	2.09471886691846e-06	1.58360882298099	122.577257981902	168	1033	hydrolase activity	MF
GO:0016740	4.45838926962415e-06	1.67330235505333	81.5035460992908	119	697	transferase activity	MF
GO:0005549	6.53827327521368e-06	4.11720202874049	6.40771726139662	19	54	odorant binding	MF
GO:0004185	1.20905788963086e-05	15.0160116448326	1.42393716919925	8	12	serine-type carboxypeptidase activity	MF
GO:0140096	2.41715659721178e-05	1.58041168103088	89.4707187980195	125	754	catalytic activity, acting on a protein	MF
GO:0016614	3.57262317701108e-05	3.25116574819839	8.30630015366228	21	70	oxidoreductase activity, acting on CH-OH group of donors	MF
GO:0004499	0.000196755868457561	Inf	0.474645723066416	4	4	N,N-dimethylaniline monooxygenase activity	MF
GO:0008484	0.000343781471388149	6.66731360181142	2.01724432303227	8	17	sulfuric ester hydrolase activity	MF
GO:0008238	0.00101041404356801	3.26080156402737	5.10244152296398	13	43	exopeptidase activity	MF
GO:0016746	0.00108150051972056	2.517258382643	9.01826873826191	19	76	transferase activity, transferring acyl groups	MF
GO:0005201	0.00166446366177827	Inf	0.355984292299812	3	3	extracellular matrix structural constituent	MF
GO:0004553	0.00434050903334396	2.22335762888345	9.37425303056172	18	79	hydrolase activity, hydrolyzing O-glycosyl compounds	MF
