# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0016297	MF	e	acyl-[acyl-carrier-protein] hydrolase activity	6/211	258/106158	1.4627165187309248e-05	6	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0004313	MF	e	[acyl-carrier-protein] S-acetyltransferase activity	6/211	258/106158	1.4627165187309248e-05	7	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0004320	MF	e	oleoyl-[acyl-carrier-protein] hydrolase activity	6/211	258/106158	1.4627165187309248e-05	7	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0008659	MF	e	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity	6/211	258/106158	1.4627165187309248e-05	5	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0047451	MF	e	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity	6/211	258/106158	1.4627165187309248e-05	6	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0047117	MF	e	enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity	6/211	258/106158	1.4627165187309248e-05	5	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0019171	MF	e	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity	6/211	258/106158	1.4627165187309248e-05	5	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0016295	MF	e	myristoyl-[acyl-carrier-protein] hydrolase activity	6/211	258/106158	1.4627165187309248e-05	7	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0008693	MF	e	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity	6/211	258/106158	1.4627165187309248e-05	6	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0016296	MF	e	palmitoyl-[acyl-carrier-protein] hydrolase activity	6/211	258/106158	1.4627165187309248e-05	7	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
