gene	logFC	AveExpr	t	P.Value	adj.P.Val	de	seq.x	b.status.final	gene_len	seq.y	blast	diamond	pfam_acc	pfam_descr	ipr_acc	ipr_descr	GO	anno
g11727	10.3014221143416	-1.67109720319487	12.5548988785861	9.31698446560498e-13	2.10400801694524e-09	BM up	scaffold_168	A	1733	scaffold_168	NA	X1WKK7	PF13843	Transposase IS4	IPR029526	PiggyBac transposable element-derived protein	NA	Y
g2756	9.49116373418422	2.59621736804171	5.68318718052839	3.31639067871017e-06	0.000410369273983411	BM up	scaffold_51	A	1034	scaffold_51	NA	NA	PF00035	Double-stranded RNA binding motif	IPR014720	Double-stranded RNA-binding domain	NA	Y
g17908	9.49115852597222	-2.8976406321393	11.7201297865219	4.20587301638798e-12	7.06396021710795e-09	BM up	scaffold_983	A	1353	scaffold_983	CP4G1_DROME	J9JU30	PF00067	Cytochrome P450	IPR001128	Cytochrome P450	GO:0005506;GO:0016705;GO:0020037;GO:0055114	Y
g20946	9.41623367583241	-2.58490576510519	11.6835404545479	4.49774384629763e-12	7.06396021710795e-09	BM up	scaffold_91	A	1541	scaffold_91	NA	A0A2P8Z519	PF10551;PF04500	MULE transposase domain; FLYWCH zinc finger domain	IPR018289;IPR007588	MULE transposase domain; Zinc finger, FLYWCH-type	NA	Y
g23556	9.38533989722183	1.92952198508433	5.82132526643115	2.30281915690546e-06	0.000407934204344533	BM up	scaffold_85	A	773	scaffold_85	ASHH2_ARATH	A0A0L0BZU8	PF00856	SET domain	IPR001214	SET domain	GO:0005515	Y
g21447	9.23194770694661	2.79084541295266	5.55497868511585	4.61379598325378e-06	0.000454193287669882	BM up	scaffold_348	A	1633	scaffold_348	TTLL4_MOUSE	J9K688	PF03133	Tubulin-tyrosine ligase family	IPR004344	Tubulin-tyrosine ligase/Tubulin polyglutamylase	GO:0006464	Y
g19844	9.11191101964512	2.62114399130048	5.54290944121679	4.7469346270464e-06	0.000456538214842922	BM up	scaffold_431	A	1460	scaffold_431	NA	NA	PF02902	Ulp1 protease family, C-terminal catalytic domain	IPR003653	Ulp1 protease family, C-terminal catalytic domain	GO:0006508;GO:0008234	Y
g22713	9.03147430591101	1.68106954482829	5.97635139547305	1.52312942399098e-06	0.000337834541642594	BM up	scaffold_6	A	1559	scaffold_6	NA	A0A087UAY4	PF13843	Transposase IS4	IPR029526	PiggyBac transposable element-derived protein	NA	Y
g11648	8.89403725339448	1.9475103028331	5.77561462820043	2.56043856336892e-06	0.000407934204344533	BM up	scaffold_152	A	557	scaffold_152	PPIA1_RHIO9	P0C1H7	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	GO:0000413;GO:0003755	Y
g19785	8.59031717598505	1.41028099984662	5.90082507395199	1.83148647576293e-06	0.000380317639898081	BM up	scaffold_60	A	1031	scaffold_60	KAPC1_DROME	A0A1S3DFC7	PF00069	Protein kinase domain	IPR000719	Protein kinase domain	GO:0004672;GO:0005524;GO:0006468	Y
g14656	8.56812374494946	1.71593784213695	5.62514738391847	3.76445195512377e-06	0.000430447477325255	BM up	scaffold_96	A	1055	scaffold_96	KAPC1_DROME	A0A0K0JSZ6	PF00069	Protein kinase domain	IPR000719	Protein kinase domain	GO:0004672;GO:0005524;GO:0006468	Y
g20216	8.49601087631856	1.52984050803232	5.75341912158259	2.68369249188349e-06	0.000407934204344533	BM up	scaffold_71	A	875	scaffold_71	NA	NA	PF01963	TraB family	IPR002816	TraB family	NA	Y
g12499	8.38534146894532	3.07968696181825	5.3970074537335	6.83483074061351e-06	0.000549995596137922	BM up	scaffold_283	A	1377	scaffold_283	NA	NA	PF00079	Serpin (serine protease inhibitor)	IPR023796	Serpin domain	NA	Y
