"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","tid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g10000",-1.79784529032655,4.44009881859839,-6.46178622777263,9.93616762161786e-07,4.66783279222534e-06,4.97124413921934,"g10000.t1","0890440f5444913ec3431ae8f284a864",961,"SignalP_EUK","SignalP-noTM","",1,17,"-",TRUE,"27-07-2020","","",""
"2","g10000",-1.79784529032655,4.44009881859839,-6.46178622777263,9.93616762161786e-07,4.66783279222534e-06,4.97124413921934,"g10000.t1","0890440f5444913ec3431ae8f284a864",961,"Pfam","PF09820","Predicted AAA-ATPase",34,348,"2.0E-22",TRUE,"27-07-2020","IPR018631","AAA-ATPase-like domain",""
"3","g10000",-1.79784529032655,4.44009881859839,-6.46178622777263,9.93616762161786e-07,4.66783279222534e-06,4.97124413921934,"g10000.t1","0890440f5444913ec3431ae8f284a864",961,"Pfam","PF09820","Predicted AAA-ATPase",498,820,"1.8E-22",TRUE,"27-07-2020","IPR018631","AAA-ATPase-like domain",""
"4","g10005",7.540220660399,-0.473867341843081,9.32587674820727,1.52617394748744e-09,2.1914615893871e-08,11.5541189985855,"g10005.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","g10006",9.65223314070232,1.46509789456577,6.82996011568096,4.07316017672763e-07,2.18255730647232e-06,6.5460091681828,"g10006.t1","25fd2b3e27aa2de407d2582c8bfb4276",262,"SignalP_EUK","SignalP-noTM","",1,22,"-",TRUE,"27-07-2020","","",""
"6","g10009",12.4021336967862,0.702666335788436,11.8506665259566,1.19796215549658e-11,4.58462942703185e-10,15.4588535484617,"g10009.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","g10013",0.99530164320884,3.90244408768923,7.35383857887118,1.17838725618741e-07,7.71693421804319e-07,7.2221080762875,"g10013.t2","ae88fdb1954204db3317104486273888",1309,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"8","g10013",0.99530164320884,3.90244408768923,7.35383857887118,1.17838725618741e-07,7.71693421804319e-07,7.2221080762875,"g10013.t1","d48872120ae9023087c499d47b3b2948",1331,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"9","g10013",0.99530164320884,3.90244408768923,7.35383857887118,1.17838725618741e-07,7.71693421804319e-07,7.2221080762875,"g10013.t2","ae88fdb1954204db3317104486273888",1309,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.7E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"10","g10013",0.99530164320884,3.90244408768923,7.35383857887118,1.17838725618741e-07,7.71693421804319e-07,7.2221080762875,"g10013.t3","e32ac3b3a2cb0e2607333b16ed0c8e52",1292,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"11","g10013",0.99530164320884,3.90244408768923,7.35383857887118,1.17838725618741e-07,7.71693421804319e-07,7.2221080762875,"g10013.t3","e32ac3b3a2cb0e2607333b16ed0c8e52",1292,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.5E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"12","g10013",0.99530164320884,3.90244408768923,7.35383857887118,1.17838725618741e-07,7.71693421804319e-07,7.2221080762875,"g10013.t1","d48872120ae9023087c499d47b3b2948",1331,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.9E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"13","g10019",0.578272029026307,4.85302004691462,7.79934240750835,4.21988156310532e-08,3.30073255847566e-07,8.02512021242682,"g10019.t1","a8aaeb9ca60832b3f722ac2cf91ec884",403,"Pfam","PF01399","PCI domain",283,392,"7.1E-14",TRUE,"27-07-2020","IPR000717","Proteasome component (PCI) domain",""
"14","g10021",1.50627964782237,4.52459997321186,9.90220928354254,4.7163749839966e-10,8.68637667730376e-09,12.757172555863,"g10021.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","g10029",-1.62202830515805,2.52409293260217,-5.90360470155133,3.95233235973102e-06,1.54154939489488e-05,3.96103770308224,"g10029.t1","587c254f0c4677fc26f5f68e5986a033",654,"SignalP_EUK","SignalP-noTM","",1,21,"-",TRUE,"27-07-2020","","",""
"16","g10029",-1.62202830515805,2.52409293260217,-5.90360470155133,3.95233235973102e-06,1.54154939489488e-05,3.96103770308224,"g10029.t1","587c254f0c4677fc26f5f68e5986a033",654,"Pfam","PF09820","Predicted AAA-ATPase",48,381,"1.5E-27",TRUE,"27-07-2020","IPR018631","AAA-ATPase-like domain",""
"17","g10034",1.51017068392413,8.04050146663234,10.2294908315228,2.46633810672661e-10,5.15511406499634e-09,13.0179411797725,"g10034.t1","6ab934068de4134cab231c1651b08420",722,"Pfam","PF12698","ABC-2 family transporter protein",335,704,"5.3E-25",TRUE,"27-07-2020","","",""
"18","g10034",1.51017068392413,8.04050146663234,10.2294908315228,2.46633810672661e-10,5.15511406499634e-09,13.0179411797725,"g10034.t1","6ab934068de4134cab231c1651b08420",722,"Pfam","PF00005","ABC transporter",72,206,"1.3E-28",TRUE,"27-07-2020","IPR003439","ABC transporter-like","GO:0005524|GO:0016887"
"19","g10036",1.50038266905783,5.11484082244571,11.5435000530643,2.07690739714281e-11,7.0928846610256e-10,15.8174850111158,"g10036.t1","ff83201ff0dfc0c59f4c3de2d10187ab",633,"Pfam","PF13639","Ring finger domain",153,201,"4.5E-7",TRUE,"27-07-2020","IPR001841","Zinc finger, RING-type",""
"20","g10038",0.681771304717047,6.14113910358337,9.21581650748945,1.91908843341274e-09,2.59603095512665e-08,10.9849243984375,"g10038.t1","e65ed79a445b6e0d002c35f7f3a6a30e",199,"Pfam","PF00179","Ubiquitin-conjugating enzyme",8,147,"3.6E-42",TRUE,"27-07-2020","IPR000608","Ubiquitin-conjugating enzyme E2",""
"21","g10042",0.879977854841744,4.74061509284478,8.07842410506256,2.24754593802324e-08,1.94011228324115e-07,8.70505175670955,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"SignalP_EUK","SignalP-noTM","",1,19,"-",TRUE,"27-07-2020","","",""
"22","g10042",0.879977854841744,4.74061509284478,8.07842410506256,2.24754593802324e-08,1.94011228324115e-07,8.70505175670955,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01534","Frizzled/Smoothened family membrane region",224,550,"4.0E-63",TRUE,"27-07-2020","IPR000539","Frizzled/Smoothened, transmembrane domain","GO:0007166|GO:0016020"
"23","g10042",0.879977854841744,4.74061509284478,8.07842410506256,2.24754593802324e-08,1.94011228324115e-07,8.70505175670955,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01392","Fz domain",73,179,"1.5E-12",TRUE,"27-07-2020","IPR020067","Frizzled domain","GO:0005515"
"24","g10044",-0.553631155544606,8.99276851581745,-8.39017212154212,1.12566934087975e-08,1.09240033499764e-07,9.07487969084142,"g10044.t1","e2318b0ab490d69e294ea3affb5c90b1",330,"Pfam","PF01459","Eukaryotic porin",26,297,"2.9E-70",TRUE,"27-07-2020","IPR027246","Eukaryotic porin/Tom40","GO:0005741|GO:0055085"
"25","g10051",-3.33942027484263,2.24032882446693,-5.29007660576239,1.86327850128437e-05,5.98784864032036e-05,2.63174097371952,"g10051.t1","9dd6c863095d64995bf8911f720cf501",525,"Pfam","PF00328","Histidine phosphatase superfamily (branch 2)",109,391,"4.2E-10",TRUE,"27-07-2020","IPR000560","Histidine phosphatase superfamily, clade-2",""
"26","g10051",-3.33942027484263,2.24032882446693,-5.29007660576239,1.86327850128437e-05,5.98784864032036e-05,2.63174097371952,"g10051.t1","9dd6c863095d64995bf8911f720cf501",525,"SignalP_EUK","SignalP-noTM","",1,20,"-",TRUE,"27-07-2020","","",""
