gene,deM,seq.x,b.status.final,blast,diamond,pfam_descr,ipr_descr,deF
g10080,B+,scaffold_130,A,NA,NA,Predicted AAA-ATPase,AAA-ATPase-like domain,B+
g10279,B+,scaffold_150,A,M10B1_DANRE,A0A2J7QS54,AAA domain; AAA domain,"DNA2/NAM7 helicase-like, AAA domain; DNA2/NAM7 helicase, AAA domain",B+
g10289,B+,scaffold_689,A,NA,J9LF57,DDE superfamily endonuclease,DDE superfamily endonuclease domain,B+
g10786,B+,scaffold_270,A,NA,NA,Carboxylesterase family,"Carboxylesterase, type B",B+
g10916,B+,scaffold_1,A,NA,X1XR80,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8; MULE transposase domain,Calcium-responsive transcription factor; MULE transposase domain,B+
g10961,B+,scaffold_1,A,NA,X1XR80,MULE transposase domain; Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8,MULE transposase domain; Calcium-responsive transcription factor,B+
g1128,B+,scaffold_605,A,NA,A0A2J7PQL3,RhoGEF domain,Dbl homology (DH) domain,B+
g11595,B+,scaffold_1801,A,NA,J9M2D0,"Tc5 transposase DNA-binding domain; helix-turn-helix, Psq domain; DDE superfamily endonuclease","HTH CenpB-type DNA-binding domain; DNA binding HTH domain, Psq-type; DDE superfamily endonuclease domain",B+
g11609,B+,scaffold_289,A,NA,NA,Fibronectin type III domain,Fibronectin type III,B+
g11943,B+,scaffold_1237,A,NA,K7JKD1,NA,NA,B+
g1208,B+,scaffold_2293,B1,FAS_CHICK,A0A2J7PFW7,NA,NA,B+
g12187,B+,scaffold_170,A,NA,J9LV95,Protein of unknown function (DUF 659),Domain of unknown function DUF659,B+
g13530,B+,scaffold_266,A,SAP_BOVIN,A0A437BE89,"Saposin-like type B, region 1; Saposin A-type domain; Saposin-like type B, region 2","Saposin-like type B, region 1; Saposin A-type domain; Saposin B type, region 2",B+
g13531,B+,scaffold_266,A,NA,NA,THAP domain,THAP-type zinc finger,B+
g14546,B+,scaffold_145,A,NA,NA,Transactive response DNA-binding protein N-terminal domain,"TAR DNA-binding protein 43, N-terminal",B+
g1576,B+,scaffold_206,A,NA,J9LAU4,NA,NA,B+
g16062,B+,scaffold_315,A,COPIA_DROME,J9KJ72,gag-polypeptide of LTR copia-type; Reverse transcriptase (RNA-dependent DNA polymerase); GAG-pre-integrase domain,"Reverse transcriptase, RNA-dependent DNA polymerase; GAG-pre-integrase domain",B+
g16189,B+,scaffold_54,A,LST_PHOPY,A0A232F7D1,Sulfotransferase domain,Sulfotransferase domain,B+
g17760,B+,scaffold_186,A,PEPT1_DROME,A0A2J7R2B1,POT family,Proton-dependent oligopeptide transporter family,B+
g17873,B+,scaffold_146,A,C4G15_DROME,A0A195CUP0,Cytochrome P450,Cytochrome P450,B+
g17875,B+,scaffold_146,A,CA131_DROME,J9K6X1,Cytochrome P450,Cytochrome P450,B+
g18056,B+,scaffold_217,A,NA,A0A3S2NZ68,YqaJ-like viral recombinase domain,YqaJ viral recombinase,B+
