#B	REST	length_diff	mean_bitscore
g23391.t1	g3035.t1	251	576.0
g12833.t1	g14293.t1	7	567.0
g17664.t1	g6379.t1	0	423.5
g19189.t1	g17584.t1	694	420.0
g16455.t1	g18457.t1	211	398.0
g19190.t1	g14315.t1	90	380.0
g9551.t1	g9537.t1	34	351.5
g9062.t1	g4663.t1	310	321.5
g20106.t1	g17798.t1	164	315.5
g19061.t1	g9417.t1	649	315.5
g12832.t1	g14294.t1	141	305.0
g20089.t1	g9494.t2	51	290.0
g9552.t1	g9536.t1	18	287.5
g20098.t1	g17886.t1	0	264.0
g20092.t1	g4374.t1	41	245.0
g17662.t1	g965.t1	196	242.0
g9061.t1	g22786.t1	2	235.0
g20090.t1	g1662.t3	394	223.0
g17663.t1	g16616.t1	661	194.5
g13953.t3	g11059.t1	170	182.5
g5582.t1	g12687.t1	687	178.0
g20083.t1	g17478.t1	874	164.0
g20108.t1	g3687.t1	266	162.0
g20103.t1	g15135.t1	381	157.5
g20110.t1	g9498.t1	11	151.0
g2644.t1	g863.t2	915	149.5
g20084.t1	g22599.t1	417	147.0
g15851.t1	g21071.t1	424	145.0
g20100.t1	g8761.t1	113	136.5
g20107.t1	g17797.t1	14	121.5
g20085.t1	g20768.t1	8	115.5
g20097.t1	g17887.t1	5	115.5
g16324.t1	g2606.t1	420	111.0
g820.t1	g13771.t1	121	109.0
g9063.t1	g4664.t1	523	105.5
g20104.t1	g1602.t1	27	105.0
g12159.t1	g15410.t1	148	105.0
g13785.t1	g13967.t1	33	104.5
g20101.t1	g13170.t1	1500	103.5
g20836.t1	g19270.t1	2119	97.0
g12160.t1	g9718.t1	238	96.0
g20091.t1	g4375.t1	420	93.0
g17661.t1	g6380.t1	343	92.5
g20086.t1	g2692.t1	214	90.5
g20095.t1	g15143.t1	105	85.0
g1208.t1	g11463.t1	1656	82.0
g20114.t1	g9664.t1	14	76.0
g17665.t1	g6378.t2	767	74.0
g20096.t1	g17889.t1	1	73.5
g12981.t1	g896.t1	273	71.0
g20088.t1	g19939.t2	562	69.5
g818.t1	g23033.t1	75	57.5
