"","X1","gene","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1",1,"g11147","scaffold_751",1109,NA,NA,NA,"N",61138,"A",0.771597309602792,"A","A","A"
"2",2,"g1124","scaffold_605",432,NA,NA,NA,"N",140797,"A",-2.17625348427945,"A","A","A"
"3",3,"g1125","scaffold_605",317,NA,NA,NA,"N",140797,"A",-2.17625348427945,"A","A","A"
"4",4,"g1126","scaffold_605",403,NA,NA,NA,"N",140797,"A",-2.17625348427945,"A","A","A"
"5",5,"g1127","scaffold_605",394,NA,NA,NA,"N",140797,"A",-2.17625348427945,"A","A","A"
"6",6,"g11727","scaffold_168",1733,NA,"X1WKK7","Transposase IS4","Y",815591,"A",-0.735291064494008,"A","A","A"
"7",7,"g11911","scaffold_74",1326,NA,NA,NA,"N",1279699,"A",-0.154455423423892,"A","A","A"
"8",8,"g12210","scaffold_449",1160,NA,"Q8A7P0","Predicted AAA-ATPase","Y",264459,"A",0.417029184618463,"A","A","A"
"9",9,"g13773","scaffold_1833",1288,NA,"K7JKD4","Haemolysin E (HlyE)","Y",8794,"A",-4.417022,"A","A","A"
"10",10,"g13953","scaffold_2040",1483,"EP300_HUMAN","A0A3B3RK67","Histone acetylation protein","Y",6888,"B1",1.200703,"B.strict","A","B"
"11",11,"g14433","scaffold_344",1424,NA,"A0A2P8XL08","FLYWCH zinc finger domain,MULE transposase domain","Y",387431,"A",-0.25207119257672,"A","A","A"
"12",12,"g14861","scaffold_33",2292,"CMTR2_MOUSE","A0A2P8ZED2","FtsJ-like methyltransferase","Y",1685622,"A",0.0595083467330614,"A","A","A"
"13",13,"g15418","scaffold_133",786,NA,NA,"Eukaryotic-type carbonic anhydrase","Y",943319,"A",0.108656035159934,"A","A","A"
"14",14,"g1752","scaffold_1732",1061,NA,NA,"gag-polypeptide of LTR copia-type,Zinc knuckle","Y",9831,"A",0.8821506,"A","A","A"
"15",15,"g17908","scaffold_983",1353,"CP4G1_DROME","J9JU30","Cytochrome P450","Y",25831,"A",-4.40988632559095,"A","A","A"
"16",16,"g18037","scaffold_507",368,NA,NA,NA,"N",218151,"A",-0.0618832712347155,"A","A","A"
"17",17,"g18767","scaffold_114",377,NA,NA,NA,"N",1045659,"A",-0.645628229182483,"A","A","A"
"18",18,"g20946","scaffold_91",1541,NA,"A0A2P8Z519","MULE transposase domain,FLYWCH zinc finger domain","Y",1192111,"A",-0.163877665167549,"A","A","A"
"19",19,"g21055","scaffold_1221",748,NA,NA,"gag-polypeptide of LTR copia-type","Y",17992,"A",-1.537484,"A","A","A"
"20",20,"g2153","scaffold_1275",1472,NA,NA,NA,"N",17055,"A",1.28001,"A","A","A"
"21",21,"g22019","scaffold_124",3066,NA,NA,NA,"N",971564,"A",-0.484528265546918,"A","A","A"
"22",22,"g22863","scaffold_37",1097,"SPOPB_XENLA","A0A1I8Q4G3","BTB/POZ domain","Y",1648890,"A",-0.516654036222865,"A","A","A"
"23",23,"g23373","scaffold_470",2003,NA,NA,"Sugar (and other) transporter","Y",246332,"A",-0.0271652549002531,"A","A","A"
"24",24,"g2571","scaffold_90",1849,NA,"E2A388","DDE superfamily endonuclease","Y",1197345,"A",-0.38538550819387,"A","A","A"
"25",25,"g2736","scaffold_51",890,NA,NA,NA,"N",1437107,"A",0.00253595447181994,"A","A","A"
"26",26,"g3147","scaffold_338",549,NA,NA,NA,"N",393854,"A",-0.665898142432268,"A","A","A"
"27",27,"g4426","scaffold_94",1000,NA,"A0A2P8XIJ0","Transposase IS4","Y",1173942,"A",-0.107697128131327,"A","A","A"
"28",28,"g5181","scaffold_504",1548,NA,NA,NA,"N",220088,"A",0.432674570631686,"A","A","A"
"29",29,"g5312","scaffold_1578",879,NA,NA,"Transposase IS4","Y",11811,"B2",0.2228978,"B.loose","A","A"
"30",30,"g5555","scaffold_530",1219,NA,NA,NA,"N",203235,"A",0.179661075425981,"A","A","A"
"31",31,"g5653","scaffold_1013",2682,"POLX_TOBAC","A0A182GA29","Reverse transcriptase (RNA-dependent DNA polymerase),Integrase core domain","Y",24300,"A",0.09870272,"A","A","A"
"32",32,"g5671","scaffold_555",2120,NA,"A0A2P8ZLW3","Transposase IS4","Y",186860,"A",-0.278888280960369,"A","A","A"
"33",33,"g627","scaffold_132",434,NA,NA,NA,"N",944065,"A",0.0574018976621374,"A","A","A"
"34",34,"g6708","scaffold_179",217,NA,NA,NA,"N",784024,"A",-0.047199161958179,"A","A","A"
"35",35,"g6828","scaffold_81",1985,NA,"A0A1U8N8I4","Domain of unknown function (DUF4371),hAT family C-terminal dimerisation region","Y",1225220,"A",0.2151287278652,"A","A","A"
"36",36,"g7913","scaffold_46",666,NA,NA,NA,"N",1511820,"A",0.26897989793351,"A","A","A"
"37",37,"g8501","scaffold_543",761,NA,NA,NA,"N",195591,"B3",-0.0471392890068341,"B.loose","A","A"
"38",38,"g8748","scaffold_194",342,NA,NA,NA,"N",708625,"A",0.0444402591661593,"A","A","A"
"39",39,"g8749","scaffold_194",721,NA,NA,NA,"N",708625,"A",0.0444402591661593,"A","A","A"
"40",40,"g9431","scaffold_434",1442,NA,NA,NA,"N",283348,"A",-0.0465893811169931,"A","A","A"
