"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g12841",-5.18084270912299,-3.17394147146104,-17.0736329781742,7.6074984590022e-16,3.56582471519581e-12,"scaffold_44",454,NA,NA,"Uncharacterized conserved domain (SAYSvFN)","Y",1539515,"A",0.24440900048378,"A","A","A"
"2","g22782",-4.59534546905161,-3.68578332480764,-13.9709205504635,8.11609317891782e-14,9.51053943822063e-11,"scaffold_196",436,NA,NA,NA,"N",708020,"A",0.0648275848554154,"A","A","A"
"3","g6329",-5.48899473238736,-2.30566492673059,-13.883015239636,9.37405078562404e-14,1.01024372400419e-10,"scaffold_235",313,"PCNA_BOMMO","R4G4N7","Proliferating cell nuclear antigen, C-terminal domain","Y",589863,"A",-0.421220801409282,"A","A","A"
"4","g8819",-6.99624391187685,-2.49816062703878,-11.3909759202572,7.62756432745857e-12,4.61320011533938e-09,"scaffold_177",878,NA,NA,NA,"N",798885,"A",0.255697123366173,"A","A","A"
"5","g17872",-5.8067162984011,-2.27177931689396,-11.0095937350637,1.58386537350372e-11,8.48454053937749e-09,"scaffold_146",560,"C4G15_DROME",NA,"Cytochrome P450","Y",897096,"A",-0.0883573310697607,"A","A","A"
"6","g13497",-4.45506988149609,2.23119189734197,-10.8809108176606,2.03448464637547e-11,1.05957090652482e-08,"scaffold_143",1513,NA,"E0VQ39",NA,"Y",907036,"A",-0.571793109644816,"A","A","A"
"7","g9195",-4.62757113437507,-3.25386657645829,-10.4747734389855,4.54759126873911e-11,2.24375759730499e-08,"scaffold_442",1250,NA,NA,NA,"N",275404,"A",0.481953666300196,"A","A","A"
"8","g17204",-3.34807872500463,2.48590490866289,-10.0787413861409,1.01575171432241e-10,4.06793969123237e-08,"scaffold_57",1121,"DUT_HUMAN","A0A2A4JSL6","dUTPase,Zinc knuckle,gag-polypeptide of LTR copia-type","Y",1361687,"A",-0.000589508814948349,"A","A","A"
"9","g15798",-7.54498242531504,0.16657361380936,-10.0783376793606,1.01975126933661e-10,4.06793969123237e-08,"scaffold_1906",1750,NA,NA,"BTB And C-terminal Kelch,BTB/POZ domain","Y",8069,"A",0.4633885,"A","A","A"
"10","g15797",-8.39511352649992,0.591412121802686,-9.94189590181662,1.35486807536565e-10,5.29217115521469e-08,"scaffold_1906",755,"CBP_MOUSE","G5BVC5","TAZ zinc finger","Y",8069,"A",0.4633885,"A","A","A"
"11","g18640",-3.86050350416542,-0.440473539664121,-9.72104569336037,2.13474740667733e-10,8.00487582555865e-08,"scaffold_362",244,NA,NA,"Hsp70 protein","Y",370763,"A",0.126613199310962,"A","A","A"
