"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g1462",5.18880558526849,8.52092649630345,27.7379487448552,2.37732024285398e-20,4.45723772332693e-16,"scaffold_20",4018,NA,"A0A3Q0INX5",NA,"Y",2080048,"A",-0.276802188011742,"A","A","A"
"2","g14360",7.47698257213592,7.23769430301747,22.9150890066643,2.18749246196463e-18,2.05066480846874e-14,"scaffold_24",802,"TBA3_BOVIN","A0A2A2KX38","Tubulin/FtsZ family, GTPase domain","Y",1928806,"A",-0.0748349104953836,"A","A","A"
"3","g23353",6.10441476735405,7.64387255197414,22.098082582776,5.11948152690213e-18,3.1995053049296e-14,"scaffold_185",1015,"TBA2_CAEEL","A0A3Q1EH56","Tubulin/FtsZ family, GTPase domain","Y",758493,"A",-0.286513105197939,"A","A","A"
"4","g15126",6.48051918690952,5.90142413864334,21.3568684319451,1.1370205072999e-17,5.32949937284146e-14,"scaffold_76",835,NA,NA,"Haemolymph juvenile hormone binding protein (JHBP)","Y",1257193,"A",0.209389231324237,"A","A","A"
"5","g7362",5.22523609702498,7.07030185254817,21.0345002742167,1.62034059667527e-17,6.07595316941292e-14,"scaffold_149",950,NA,NA,NA,"N",892767,"A",-0.0260733349111462,"A","A","A"
"6","g14382",8.57911921301685,6.27681828953943,20.7217166194653,2.3059577331499e-17,6.16394001908183e-14,"scaffold_24",1181,NA,NA,NA,"N",1928806,"A",-0.0748349104953836,"A","A","A"
"7","g13803",4.28154394139719,6.86234264496659,20.6296297264512,2.54743444273264e-17,6.16394001908183e-14,"scaffold_254",2167,"PAL2_DROME","J9JSH4","NHL repeat","Y",531794,"A",-0.17067731239185,"A","A","A"
"8","g13934",3.98458085656968,8.45872513561567,20.5929729643537,2.65499893361268e-17,6.16394001908183e-14,"scaffold_553",4031,"CAPU_DROME","A0A067R058","Formin Homology 2 Domain","Y",188930,"A",0.356453406642106,"A","A","A"
"9","g22065",5.28257879036574,6.44335354839282,20.4937463384414,2.97088136980782e-17,6.16394001908183e-14,"scaffold_342",1719,"ZFAN6_HUMAN","A0A2P8YC23","AN1-like Zinc finger","Y",390780,"A",-0.346987692304475,"A","A","A"
"10","g7883",7.70425371131931,8.23478104920851,20.3526999500211,3.49513871313395e-17,6.16394001908183e-14,"scaffold_46",1061,"PP1G_HUMAN","A0A0C9MMR5","Calcineurin-like phosphoesterase","Y",1511820,"A",0.26897989793351,"A","A","A"
"11","g17560",3.7261324344025,7.21221669905742,20.3209545022908,3.61637101764895e-17,6.16394001908183e-14,"scaffold_247",1138,"LDH_DROME","B0XBA2","lactate/malate dehydrogenase, NAD binding domain,lactate/malate dehydrogenase, alpha/beta C-terminal domain","Y",544523,"A",-0.145962578889429,"A","A","A"
"12","g13530",5.47557250288433,6.04104472289721,20.0458519313431,4.96267277417084e-17,7.75376265357743e-14,"scaffold_266",3107,"SAP_BOVIN","A0A437BE89","Saposin-like type B, region 1,Saposin A-type domain,Saposin-like type B, region 2","Y",513539,"A",-0.0200443239330516,"A","A","A"
"13","g9973",4.56110006098568,6.60628303202075,19.747149662737,7.02624739822637e-17,1.01334701899497e-13,"scaffold_53",1923,"KLH10_HUMAN","A0A151WTN2","Kelch motif,BTB/POZ domain,BTB And C-terminal Kelch","Y",1421213,"A",0.15328615067164,"A","A","A"
"14","g5194",6.82780190696843,7.02069641828332,19.3176660201285,1.16933764501912e-16,1.56599367903311e-13,"scaffold_504",1535,NA,"A0A067R6B0",NA,"Y",220088,"A",0.432674570631686,"A","A","A"
"15","g21687",8.75587209454412,5.11136670266167,18.8003902577123,2.19441653335746e-16,2.73517941317776e-13,"scaffold_9",893,NA,NA,NA,"N",2791333,"A",0.155028969252163,"A","A","A"
"16","g11667",4.19225938292026,7.34635203541494,18.7461584376676,2.33414425360521e-16,2.73517941317776e-13,"scaffold_152",1517,"TBCE_RAT","A0A2J7QV38","CAP-Gly domain,Leucine-rich repeat","Y",874986,"A",-0.337731301182939,"A","A","A"
