"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","gid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g10005.t1",7.53591973749294,-0.473865804064674,9.53789853576843,1.04798905778206e-09,1.8571843921658e-08,12.0008208646267,"g10005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","g10006.t1",9.6457319970691,1.46509943234417,7.16596861098349,1.89997491645957e-07,1.28853185351207e-06,7.28787846191082,"g10006","25fd2b3e27aa2de407d2582c8bfb4276",262,"SignalP_EUK","SignalP-noTM","",1,22,"-",TRUE,"27-07-2020","","",""
"3","g10009.t1",12.3968051265183,0.702667873566843,12.6801047739769,3.12219787847894e-12,1.76580749778987e-10,16.7905278573759,"g10009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","g10019.t1",0.572949988328478,4.85302158469302,7.6597276414568,6.05399528654765e-08,5.01095754440751e-07,7.66373981512211,"g10019","a8aaeb9ca60832b3f722ac2cf91ec884",403,"Pfam","PF01399","PCI domain",283,392,"7.1E-14",TRUE,"27-07-2020","IPR000717","Proteasome component (PCI) domain",""
"5","g10021.t1",1.50056127542403,4.52460151099026,9.87597036117604,5.30168965011049e-10,1.06915678756142e-08,12.6396539466257,"g10021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","g10034.t1",1.50420001737044,8.04050300441074,9.98338141516891,4.2824421580041e-10,9.13676323772924e-09,12.4271657791285,"g10034","6ab934068de4134cab231c1651b08420",722,"Pfam","PF00005","ABC transporter",72,206,"1.3E-28",TRUE,"27-07-2020","IPR003439","ABC transporter-like","GO:0005524|GO:0016887"
"7","g10034.t1",1.50420001737044,8.04050300441074,9.98338141516891,4.2824421580041e-10,9.13676323772924e-09,12.4271657791285,"g10034","6ab934068de4134cab231c1651b08420",722,"Pfam","PF12698","ABC-2 family transporter protein",335,704,"5.3E-25",TRUE,"27-07-2020","","",""
"8","g10036.t1",1.49482887608987,5.11484236022411,11.4972499954708,2.44730717475744e-11,9.00247407500939e-10,15.6566632043253,"g10036","ff83201ff0dfc0c59f4c3de2d10187ab",633,"Pfam","PF13639","Ring finger domain",153,201,"4.5E-7",TRUE,"27-07-2020","IPR001841","Zinc finger, RING-type",""
"9","g10038.t1",0.67645797755966,6.14114064136177,9.07598965691208,2.72236825419137e-09,3.88828896180764e-08,10.6317550844239,"g10038","e65ed79a445b6e0d002c35f7f3a6a30e",199,"Pfam","PF00179","Ubiquitin-conjugating enzyme",8,147,"3.6E-42",TRUE,"27-07-2020","IPR000608","Ubiquitin-conjugating enzyme E2",""
"10","g10042.t1",0.873767781373212,4.74061663062318,7.99272509367035,2.85041868692988e-08,2.6897208165994e-07,8.46823246915293,"g10042","49b2ebedee84333b4b6a92f45968970a",787,"SignalP_EUK","SignalP-noTM","",1,19,"-",TRUE,"27-07-2020","","",""
"11","g10042.t1",0.873767781373212,4.74061663062318,7.99272509367035,2.85041868692988e-08,2.6897208165994e-07,8.46823246915293,"g10042","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01392","Fz domain",73,179,"1.5E-12",TRUE,"27-07-2020","IPR020067","Frizzled domain","GO:0005515"
"12","g10042.t1",0.873767781373212,4.74061663062318,7.99272509367035,2.85041868692988e-08,2.6897208165994e-07,8.46823246915293,"g10042","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01534","Frizzled/Smoothened family membrane region",224,550,"4.0E-63",TRUE,"27-07-2020","IPR000539","Frizzled/Smoothened, transmembrane domain","GO:0007166|GO:0016020"
"13","g10044.t1",-0.558300460629722,8.99277005359586,-8.74645367064377,5.47130651640657e-09,6.90953598671198e-08,9.76407329825554,"g10044","e2318b0ab490d69e294ea3affb5c90b1",330,"Pfam","PF01459","Eukaryotic porin",26,297,"2.9E-70",TRUE,"27-07-2020","IPR027246","Eukaryotic porin/Tom40","GO:0005741|GO:0055085"
"14","g10052.t1",4.28092941996103,0.287868605517918,7.38203845688655,1.1473486956725e-07,8.53785964948703e-07,7.79857531803896,"g10052","ef0111a5efce8e5f91819b7002b7167e",358,"SignalP_EUK","SignalP-noTM","",1,18,"-",TRUE,"27-07-2020","","",""
"15","g10054.t1",7.54803880874173,0.000116275335266779,6.94067812645077,3.23518891444507e-07,2.00896140695597e-06,6.76833964999476,"g10054","07dc0d4805c13710ffc8489518463fb1",496,"SignalP_EUK","SignalP-noTM","",1,18,"-",TRUE,"27-07-2020","","",""
