"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","tid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g10130",-3.67389300002603,-4.46549844527486,-7.25159982496149,1.49699841779182e-07,1.76523417202383e-05,7.43830408739059,"g10130.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","g10279",4.71916858159545,5.31976555932997,7.84194203116787,3.83043833208879e-08,5.93880701511402e-06,8.33159001825755,"g10279.t1","3d6a13cd785260603525759d4bd844bd",757,"Pfam","PF13086","AAA domain",427,500,"7.5E-14",TRUE,"27-07-2020","IPR041677","DNA2/NAM7 helicase, AAA domain",""
"3","g10279",4.71916858159545,5.31976555932997,7.84194203116787,3.83043833208879e-08,5.93880701511402e-06,8.33159001825755,"g10279.t1","3d6a13cd785260603525759d4bd844bd",757,"Pfam","PF13086","AAA domain",311,421,"1.8E-17",TRUE,"27-07-2020","IPR041677","DNA2/NAM7 helicase, AAA domain",""
"4","g10279",4.71916858159545,5.31976555932997,7.84194203116787,3.83043833208879e-08,5.93880701511402e-06,8.33159001825755,"g10279.t1","3d6a13cd785260603525759d4bd844bd",757,"Pfam","PF13087","AAA domain",509,719,"1.8E-41",TRUE,"27-07-2020","IPR041679","DNA2/NAM7 helicase-like, AAA domain",""
"5","g10471",-1.40418666774175,7.13312185131257,-12.8156316454295,2.2683546322355e-12,3.03781292855595e-09,17.6750042329556,"g10471.t1","c42d097d6d4fee21509dccb0fc50df98",1808,"Pfam","PF13001","Proteasome stabiliser",11,481,"2.6E-86",TRUE,"27-07-2020","IPR024372","Proteasome component Ecm29","GO:0043248|GO:0060090"
"6","g1060",6.49095013109657,1.46874961573104,12.0145313932086,8.96932611167507e-12,8.40829476338979e-09,16.9915486123032,"g1060.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","g10773",4.41169304555351,-0.229174614500703,6.47537368093848,9.61178605184313e-07,8.01441769238438e-05,5.75207128992574,"g10773.t1","a474ee5107eb75e01255fefdf126e581",348,"Pfam","PF00135","Carboxylesterase family",102,338,"1.4E-16",TRUE,"27-07-2020","IPR002018","Carboxylesterase, type B",""
"8","g10773",4.41169304555351,-0.229174614500703,6.47537368093848,9.61178605184313e-07,8.01441769238438e-05,5.75207128992574,"g10773.t2","f6aa963b641822e4196e5ad0215182cf",237,"Pfam","PF00135","Carboxylesterase family",146,227,"1.8E-7",TRUE,"27-07-2020","IPR002018","Carboxylesterase, type B",""
"9","g10773",4.41169304555351,-0.229174614500703,6.47537368093848,9.61178605184313e-07,8.01441769238438e-05,5.75207128992574,"g10773.t2","f6aa963b641822e4196e5ad0215182cf",237,"Pfam","PF00135","Carboxylesterase family",3,83,"4.9E-15",TRUE,"27-07-2020","IPR002018","Carboxylesterase, type B",""
"10","g10773",4.41169304555351,-0.229174614500703,6.47537368093848,9.61178605184313e-07,8.01441769238438e-05,5.75207128992574,"g10773.t1","a474ee5107eb75e01255fefdf126e581",348,"Pfam","PF00135","Carboxylesterase family",3,83,"1.0E-14",TRUE,"27-07-2020","IPR002018","Carboxylesterase, type B",""
"11","g10800",-4.24593009867223,-0.542078469835842,-7.57020244576856,7.13310013778792e-08,9.98048466293924e-06,8.23860215619938,"g10800.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
