"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g13530",5.65760901941651,6.04104472289721,20.6641884265564,2.4506503568082e-17,4.59472435397969e-13,"scaffold_266",3107,"SAP_BOVIN","A0A437BE89","Saposin-like type B, region 1,Saposin A-type domain,Saposin-like type B, region 2","Y",513539,"A",-0.0200443239330516,"A","A","A"
"2","g9061",6.51879027865686,-3.07378944834512,18.0279467569828,5.72528648618237e-16,5.36716981647166e-12,"scaffold_848",1328,NA,NA,"Predicted AAA-ATPase","Y",36415,"B1",1.38857690730129,"B.strict","A","B"
"3","g18439",8.26710235774873,-1.7074944232765,15.8021256981266,1.13919894201429e-14,7.11961365460865e-11,"scaffold_1579",577,"CSN4_DANRE","A0A2J7R0G0","CSN4/RPN5/eIF3a helix turn helix domain,PCI domain","Y",11810,"B3",-0.3628997,"B.strict","A","B"
"4","g4593",8.68402397975903,-2.65478592467052,13.7459267031593,2.50057183659057e-13,1.17208053410592e-09,"scaffold_888",655,NA,NA,"Eukaryotic-type carbonic anhydrase","Y",31817,"A",-2.6127425295222,"A","A","A"
"5","g13191",5.67815732671688,-3.59965306503292,13.1788745763786,6.21229335773833e-13,2.21023411302221e-09,"scaffold_979",953,NA,NA,NA,"N",25972,"A",-1.33898736424306,"A","A","A"
"6","g4057",8.9672520081443,-0.890300193727616,13.1040232189332,7.0731263950788e-13,2.21023411302221e-09,"scaffold_438",1747,NA,NA,"BTB/POZ domain,BTB And C-terminal Kelch","Y",280546,"A",0.201201988679961,"A","A","A"
"7","g21295",7.95253285486872,-2.73180665248218,12.7873691421255,1.1937273330349e-12,2.60940643394597e-09,"scaffold_43",422,NA,NA,NA,"N",1553300,"A",-0.218640756987725,"A","A","A"
"8","g864",6.97120562332301,-3.29326780548207,12.7816564494727,1.20269962601902e-12,2.60940643394597e-09,"scaffold_158",441,NA,NA,"Transcription activator MBF2","Y",859120,"A",-0.331860621334502,"A","A","A"
"9","g4056",6.92330383880083,-2.78493767931802,12.7574291526863,1.25258189266168e-12,2.60940643394597e-09,"scaffold_438",815,NA,NA,NA,"N",280546,"A",0.201201988679961,"A","A","A"
"10","g4591",5.2169803665885,-4.50301262580757,11.4542628297035,1.22107773939988e-11,2.28939865360084e-08,"scaffold_793",400,NA,NA,"GNS1/SUR4 family","Y",47033,"A",-3.57793692025621,"A","A","A"
"11","g20279",8.90546604724907,-1.82221854770273,11.1294281596033,2.23476260446012e-11,3.80905127918389e-08,"scaffold_119",1413,NA,NA,"Sugar (and other) transporter","Y",991669,"A",-0.015208061271447,"A","A","A"
"12","g20277",7.11416145456704,-2.54648119205931,10.9374082701015,3.17897997817343e-11,4.9668913008978e-08,"scaffold_119",1422,NA,"T1I516","Sugar (and other) transporter","Y",991669,"A",-0.015208061271447,"A","A","A"
"13","g1128",3.7253542648751,5.11022361243524,10.6436279437151,5.53186209586736e-11,7.40834874538694e-08,"scaffold_605",2789,NA,"A0A2J7PQL3","RhoGEF domain","Y",140797,"A",-2.17625348427945,"A","A","A"
"14","g7822",7.54792042027136,-1.96666527710146,9.89960434564638,2.37998764726154e-10,2.62484637638274e-07,"scaffold_805",1069,NA,NA,NA,"N",45340,"A",-0.0150398183614996,"A","A","A"
"15","g20018",4.9718451645115,4.0163499984528,9.8229359365074,2.76519224755819e-10,2.87975813172606e-07,"scaffold_894",643,"TCPA_DROME","A0A2J7QHG0","TCP-1/cpn60 chaperonin family","Y",31517,"A",0.104964270439442,"A","A","A"
"16","g10968",8.10702307025867,-2.24303861905044,9.7990643650828,2.91831055004508e-10,2.87975813172606e-07,"scaffold_1",638,NA,NA,NA,"N",4205925,"A",-0.407990358368454,"A","A","A"
"17","g1208",5.74121826379639,-2.87207324622198,9.58907060405026,4.44314625914779e-10,4.16522746063809e-07,"scaffold_2293",283,"FAS_CHICK","A0A2J7PFW7",NA,"Y",4891,"B1",0.3195591,"B.strict","A","B"
"18","g13321",5.98608555838521,-3.17629273729504,9.35565607493542,7.18113736209395e-10,5.85232712248661e-07,"scaffold_15",888,NA,NA,NA,"N",2222211,"A",-0.381851299844664,"A","A","A"
"19","g12378",5.03421249736939,-4.36092432912816,9.3348867940314,7.49137825695657e-10,5.85232712248661e-07,"scaffold_231",1309,NA,NA,NA,"N",613014,"A",-0.234883301918919,"A","A","A"
"20","g4055",6.10755814625746,-1.5654888331978,9.26756855166488,8.62377126727961e-10,6.29595054081185e-07,"scaffold_438",383,NA,NA,NA,"N",280546,"A",0.201201988679961,"A","A","A"
"21","g1060",6.44570504428207,1.46874961573104,9.26189681422963,8.73085039528018e-10,6.29595054081185e-07,"scaffold_197",602,NA,NA,NA,"N",695333,"A",-0.302707020010726,"A","A","A"
"22","g4224",10.0191570831437,-1.05943673259372,9.23742227571019,9.33842956728614e-10,6.48467466507585e-07,"scaffold_28",1133,"SPOP_XENTR","N6U5F7","BTB/POZ domain","Y",1812903,"A",0.0615545488203059,"A","A","A"
"23","g13531",6.05668542366972,-1.64092329548502,8.76039633508031,2.52100418925038e-09,1.47707211075798e-06,"scaffold_266",886,NA,NA,"THAP domain","Y",513539,"A",-0.0200443239330516,"A","A","A"
"24","g2645",9.00902319823998,-1.05728111793734,8.5973467581527,3.62596793761864e-09,2.06009917764884e-06,"scaffold_1454",894,NA,"J9K3D3","Thioesterase domain","Y",13677,"B3",-0.2613518,"B.strict","A","A"
"25","g20085",6.9389276621674,-2.49687636895536,8.51653397818231,4.28220031246881e-09,2.36138157819052e-06,"scaffold_552",1087,NA,NA,NA,"N",189883,"B1",1.94663466562078,"B.strict","A","B"
"26","g354",3.4791461153844,1.52955082281615,8.36313508038182,5.97316739269411e-09,3.19974044130348e-06,"scaffold_42",2124,NA,"A0A374CGF3","Predicted AAA-ATPase","Y",1571520,"A",-0.296515022661438,"A","A","A"
"27","g11908",7.80652527360531,-3.20954999411971,8.13181447243226,1.00435272830375e-08,4.95542350078081e-06,"scaffold_74",449,NA,NA,NA,"N",1279699,"A",-0.154455423423892,"A","A","A"
"28","g5582",6.66922990289094,-2.52122714658298,8.07439151354141,1.13722462690719e-08,5.33045613247072e-06,"scaffold_897",663,"FAS_ANSAN","A0A158NZW8","Beta-ketoacyl synthase, N-terminal domain","Y",31263,"B1",0.42170527814484,"B.strict","A","B"
"29","g19261",5.09013707337875,-2.19973946680655,8.03717015281165,1.23313250026411e-08,5.63902469450045e-06,"scaffold_18",2074,NA,"D6WEX8","Predicted AAA-ATPase","Y",2121024,"A",0.062807759613403,"A","A","A"
"30","g4590",10.0256223055824,-0.634168513675473,7.94507817839883,1.55152804600902e-08,6.92609507967216e-06,"scaffold_793",853,"ELOV6_CHICK","Q29D49","GNS1/SUR4 family","Y",47033,"A",-3.57793692025621,"A","A","A"
"31","g4594",5.84641511036799,-4.28471564844688,7.84679165787368,1.89665970925476e-08,8.26987741600407e-06,"scaffold_888",798,NA,NA,"Eukaryotic-type carbonic anhydrase","Y",31817,"A",-2.6127425295222,"A","A","A"
"32","g19940",2.11087321301498,3.20978158819909,7.75899053577539,2.31312642559982e-08,9.63751274523799e-06,"scaffold_236",923,NA,NA,"Myb/SANT-like DNA-binding domain","Y",587163,"A",0.293994746400536,"A","A","A"
"33","g20686",7.30429512231504,-1.53919477487437,7.66587823438415,2.87813113086819e-08,1.17308870810104e-05,"scaffold_131",2058,NA,NA,"Low-density lipoprotein receptor domain class A,Trypsin","Y",945783,"A",0.121336882920779,"A","A","A"
"34","g22271",5.53003645530894,-3.20013134561818,7.6357179652677,3.07010074383151e-08,1.22470891161909e-05,"scaffold_945",422,NA,NA,NA,"N",27636,"A",0.257285808821613,"A","A","A"
"35","g8364",4.53214440399898,-3.67511319706898,7.57834080588847,3.50083575777354e-08,1.367441033802e-05,"scaffold_275",1595,NA,NA,NA,"N",503033,"A",0.23057257481182,"A","A","A"
"36","g13171",4.26545317255336,-3.64833089780416,7.51647705486039,4.03808146233339e-08,1.54510182320997e-05,"scaffold_13",2370,NA,NA,NA,"N",2344678,"A",0.0805657756356739,"A","A","A"
"37","g20048",9.41478953854731,-0.808916693247435,7.34208198016717,6.18159376469212e-08,2.31797402988425e-05,"scaffold_850",2636,"NRDC_MOUSE","A0A087ZSL6","Insulinase (Peptidase family M16),Middle or third domain of peptidase_M16,Peptidase M16 inactive domain","Y",36264,"A",-1.26225189821126,"A","A","A"
"38","g21179",8.58789037374784,-1.29249513136803,7.2711201754358,7.25171798440056e-08,2.64644076769082e-05,"scaffold_98",2174,"PGBD4_HUMAN","A0A087UIR8","Transposase IS4,DDE_Tnp_1-like zinc-ribbon","Y",1127684,"A",0.24514465794487,"A","A","A"
"39","g6067",6.42877272340756,-1.80987258301527,7.26122466307458,7.33985385460145e-08,2.64644076769082e-05,"scaffold_5",3210,NA,NA,"BTB/POZ domain","Y",2912966,"A",-0.512436122659878,"A","A","A"
"40","g3239",11.7528838009823,0.379111544677392,7.24241405994125,8.01237333229098e-08,2.71989933247262e-05,"scaffold_12",1489,"FACR1_DROME","J9K7D4","Male sterility protein","Y",2392395,"A",-0.150391795909699,"A","A","A"
"41","g20049",9.30233359092322,-0.817865743315289,7.22532682895073,8.12386594583535e-08,2.71989933247262e-05,"scaffold_850",595,NA,NA,NA,"N",36264,"A",-1.26225189821126,"A","A","A"
"42","g23415",6.31754698737854,-2.85090089654184,7.17748295916772,8.93527607222362e-08,2.93907879084422e-05,"scaffold_364",2561,NA,"A0A1D2MNM8","Ubiquitin carboxyl-terminal hydrolase","Y",369540,"A",0.49483194180424,"A","A","A"
"43","g3503",7.08041777363984,-0.158626758596758,7.15597812389416,9.4262182530238e-08,3.04710631079213e-05,"scaffold_10",5368,NA,NA,"BTB/POZ domain,BTB And C-terminal Kelch","Y",2776264,"A",-0.506933298875844,"A","A","A"
"44","g23072",7.43506710109103,-2.37825652710286,7.07859746775764,1.13401737573858e-07,3.60367657249537e-05,"scaffold_82",710,NA,"A0A212FDA2","IPT/TIG domain","Y",1220856,"A",-0.131134994152645,"A","A","A"
"45","g1218",5.5139178908546,-2.92829912239306,7.00292457081011,1.34869249701463e-07,4.21443927108787e-05,"scaffold_704",713,NA,NA,NA,"N",80440,"A",0.015818765022244,"A","A","A"
