"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","gene_len","seq","blast","diamond","interpro","anno"
"1","g1462",-5.34150312854059,8.52229541587818,-41.0294145268865,1.29943728076094e-25,2.03660805013662e-21,"MB",4018,"scaffold_20",NA,"A0A3Q0INX5",NA,"Y"
"2","g13934",-4.11586852005871,8.46009405519039,-31.6711496401802,1.00827828540367e-22,6.02461829464938e-19,"MB",4031,"scaffold_553","CAPU_DROME","A0A067R058","Formin Homology 2 Domain","Y"
"3","g7362",-5.44469551424968,7.07167077212289,-31.5052883684679,1.15318413092249e-22,6.02461829464938e-19,"MB",950,"scaffold_149",NA,NA,NA,"N"
"4","g14382",-8.66414875315177,6.27818720911415,-31.0732697484313,1.64513284488127e-22,6.44604176945604e-19,"MB",1181,"scaffold_24",NA,NA,NA,"N"
"5","g13803",-4.43473015367267,6.86371156454131,-30.6507501448517,2.32745421080688e-22,7.29563796919526e-19,"MB",2167,"scaffold_254","PAL2_DROME","J9JSH4","NHL repeat","Y"
"6","g14360",-8.0808543643869,7.23906322259219,-29.9634127324459,4.15768850188358e-22,1.08605753150036e-18,"MB",802,"scaffold_24","TBA3_BOVIN","A0A2A2KX38","Tubulin/FtsZ family, GTPase domain","Y"
"7","g22065",-5.49217215380194,6.44472246796754,-29.0966309004812,8.767184490846e-22,1.96297260750042e-18,"MB",1719,"scaffold_342","ZFAN6_HUMAN","A0A2P8YC23","AN1-like Zinc finger","Y"
"8","g11667",-4.40273275887573,7.34772095498966,-28.2842250416864,1.80115952450673e-21,3.52869665344925e-18,"MB",1517,"scaffold_152","TBCE_RAT","A0A2J7QV38","CAP-Gly domain,Leucine-rich repeat","Y"
"9","g7883",-8.30414109184347,8.23614996878324,-27.9202384921074,2.50784782133966e-21,3.73498311822942e-18,"MB",1061,"scaffold_46","PP1G_HUMAN","A0A0C9MMR5","Calcineurin-like phosphoesterase","Y"
"10","g21687",-8.95121115715077,5.11273562223639,-27.913348560084,2.52658818830913e-21,3.73498311822942e-18,"MB",893,"scaffold_9",NA,NA,NA,"N"
"11","g9973",-4.89278334182227,6.60765195159547,-27.8693490677604,2.62137525046408e-21,3.73498311822942e-18,"MB",1923,"scaffold_53","KLH10_HUMAN","A0A151WTN2","Kelch motif,BTB/POZ domain,BTB And C-terminal Kelch","Y"
"12","g23353",-6.78382370103674,7.64524147154886,-27.6798663871785,3.11836309937601e-21,3.77358869920653e-18,"MB",1015,"scaffold_185","TBA2_CAEEL","A0A3Q1EH56","Tubulin/FtsZ family, GTPase domain","Y"
"13","g17560",-4.01481091673803,7.21358561863214,-27.6752531318495,3.1300104057733e-21,3.77358869920653e-18,"MB",1138,"scaffold_247","LDH_DROME","B0XBA2","lactate/malate dehydrogenase, NAD binding domain,lactate/malate dehydrogenase, alpha/beta C-terminal domain","Y"
"14","g3313",-9.21455312594663,-1.10723439681212,-27.5641812714912,3.4795051998016e-21,3.8953060711779e-18,"MB",332,"scaffold_135",NA,NA,NA,"N"
"15","g15126",-7.06658646061351,5.90279305821806,-26.5440081410345,9.01748976871912e-21,9.42207447634232e-18,"MB",835,"scaffold_76",NA,NA,"Haemolymph juvenile hormone binding protein (JHBP)","Y"
