"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g8819",-8.2584812390152,-2.49816062703878,-10.8627037311519,3.67080225731694e-11,5.29414396326426e-08,"scaffold_177",878,NA,NA,NA,"N",798885,"A",0.255697302,"A","A","A"
"2","g9057",-4.13033008337147,5.11379232355591,-10.3494631084434,9.7555490179427e-11,1.21937859024938e-07,"scaffold_740",2103,NA,"C3WB46","Transactive response DNA-binding protein N-terminal domain,Predicted AAA-ATPase","Y",65332,"A",0.269881948,"A","A","A"
"3","g12841",-4.92157849397637,-3.17394147146104,-9.91942961729836,2.27872428879413e-10,2.62484637638274e-07,"scaffold_44",454,NA,NA,"Uncharacterized conserved domain (SAYSvFN)","Y",1539515,"A",0.244409086,"A","A","A"
"4","g6329",-5.80561697138791,-2.30566492673059,-9.53925818253988,4.91965486054738e-10,4.39231471335251e-07,"scaffold_235",313,"PCNA_BOMMO","R4G4N7","Proliferating cell nuclear antigen, C-terminal domain","Y",589863,"A",-0.42122047,"A","A","A"
"5","g9195",-5.44389220424138,-3.25386657645829,-9.51527223302068,5.16589861708759e-10,4.40251968962615e-07,"scaffold_442",1250,NA,NA,NA,"N",275404,"A",0.481954143,"A","A","A"
"6","g17872",-6.14273810065935,-2.27177931689396,-9.09277147386555,1.24349663263378e-09,8.31173806439266e-07,"scaffold_146",560,"C4G15_DROME",NA,"Cytochrome P450","Y",897096,"A",-0.088357084,"A","A","A"
"7","g22782",-4.92611708945392,-3.68578332480764,-9.07645645745523,1.2856173868867e-09,8.31173806439266e-07,"scaffold_196",436,NA,NA,NA,"N",708020,"A",0.064827844,"A","A","A"
"8","g13497",-5.01586961986323,2.23119189734197,-8.91637910019046,1.80435290183818e-09,1.12766041855213e-06,"scaffold_143",1513,NA,"E0VQ39",NA,"Y",907036,"A",-0.571792831,"A","A","A"
"9","g17204",-3.66013279657469,2.48590490866289,-8.84053163745901,2.1206227026872e-09,1.28256629202201e-06,"scaffold_57",1121,"DUT_HUMAN","A0A2A4JSL6","dUTPase,Zinc knuckle,gag-polypeptide of LTR copia-type","Y",1361687,"A",-0.000589339,"A","A","A"
"10","g1438",-7.27561762589068,-0.909568104417175,-8.21666311112936,8.295469942178e-09,4.32032683183043e-06,"scaffold_20",2439,"THAP9_HUMAN","J9JTA4","Transposase protein","Y",2080048,"A",-0.276802087,"A","A","A"
"11","g13495",-4.5159047939962,1.62898151291483,-8.17903363782274,8.97850385558682e-09,4.54967483211884e-06,"scaffold_143",1559,"ERMP1_HUMAN","A0A067R1N3","Peptidase family M28","Y",907036,"A",-0.571792831,"A","A","A"
"12","g3541",-5.94871398313513,1.10435879390269,-8.09569642724141,1.08259919647596e-08,5.20452623967377e-06,"scaffold_10",1613,NA,"A0A482X7A4",NA,"Y",2776264,"A",-0.506933192,"A","A","A"
"13","g4497",-4.53463293938013,-4.69038008328903,-7.77554517296779,2.22778298675611e-08,9.49288709515687e-06,"scaffold_467",465,NA,NA,NA,"N",248861,"A",0.257527828,"A","A","A"
"14","g13042",-4.68428916305636,-1.80806379306088,-7.2398261206714,7.69686214180745e-08,2.71989933247262e-05,"scaffold_823",288,NA,NA,NA,"N",41255,"A",-0.307124965,"A","A","A"
"15","g2882",-4.51549131973377,-3.6778409373063,-7.22875541206589,7.89908194238644e-08,2.71989933247262e-05,"scaffold_89",414,NA,NA,NA,"N",1205502,"A",0.023041927,"A","A","A"
"16","g15798",-7.74699591125589,0.16657361380936,-6.90771023092678,1.70711317305719e-07,5.16236530349183e-05,"scaffold_1906",1750,NA,NA,"BTB And C-terminal Kelch,BTB/POZ domain","Y",8069,"A",0.463421607,"A","A","A"
"17","g22202",-3.3800696106257,1.77054793153249,-6.82472498815966,2.06235237334433e-07,6.04172572622389e-05,"scaffold_11",883,NA,NA,"PemK-like, MazF-like toxin of type II toxin-antitoxin system","Y",2599874,"A",0.009435509,"A","A","A"
"18","g15797",-8.44630191970772,0.591412121802686,-6.70625739650497,2.78667754731961e-07,7.91627535374171e-05,"scaffold_1906",755,"CBP_MOUSE","G5BVC5","TAZ zinc finger","Y",8069,"A",0.463421607,"A","A","A"
"19","g1211",-5.20792079522026,-3.64142013530206,-6.59799531319602,3.56865553814289e-07,9.6969163311074e-05,"scaffold_1479",570,NA,NA,NA,"N",13359,"A",-1.349294019,"A","A","A"
"20","g3814",-5.28070470496321,0.0825277774623995,-6.54684194452514,4.04172148881586e-07,0.000108254623134012,"scaffold_261",1172,NA,NA,NA,"N",520855,"A",0.401831642,"A","A","A"
"21","g3974",-4.76843328305109,-3.29313541141941,-6.44843831266992,5.13536002849916e-07,0.000133726201631015,"scaffold_162",845,NA,NA,NA,"N",839433,"A",-0.170514963,"A","A","A"
"22","g17443",-4.35697589971654,-0.380782077091976,-6.33751856607574,6.73815876469884e-07,0.000166228603525446,"scaffold_263",1352,"SPB10_SORAR",NA,"Serpin (serine protease inhibitor)","Y",517260,"A",-0.25598972,"A","A","A"
"23","g16809",-7.61638900069173,-1.86301277238828,-6.257980526767,8.28950773602315e-07,0.000195244637205229,"scaffold_8",226,NA,NA,NA,"N",2847527,"A",0.125929299,"A","A","A"
"24","g18640",-3.62059753383261,-0.440473539664121,-6.25125978696652,8.33088216780538e-07,0.000195244637205229,"scaffold_362",244,NA,NA,"Hsp70 protein","Y",370763,"A",0.126613542,"A","A","A"
"25","g2159",-6.09604446645942,-2.21271027732664,-5.87176406482561,2.14915859711089e-06,0.000447717494858133,"scaffold_2054",2084,NA,NA,NA,"N",6783,"A",1.12116569,"A","A","A"
"26","g6175",-2.3318939260659,1.32508901213711,-5.73776046879984,2.99611540824363e-06,0.000585147581137082,"scaffold_5",684,NA,NA,NA,"N",2912966,"A",-0.512436051,"A","A","A"
"27","g23106",-2.19984416022317,1.94982262766296,-5.65231742762574,3.71603225654876e-06,0.000696718887780327,"scaffold_222",1908,NA,NA,NA,"N",636692,"A",-0.053496703,"A","A","A"
"28","g6726",-2.94920887496953,7.40215997916857,-5.57323968635552,4.53800701510973e-06,0.000816586354644269,"scaffold_179",7027,"ZNFX1_MOUSE","J9KAH4","AAA domain","Y",784024,"A",-0.047198937,"A","A","A"
"29","g17025",-5.30797371181362,-2.81551961384363,-5.57100631329003,4.5731274861405e-06,0.000816586354644269,"scaffold_142",1408,NA,NA,NA,"N",914383,"A",-0.035215214,"A","A","A"
"30","g1248",-4.43866800477078,-4.29334768878793,-5.43061970731717,6.51847156409349e-06,0.00113161873477027,"scaffold_485",472,NA,NA,NA,"N",237609,"A",0.255942241,"A","A","A"
"31","g22901",-3.29586399307223,-0.793755469422777,-5.37107411675803,7.57988241619353e-06,0.00128031725604696,"scaffold_37",1259,NA,NA,NA,"N",1648890,"A",-0.516653857,"A","A","A"
"32","g23185",-2.07976407071419,5.64375944293871,-5.30869140404389,8.88467384720406e-06,0.00144918758450935,"scaffold_508",1428,"YELL_DROSI","A0A482XT64","Major royal jelly protein","Y",217096,"A",-0.093031813,"A","A","A"
"33","g16810",-3.54383963708616,1.34184080275144,-5.30074872604195,9.06692540693726e-06,0.00146548090047126,"scaffold_8",395,NA,NA,NA,"N",2847527,"A",0.125929299,"A","A","A"
"34","g1324",-5.26217077020194,3.54228584603991,-5.25177748524791,1.02979153844819e-05,0.00161844934474064,"scaffold_69",1942,NA,"D6WEX8","Predicted AAA-ATPase","Y",1296325,"A",0.352042245,"A","A","A"
"35","g9432",-4.58948112522121,-4.09382270243742,-5.24618274862749,1.04292917989164e-05,0.00161844934474064,"scaffold_434",1297,NA,NA,NA,"N",283348,"A",-0.046588825,"A","A","A"
"36","g19511",-2.9898380629373,1.77114976171144,-5.17268563231025,1.25718364372225e-05,0.00188567489089188,"scaffold_7",2317,NA,"A0A2J7RMN7","Carboxylesterase family","Y",2872801,"A",0.125011388,"A","A","A"
"37","g4661",-2.33306857286265,2.9394757061571,-5.14135282790695,1.36203071473449e-05,0.00201076487169741,"scaffold_501",629,NA,NA,NA,"N",222918,"A",-0.514202815,"A","A","A"
"38","g9537",-4.78296899243454,-1.4462930814477,-5.11308844607692,1.4661913759414e-05,0.00214762672715041,"scaffold_101",1733,NA,NA,NA,"N",1110711,"A",-0.06777845,"A","A","A"
