"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","tid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g10005",6.29073914094405,-0.473867341843081,8.76878499391312,4.94588833513294e-09,5.80654103916139e-08,10.5900632244017,"g10005.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","g10006",7.38890565730668,1.46509789456577,6.79653044959881,4.41374565424708e-07,2.37933632177914e-06,6.4975823192217,"g10006.t1","25fd2b3e27aa2de407d2582c8bfb4276",262,"SignalP_EUK","SignalP-noTM","",1,22,"-",TRUE,"27-07-2020","","",""
"3","g10009",12.2708734864212,0.702666335788436,11.7353286039386,1.47114155840868e-11,5.48297935120448e-10,15.0566203222158,"g10009.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t2","ae88fdb1954204db3317104486273888",1309,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.7E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"5","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t2","ae88fdb1954204db3317104486273888",1309,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"6","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t3","e32ac3b3a2cb0e2607333b16ed0c8e52",1292,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.5E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"7","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t1","d48872120ae9023087c499d47b3b2948",1331,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.9E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"8","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t3","e32ac3b3a2cb0e2607333b16ed0c8e52",1292,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"9","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t1","d48872120ae9023087c499d47b3b2948",1331,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"10","g10019",0.570469271570462,4.85302004691462,7.55680784342618,7.35694946802601e-08,5.36088012343644e-07,7.531098089714,"g10019.t1","a8aaeb9ca60832b3f722ac2cf91ec884",403,"Pfam","PF01399","PCI domain",283,392,"7.1E-14",TRUE,"27-07-2020","IPR000717","Proteasome component (PCI) domain",""
