"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","tid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g10005",6.44499444609594,-0.473867341843081,9.00465193474455,2.99153587681911e-09,2.8675003146463e-08,11.0041462537962,"g10005.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","g10009",12.7488182701628,0.702666335788436,12.1961769319309,6.5294540875357e-12,2.21375650428945e-10,15.5553984262053,"g10009.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","g10019",0.700146825431047,4.85302004691462,9.35951688237674,1.42341003476993e-09,1.58476928396089e-08,11.5748896168365,"g10019.t1","a8aaeb9ca60832b3f722ac2cf91ec884",403,"Pfam","PF01399","PCI domain",283,392,"7.1E-14",TRUE,"27-07-2020","IPR000717","Proteasome component (PCI) domain",""
"4","g10021",1.59460747590872,4.52459997321186,10.7801453044584,8.5325480936629e-11,1.6509467926531e-09,14.5494096844377,"g10021.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","g10034",1.6724744467738,8.04050146663234,11.3257912115672,3.08685528210357e-11,7.38207266379589e-10,15.235743659207,"g10034.t1","6ab934068de4134cab231c1651b08420",722,"Pfam","PF12698","ABC-2 family transporter protein",335,704,"5.3E-25",TRUE,"27-07-2020","","",""
"6","g10034",1.6724744467738,8.04050146663234,11.3257912115672,3.08685528210357e-11,7.38207266379589e-10,15.235743659207,"g10034.t1","6ab934068de4134cab231c1651b08420",722,"Pfam","PF00005","ABC transporter",72,206,"1.3E-28",TRUE,"27-07-2020","IPR003439","ABC transporter-like","GO:0005524|GO:0016887"
"7","g10036",1.37153518236205,5.11484082244571,10.7960234764902,8.27977517990156e-11,1.61369547659017e-09,14.4578758490992,"g10036.t1","ff83201ff0dfc0c59f4c3de2d10187ab",633,"Pfam","PF13639","Ring finger domain",153,201,"4.5E-7",TRUE,"27-07-2020","IPR001841","Zinc finger, RING-type",""
"8","g10038",0.690318231967545,6.14113910358337,9.22471237331171,1.88377101434671e-09,1.96981721963114e-08,11.0983261241299,"g10038.t1","e65ed79a445b6e0d002c35f7f3a6a30e",199,"Pfam","PF00179","Ubiquitin-conjugating enzyme",8,147,"3.6E-42",TRUE,"27-07-2020","IPR000608","Ubiquitin-conjugating enzyme E2",""
"9","g10042",1.0032183690157,4.74061509284478,9.06713327495273,2.62170586253548e-09,2.58028153368387e-08,10.9912349698238,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"SignalP_EUK","SignalP-noTM","",1,19,"-",TRUE,"27-07-2020","","",""
"10","g10042",1.0032183690157,4.74061509284478,9.06713327495273,2.62170586253548e-09,2.58028153368387e-08,10.9912349698238,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01534","Frizzled/Smoothened family membrane region",224,550,"4.0E-63",TRUE,"27-07-2020","IPR000539","Frizzled/Smoothened, transmembrane domain","GO:0007166|GO:0016020"
"11","g10042",1.0032183690157,4.74061509284478,9.06713327495273,2.62170586253548e-09,2.58028153368387e-08,10.9912349698238,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01392","Fz domain",73,179,"1.5E-12",TRUE,"27-07-2020","IPR020067","Frizzled domain","GO:0005515"
"12","g10044",-0.53100199180534,8.99276851581745,-8.03062350816853,2.50178528793628e-08,1.6621535210318e-07,8.34639091150717,"g10044.t1","e2318b0ab490d69e294ea3affb5c90b1",330,"Pfam","PF01459","Eukaryotic porin",26,297,"2.9E-70",TRUE,"27-07-2020","IPR027246","Eukaryotic porin/Tom40","GO:0005741|GO:0055085"
