gene,seq,b.status.final,transcripts
g10957,scaffold_1,A,g10957.t1
g10896,scaffold_1,A,g10896.t1
g10896,scaffold_1,A,g10896.t2
g10934,scaffold_1,A,g10934.t1
g10982,scaffold_1,A,g10982.t1
g10885,scaffold_1,A,g10885.t1
g10948,scaffold_1,A,g10948.t1
g11038,scaffold_1,A,g11038.t1
g10988,scaffold_1,A,g10988.t1
g11002,scaffold_1,A,g11002.t1
g10993,scaffold_1,A,g10993.t1
g11005,scaffold_1,A,g11005.t1
g10953,scaffold_1,A,g10953.t1
g10884,scaffold_1,A,g10884.t1
g10875,scaffold_1,A,g10875.t1
g10873,scaffold_1,A,g10873.t1
g10945,scaffold_1,A,g10945.t1
g11021,scaffold_1,A,g11021.t1
g10987,scaffold_1,A,g10987.t1
g10940,scaffold_1,A,g10940.t1
g11012,scaffold_1,A,g11012.t1
g10893,scaffold_1,A,g10893.t1
g10966,scaffold_1,A,g10966.t1
g11039,scaffold_1,A,g11039.t1
g11065,scaffold_1,A,g11065.t1
g10992,scaffold_1,A,g10992.t1
g10992,scaffold_1,A,g10992.t2
g10933,scaffold_1,A,g10933.t1
g10895,scaffold_1,A,g10895.t1
g11006,scaffold_1,A,g11006.t1
g10879,scaffold_1,A,g10879.t1
g10879,scaffold_1,A,g10879.t2
g10937,scaffold_1,A,g10937.t1
g11033,scaffold_1,A,g11033.t1
g10939,scaffold_1,A,g10939.t1
g11060,scaffold_1,A,g11060.t1
g11049,scaffold_1,A,g11049.t1
g10979,scaffold_1,A,g10979.t1
g11001,scaffold_1,A,g11001.t1
g10883,scaffold_1,A,g10883.t1
g10969,scaffold_1,A,g10969.t1
g10969,scaffold_1,A,g10969.t2
g11016,scaffold_1,A,g11016.t1
g11017,scaffold_1,A,g11017.t1
g10983,scaffold_1,A,g10983.t1
g11056,scaffold_1,A,g11056.t1
g10985,scaffold_1,A,g10985.t1
g11058,scaffold_1,A,g11058.t1
g10912,scaffold_1,A,g10912.t1
g11010,scaffold_1,A,g11010.t1
g10951,scaffold_1,A,g10951.t1
g11024,scaffold_1,A,g11024.t1
g10881,scaffold_1,A,g10881.t1
g10894,scaffold_1,A,g10894.t1
g10918,scaffold_1,A,g10918.t1
g11028,scaffold_1,A,g11028.t1
g11029,scaffold_1,A,g11029.t1
g10887,scaffold_1,A,g10887.t1
g10996,scaffold_1,A,g10996.t1
g10998,scaffold_1,A,g10998.t1
g10998,scaffold_1,A,g10998.t2
g10999,scaffold_1,A,g10999.t1
g11069,scaffold_1,A,g11069.t1
g10878,scaffold_1,A,g10878.t1
g10878,scaffold_1,A,g10878.t2
g10964,scaffold_1,A,g10964.t1
g10965,scaffold_1,A,g10965.t1
g11000,scaffold_1,A,g11000.t1
g10929,scaffold_1,A,g10929.t1
g10930,scaffold_1,A,g10930.t1
g11037,scaffold_1,A,g11037.t1
g11078,scaffold_1,A,g11078.t1
g10932,scaffold_1,A,g10932.t1
g11042,scaffold_1,A,g11042.t1
g11044,scaffold_1,A,g11044.t1
g11008,scaffold_1,A,g11008.t1
g10936,scaffold_1,A,g10936.t1
g10975,scaffold_1,A,g10975.t1
g10900,scaffold_1,A,g10900.t1
