"gene","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"g1",530,"scaffold_1617",NA,NA,NA,NA,NA,NA,NA,"N"
"g10",310,"scaffold_93",NA,NA,NA,NA,NA,NA,NA,"N"
"g100",205,"scaffold_360",NA,NA,NA,NA,NA,NA,NA,"N"
"g1000",237,"scaffold_832",NA,NA,NA,NA,NA,NA,NA,"N"
"g10000",2880,"scaffold_53",NA,"A0A1Y1YT47","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g10001",284,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10002",432,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10003",388,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10004",861,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10005",271,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10006",785,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10007",368,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10008",301,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10009",791,"scaffold_53",NA,"A8AH86",NA,NA,NA,NA,NA,"Y"
"g1001",2399,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10010",200,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10011",413,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10012",379,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10013",3966,"scaffold_53","KCNT1_CHICK","A0A139WM47,J9K6K2","PF07885;PF03493","Ion channel; Calcium-activated BK potassium channel alpha subunit","IPR013099;IPR003929","Potassium channel domain; Calcium-activated potassium channel BK, alpha subunit","GO:0006813;GO:0016020","Y"
"g10014",231,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10015",2480,"scaffold_53",NA,"J9K7E4","PF15309","ALMS motif","IPR029299","ALMS motif",NA,"Y"
"g10016",1004,"scaffold_53","WDR35_MOUSE","A0A482XF15",NA,NA,NA,NA,NA,"Y"
"g10017",1226,"scaffold_53",NA,"U4UI05","PF00576","HIUase/Transthyretin family","IPR023416","Transthyretin/hydroxyisourate hydrolase domain",NA,"Y"
"g10018",798,"scaffold_53","MED11_DROME","A0A067R7U6","PF10280","Mediator complex protein","IPR019404","Mediator complex, subunit Med11","GO:0003712;GO:0006357;GO:0016592","Y"
"g10019",1201,"scaffold_53","PCID2_HUMAN","A0A1S3CUM7","PF01399","PCI domain","IPR000717","Proteasome component (PCI) domain",NA,"Y"
"g1002",1005,"scaffold_197",NA,"J9JZE9","PF13359","DDE superfamily endonuclease","IPR027806","Harbinger transposase-derived nuclease domain",NA,"Y"
"g10020",476,"scaffold_53","MGDP1_MOUSE","A0A2P8Y3X9","PF12689","Acid Phosphatase","IPR010036","Magnesium-dependent phosphatase-1, eukaryotic/archaeal-type","GO:0016791","Y"
"g10021",939,"scaffold_53",NA,"E0W1P4",NA,NA,NA,NA,NA,"Y"
"g10022",462,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10023",360,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10024",565,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10025",1655,"scaffold_53","ASND1_MACFA,ASND1_BOVIN","A0A2A3E3R0","PF13537;PF00733","Glutamine amidotransferase domain; Asparagine synthase","IPR017932;IPR001962","Glutamine amidotransferase type 2 domain; Asparagine synthase","GO:0004066;GO:0006529","Y"
"g10026",829,"scaffold_53","PHYD1_CAEBR","A0A154PB32","PF05721","Phytanoyl-CoA dioxygenase (PhyH)","IPR008775","Phytanoyl-CoA dioxygenase",NA,"Y"
"g10027",2121,"scaffold_53",NA,"J9M7I9","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g10028",988,"scaffold_53",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g10029",1959,"scaffold_53",NA,"J9M7I9","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g1003",479,"scaffold_197",NA,NA,"PF00856","SET domain","IPR001214","SET domain","GO:0005515","Y"
"g10030",1769,"scaffold_53","MA1B1_HUMAN","J9JJF7","PF01532","Glycosyl hydrolase family 47","IPR001382","Glycoside hydrolase family 47","GO:0004571;GO:0005509;GO:0016020","Y"
"g10031",820,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10032",2567,"scaffold_53",NA,"J9JN65","PF00084;PF00059","Sushi repeat (SCR repeat); Lectin C-type domain","IPR000436;IPR001304","Sushi/SCR/CCP domain; C-type lectin-like",NA,"Y"
"g10033",720,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10034",2150,"scaffold_53","ABCGN_DICDI","J9M7A0","PF00005;PF12698","ABC transporter; ABC-2 family transporter protein","IPR003439","ABC transporter-like","GO:0005524;GO:0016887","Y"
"g10035",939,"scaffold_53","RNF41_MOUSE","D6WGM9","PF08941;PF13923","USP8 interacting; Zinc finger, C3HC4 type (RING finger)","IPR015036","E3 ubiquitin-protein ligase NRDP1","GO:0016567;GO:0061630","Y"
"g10036",1890,"scaffold_53","RFWD3_HUMAN","A0A2J7PHJ6","PF13639","Ring finger domain","IPR001841","Zinc finger, RING-type",NA,"Y"
"g10037",1096,"scaffold_53","PRPS1_RAT","A0A151IY24","PF13793;PF14572","N-terminal domain of ribose phosphate pyrophosphokinase; Phosphoribosyl synthetase-associated domain","IPR029099;IPR005946","Ribose-phosphate pyrophosphokinase, N-terminal domain; Ribose-phosphate pyrophosphokinase","GO:0000287;GO:0004749;GO:0009165","Y"
"g10038",592,"scaffold_53","UBE2K_MOUSE","C4WVG8","PF00179","Ubiquitin-conjugating enzyme","IPR000608","Ubiquitin-conjugating enzyme E2",NA,"Y"
"g10039",591,"scaffold_53","UBE2K_MOUSE","A0A482XSU8","PF00179","Ubiquitin-conjugating enzyme","IPR000608","Ubiquitin-conjugating enzyme E2",NA,"Y"
"g1004",661,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10040",618,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10041",3958,"scaffold_53","IBTK_XENLA","A0A067RQX8","PF12796;PF00415;PF00651","Ankyrin repeats (3 copies); Regulator of chromosome condensation (RCC1) repeat; BTB/POZ domain","IPR020683;IPR000408;IPR000210","Ankyrin repeat-containing domain; Regulator of chromosome condensation, RCC1; BTB/POZ domain","GO:0005515","Y"
"g10042",2348,"scaffold_53","SMO_DROME","A0A2J7Q946","PF01534;PF01392","Frizzled/Smoothened family membrane region; Fz domain","IPR000539;IPR020067","Frizzled/Smoothened, transmembrane domain; Frizzled domain","GO:0007166;GO:0016020;GO:0005515","Y"
"g10043",1539,"scaffold_53","M3K7_BOVIN","A0A0L7RH64","PF07714","Protein tyrosine kinase","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain","GO:0004672;GO:0006468","Y"
"g10044",981,"scaffold_53","VDAC_DROME","A0A067RGH4","PF01459","Eukaryotic porin","IPR027246","Eukaryotic porin/Tom40","GO:0005741;GO:0055085","Y"
"g10045",1431,"scaffold_53",NA,"D6WV24","PF00856","SET domain","IPR001214","SET domain","GO:0005515","Y"
"g10046",341,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"g10047",1169,"scaffold_53","LOLAL_DROME","J9K537","PF00651;PF13894","BTB/POZ domain; C2H2-type zinc finger","IPR000210","BTB/POZ domain","GO:0005515","Y"
"g10048",2481,"scaffold_53","RA54B_HUMAN","A0A067QKB0","PF00271;PF00176","Helicase conserved C-terminal domain; SNF2 family N-terminal domain","IPR001650;IPR000330","Helicase, C-terminal; SNF2-related, N-terminal domain","GO:0005524","Y"
"g10049",749,"scaffold_53",NA,"A0A3Q0IMR4",NA,NA,NA,NA,NA,"Y"
"g1005",247,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10050",1605,"scaffold_130","MINP1_DROME","K7J1W3","PF00328","Histidine phosphatase superfamily (branch 2)","IPR000560","Histidine phosphatase superfamily, clade-2",NA,"Y"
"g10051",1566,"scaffold_130","MINP1_DROME","A0A067R6V0","PF00328","Histidine phosphatase superfamily (branch 2)","IPR000560","Histidine phosphatase superfamily, clade-2",NA,"Y"
"g10052",1069,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10053",1279,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10054",1483,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10055",1377,"scaffold_130","MINP1_DROME","A0A482WR06","PF00328","Histidine phosphatase superfamily (branch 2)","IPR000560","Histidine phosphatase superfamily, clade-2",NA,"Y"
"g10056",1458,"scaffold_130",NA,"A0A067R8V8","PF00328","Histidine phosphatase superfamily (branch 2)","IPR000560","Histidine phosphatase superfamily, clade-2",NA,"Y"
"g10057",1422,"scaffold_130",NA,"A0A067R8V8","PF00328","Histidine phosphatase superfamily (branch 2)","IPR000560","Histidine phosphatase superfamily, clade-2",NA,"Y"
"g10058",1057,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10059",1431,"scaffold_130",NA,"A0A067R8V8","PF00328","Histidine phosphatase superfamily (branch 2)","IPR000560","Histidine phosphatase superfamily, clade-2",NA,"Y"
"g1006",300,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
