seq,length,PV04.mapped,PV13.mapped,PV21.mapped,PV23.mapped,cov.13v21,cov.13v23,cov.04v21,cov.04v23,cov.04v13,cov.21v23,b.status,PV04.asn,PV13.asn,PV21.asn,PV23.asn,b.status.asn,b.status.cov.asn,A.lo,B.lo,A.st,B.st,AB.ratio.st,AB.ratio.lo,b.status.kmer,b.status.final
scaffold_1,4205925,1178332,1645741,671995,730422,0.235630106,0.238361447,-0.092815515,-0.133806154,-0.407990297,-0.031012211,A,Y,Y,Y,Y,A,A,3781153,370230,3903178,248205,-3.97503973,-3.352329005,A,A
scaffold_2,3312200,1346785,1447892,837929,910799,-0.26753017,-0.264823844,-0.218419273,-0.259434928,-0.03043378,-0.031037226,A,Y,Y,Y,Y,A,A,3230050,50564,3244550,36064,-6.491275609,-5.997274006,A,A
scaffold_3,3189128,1115383,1112775,590190,630036,-0.141674145,-0.112917889,0.015248385,0.00028266,0.077377853,-0.004987297,A,Y,Y,Y,Y,A,A,3008101,158307,3102127,64281,-5.59269959,-4.248047419,A,A
scaffold_4,3039205,1106325,1265319,518467,530074,0.230591908,0.321661246,0.190411442,0.2377588,-0.119725142,0.057325786,A,Y,Y,Y,Y,A,A,2586546,424703,2736391,274858,-3.315511292,-2.606497805,A,A
scaffold_5,2912966,1001976,1504501,574166,619712,0.333160176,0.346041248,-0.099731197,-0.130572106,-0.512436051,-0.02086248,A,Y,Y,Y,Y,A,A,2539950,360553,2686350,214153,-3.648927291,-2.816513413,A,A
scaffold_6,2881478,1063179,1183393,661922,665271,-0.218388349,-0.102658373,-0.219387706,-0.147379709,-0.080544033,0.081986425,A,Y,Y,Y,Y,A,A,2789743,60904,2849546,1101,-11.33639265,-5.517428258,A,A
scaffold_7,2872801,1298293,1253190,587898,820653,0.035382557,-0.322812318,0.239938621,-0.161978234,0.125011388,-0.391938426,A,Y,Y,Y,Y,A,A,2794333,59026,2848253,5106,-9.123386034,-5.564985643,A,A
scaffold_8,2847527,1052888,1015664,498614,576838,-0.030157086,-0.11738862,0.17531689,0.044363376,0.125929299,-0.120975086,A,Y,Y,Y,Y,A,A,2614795,201096,2700208,115683,-4.544809831,-3.700734931,A,A
scaffold_9,2791333,1415102,1337814,598274,685322,0.104414414,0.031449977,0.338988111,0.222301694,0.15502902,-0.106707989,A,Y,Y,Y,Y,A,A,2428827,349012,2585197,192642,-3.746273111,-2.798907648,A,A
scaffold_10,2776264,672378,1005755,328147,353977,0.559278271,0.572976103,0.131889756,0.101865608,-0.506933192,-0.02004572,A,Y,Y,Y,Y,A,A,2432787,321074,2589795,164066,-3.980481467,-2.921628364,A,A
scaffold_11,2599874,1020807,1067529,517808,546159,-0.012798861,0.033308413,0.076181325,0.078566618,0.009435509,0.012363722,A,Y,Y,Y,Y,A,A,2413648,161783,2482293,93138,-4.736144794,-3.899075049,A,A
scaffold_12,2392395,697625,815025,499411,504054,-0.349967932,-0.240307717,-0.420814948,-0.354876713,-0.150391693,0.075916663,A,Y,Y,Y,Y,A,A,2227823,116760,2259067,85516,-4.723372644,-4.254004886,A,A
scaffold_13,2344678,756765,753329,276101,329711,0.391497116,0.258502949,0.551607664,0.374891517,0.080565871,-0.166737719,A,Y,Y,Y,Y,A,A,1931822,378029,2145302,164549,-3.704583495,-2.353390281,A,A
scaffold_14,2278001,629641,951407,563391,578534,-0.30065845,-0.215912723,-0.74264557,-0.701621824,-0.521531797,0.051002174,A,Y,Y,Y,Y,A,A,2190387,72160,2205506,57041,-5.272941963,-4.923823306,A,A
scaffold_15,2222211,545204,747798,298929,323183,0.266259323,0.276722128,-0.036047167,-0.069306343,-0.381851168,-0.023280747,A,Y,Y,Y,Y,A,A,1979881,220408,2065608,134681,-3.938938236,-3.167159409,A,A
scaffold_16,2210925,719020,744183,320503,334420,0.158733482,0.22042129,0.262653275,0.280619102,0.024375116,0.027944256,A,Y,Y,Y,Y,A,A,1902876,279709,2000524,182061,-3.457876918,-2.766178572,A,A
