"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"1","g1462",-5.34150312854059,8.52229541587818,-41.0294145268865,1.29943728076094e-25,2.03660805013662e-21,"MB (FC > 5)",4018,"scaffold_20",NA,"A0A3Q0INX5",NA,NA,NA,NA,NA,"Y"
"2","g13934",-4.11586852005871,8.46009405519039,-31.6711496401802,1.00827828540367e-22,6.02461829464938e-19,"MB",4031,"scaffold_553","CAPU_DROME","A0A067R058","PF02181","Formin Homology 2 Domain","IPR015425","Formin, FH2 domain",NA,"Y"
"3","g7362",-5.44469551424968,7.07167077212289,-31.5052883684679,1.15318413092249e-22,6.02461829464938e-19,"MB (FC > 5)",950,"scaffold_149",NA,NA,NA,NA,NA,NA,NA,"N"
"4","g14382",-8.66414875315177,6.27818720911415,-31.0732697484313,1.64513284488127e-22,6.44604176945604e-19,"MB (FC > 5)",1181,"scaffold_24",NA,NA,NA,NA,NA,NA,NA,"N"
"5","g13803",-4.43473015367267,6.86371156454131,-30.6507501448517,2.32745421080688e-22,7.29563796919526e-19,"MB",2167,"scaffold_254","PAL2_DROME","J9JSH4","PF01436","NHL repeat","IPR001258","NHL repeat","GO:0005515","Y"
"6","g14360",-8.0808543643869,7.23906322259219,-29.9634127324459,4.15768850188358e-22,1.08605753150036e-18,"MB (FC > 5)",802,"scaffold_24","TBA3_BOVIN","A0A2A2KX38","PF00091","Tubulin/FtsZ family, GTPase domain","IPR003008","Tubulin/FtsZ, GTPase domain","GO:0003924","Y"
"7","g22065",-5.49217215380194,6.44472246796754,-29.0966309004812,8.767184490846e-22,1.96297260750042e-18,"MB (FC > 5)",1719,"scaffold_342","ZFAN6_HUMAN","A0A2P8YC23","PF01428","AN1-like Zinc finger","IPR000058","Zinc finger, AN1-type","GO:0008270","Y"
"8","g11667",-4.40273275887573,7.34772095498966,-28.2842250416864,1.80115952450673e-21,3.52869665344925e-18,"MB",1517,"scaffold_152","TBCE_RAT","A0A2J7QV38","PF01302;PF14580","CAP-Gly domain; Leucine-rich repeat","IPR000938","CAP Gly-rich domain",NA,"Y"
"9","g7883",-8.30414109184347,8.23614996878324,-27.9202384921074,2.50784782133966e-21,3.73498311822942e-18,"MB (FC > 5)",1061,"scaffold_46","PP1G_HUMAN","A0A0C9MMR5","PF00149","Calcineurin-like phosphoesterase","IPR004843","Calcineurin-like phosphoesterase domain, ApaH type","GO:0016787","Y"
"10","g21687",-8.95121115715077,5.11273562223639,-27.913348560084,2.52658818830913e-21,3.73498311822942e-18,"MB (FC > 5)",893,"scaffold_9",NA,NA,NA,NA,NA,NA,NA,"N"
"11","g9973",-4.89278334182227,6.60765195159547,-27.8693490677604,2.62137525046408e-21,3.73498311822942e-18,"MB",1923,"scaffold_53","KLH10_HUMAN","A0A151WTN2","PF01344;PF00651;PF07707","Kelch motif; BTB/POZ domain; BTB And C-terminal Kelch","IPR006652;IPR000210;IPR011705","Kelch repeat type 1; BTB/POZ domain; BTB/Kelch-associated","GO:0005515","Y"
"12","g23353",-6.78382370103674,7.64524147154886,-27.6798663871785,3.11836309937601e-21,3.77358869920653e-18,"MB (FC > 5)",1015,"scaffold_185","TBA2_CAEEL","A0A3Q1EH56","PF00091","Tubulin/FtsZ family, GTPase domain","IPR003008","Tubulin/FtsZ, GTPase domain","GO:0003924","Y"
"13","g17560",-4.01481091673803,7.21358561863214,-27.6752531318495,3.1300104057733e-21,3.77358869920653e-18,"MB",1138,"scaffold_247","LDH_DROME","B0XBA2","PF00056;PF02866","lactate/malate dehydrogenase, NAD binding domain; lactate/malate dehydrogenase, alpha/beta C-terminal domain","IPR001236;IPR022383","Lactate/malate dehydrogenase, N-terminal; Lactate/malate dehydrogenase, C-terminal","GO:0016491;GO:0055114;GO:0016616","Y"
"14","g3313",-9.21455312594663,-1.10723439681212,-27.5641812714912,3.4795051998016e-21,3.8953060711779e-18,"MB (FC > 5)",332,"scaffold_135",NA,NA,NA,NA,NA,NA,NA,"N"
"15","g15126",-7.06658646061351,5.90279305821806,-26.5440081410345,9.01748976871912e-21,9.42207447634232e-18,"MB (FC > 5)",835,"scaffold_76",NA,NA,"PF06585","Haemolymph juvenile hormone binding protein (JHBP)","IPR010562","Haemolymph juvenile hormone binding",NA,"Y"
"16","g13442",-9.88018333565778,-0.747883493934226,-26.2572854651728,1.19273602046473e-20,1.16835947804648e-17,"MB (FC > 5)",316,"scaffold_40",NA,NA,NA,NA,NA,NA,NA,"N"
"17","g19229",-4.67880158401514,6.81360862870402,-26.1488101989735,1.31683826827509e-20,1.21404742227503e-17,"MB",3225,"scaffold_421","NRDC_MOUSE","A0A0M9A7S4","PF05193;PF00675;PF16187","Peptidase M16 inactive domain; Insulinase (Peptidase family M16); Middle or third domain of peptidase_M16","IPR007863;IPR011765;IPR032632","Peptidase M16, C-terminal; Peptidase M16, N-terminal; Peptidase M16, middle/third domain",NA,"Y"
"18","g10981",-11.8488996981252,4.92458394907234,-25.7444757572026,1.97864412249766e-20,1.7228494073281e-17,"MB (FC > 5)",860,"scaffold_1",NA,NA,NA,NA,NA,NA,NA,"N"
"19","g14384",-3.48088889373168,7.9538350502446,-25.2254275190733,3.26316159383535e-20,2.69176482422008e-17,"MB",4282,"scaffold_24","RPC2_DROME","A0A482X4H9","PF02902;PF00562;PF04561;PF04567;PF04565;PF04563;PF04560;PF04566","Ulp1 protease family, C-terminal catalytic domain; RNA polymerase Rpb2, domain 6; RNA polymerase Rpb2, domain 2; RNA polymerase Rpb2, domain 5; RNA polymerase Rpb2, domain 3; RNA polymerase beta subunit; RNA polymerase Rpb2, domain 7; RNA polymerase Rpb2, domain 4","IPR003653;IPR007120;IPR007642;IPR007647;IPR007645;IPR007644;IPR007641;IPR007646","Ulp1 protease family, C-terminal catalytic domain; DNA-directed RNA polymerase, subunit 2, hybrid-binding domain; RNA polymerase Rpb2, domain 2; RNA polymerase Rpb2, domain 5; RNA polymerase Rpb2, domain 3; RNA polymerase, beta subunit, protrusion; RNA polymerase Rpb2, domain 7; RNA polymerase Rpb2, domain 4","GO:0006508;GO:0008234;GO:0003677;GO:0003899;GO:0006351","Y"
"20","g17480",-8.46838879491364,4.52613335723476,-25.0447090211122,3.92083358040082e-20,3.0725612352811e-17,"MB (FC > 5)",1700,"scaffold_41",NA,NA,"PF14846","Domain of unknown function (DUF4485)","IPR027831","Domain of unknown function DUF4485",NA,"Y"
"21","g15581",-10.089425567724,5.30727221265225,-24.8963825465964,4.57198234278636e-20,3.41222282183289e-17,"MB (FC > 5)",1718,"scaffold_166",NA,NA,NA,NA,NA,NA,NA,"N"
"22","g9979",-13.8677493711542,2.423943528577,-24.823008722861,5.01951196706954e-20,3.57594595726732e-17,"MB (FC > 5)",1316,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"23","g5591",-11.3241243804479,4.47193514601841,-24.6361220500378,5.98507363529827e-20,4.07843735156651e-17,"MB (FC > 5)",1751,"scaffold_402",NA,NA,NA,NA,NA,NA,NA,"N"
"24","g5194",-7.58935188076785,7.02206533785804,-24.5706557377095,6.33558387249111e-20,4.13740025139805e-17,"MB (FC > 5)",1535,"scaffold_504",NA,"A0A067R6B0",NA,NA,NA,NA,NA,"Y"
"25","g18206",-3.43553621384068,8.14880242128112,-24.4464068101224,7.18858567395237e-20,4.50666813071422e-17,"MB",4710,"scaffold_78",NA,"J9LFM3",NA,NA,NA,NA,NA,"Y"
