"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","gid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g10130.t1",-3.68712719200945,-4.46549690749646,-7.27837052737004,1.46038890612095e-07,1.91132528952325e-05,7.46592003871669,"g10130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","g10279.t1",4.70561886826881,5.31976709710837,7.84581138266757,3.96687402760178e-08,6.75679948007212e-06,8.33304224770291,"g10279","3d6a13cd785260603525759d4bd844bd",757,"Pfam","PF13086","AAA domain",311,421,"1.8E-17",TRUE,"27-07-2020","IPR041677","DNA2/NAM7 helicase, AAA domain",""
"3","g10279.t1",4.70561886826881,5.31976709710837,7.84581138266757,3.96687402760178e-08,6.75679948007212e-06,8.33304224770291,"g10279","3d6a13cd785260603525759d4bd844bd",757,"Pfam","PF13086","AAA domain",427,500,"7.5E-14",TRUE,"27-07-2020","IPR041677","DNA2/NAM7 helicase, AAA domain",""
"4","g10279.t1",4.70561886826881,5.31976709710837,7.84581138266757,3.96687402760178e-08,6.75679948007212e-06,8.33304224770291,"g10279","3d6a13cd785260603525759d4bd844bd",757,"Pfam","PF13087","AAA domain",509,719,"1.8E-41",TRUE,"27-07-2020","IPR041679","DNA2/NAM7 helicase-like, AAA domain",""
"5","g10471.t1",-1.4196938052639,7.13312338909098,-12.9333315749301,2.04678590610113e-12,3.01316125176745e-09,17.8287436931048,"g10471","c42d097d6d4fee21509dccb0fc50df98",1808,"Pfam","PF13001","Proteasome stabiliser",11,481,"2.6E-86",TRUE,"27-07-2020","IPR024372","Proteasome component Ecm29","GO:0043248|GO:0060090"
"6","g1060.t1",6.47487912782646,1.46875115350944,12.0866313055804,8.61350948347059e-12,8.45354430734899e-09,17.0236636186392,"g1060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","g10773.t1",5.14689051383607,-2.67786384391797,6.84162012781712,4.09643835247321e-07,4.44355760234068e-05,6.52726087835538,"g10773","a474ee5107eb75e01255fefdf126e581",348,"Pfam","PF00135","Carboxylesterase family",102,338,"1.4E-16",TRUE,"27-07-2020","IPR002018","Carboxylesterase, type B",""
"8","g10773.t1",5.14689051383607,-2.67786384391797,6.84162012781712,4.09643835247321e-07,4.44355760234068e-05,6.52726087835538,"g10773","a474ee5107eb75e01255fefdf126e581",348,"Pfam","PF00135","Carboxylesterase family",3,83,"1.0E-14",TRUE,"27-07-2020","IPR002018","Carboxylesterase, type B",""
"9","g10800.t1",-4.25778369243009,-0.542076932057435,-7.580253517297,7.26202241075352e-08,1.1239785443058e-05,8.22777749796606,"g10800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","g10916.t1",5.04338406772822,-3.34101598083149,8.5550670821175,8.26041337509358e-09,1.89163466289643e-06,10.1124575870712,"g10916","d8419020b3f2ba88a749b1170bc18bb1",610,"Pfam","PF10551","MULE transposase domain",259,350,"6.1E-17",TRUE,"27-07-2020","IPR018289","MULE transposase domain",""
"11","g10916.t1",5.04338406772822,-3.34101598083149,8.5550670821175,8.26041337509358e-09,1.89163466289643e-06,10.1124575870712,"g10916","d8419020b3f2ba88a749b1170bc18bb1",610,"Pfam","PF15299","Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8",79,182,"1.2E-12",TRUE,"27-07-2020","IPR029309","Calcium-responsive transcription factor",""
"12","g10961.t1",6.08076497014194,-2.40947858708967,7.51937050258485,8.35281900121613e-08,1.20385733996549e-05,8.05768796451396,"g10961","dc8961da5d9824ff34c5939695d98706",733,"Pfam","PF10551","MULE transposase domain",313,404,"8.0E-17",TRUE,"27-07-2020","IPR018289","MULE transposase domain",""
"13","g10961.t1",6.08076497014194,-2.40947858708967,7.51937050258485,8.35281900121613e-08,1.20385733996549e-05,8.05768796451396,"g10961","dc8961da5d9824ff34c5939695d98706",733,"Pfam","PF15299","Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8",79,249,"3.0E-20",TRUE,"27-07-2020","IPR029309","Calcium-responsive transcription factor",""
"14","g10968.t1",5.86898030511432,-2.24303708127204,8.64500185041542,6.80248254984446e-09,1.61148465922177e-06,10.359807364798,"g10968","14ce9231e8133513d086815ae4f3171b",214,"SignalP_EUK","SignalP-noTM","",1,22,"-",TRUE,"27-07-2020","","",""
