"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g18439",8.38796287769394,-1.7074944232765,29.9492359088617,8.14178437141296e-22,1.52650315179622e-17,"scaffold_1579",577,"CSN4_DANRE","A0A2J7R0G0","CSN4/RPN5/eIF3a helix turn helix domain,PCI domain","Y",11810,"B3",-0.3628997,"B.strict","A","B"
"2","g4057",8.70519815044204,-0.890300193727616,20.830342891396,6.41738352399108e-18,6.01597618456544e-14,"scaffold_438",1747,NA,NA,"BTB/POZ domain,BTB And C-terminal Kelch","Y",280546,"A",0.201201988679961,"A","A","A"
"3","g13530",4.78593751811841,6.04104472289721,17.8239885458023,2.73587161406135e-16,1.70982856306788e-12,"scaffold_266",3107,"SAP_BOVIN","A0A437BE89","Saposin-like type B, region 1,Saposin A-type domain,Saposin-like type B, region 2","Y",513539,"A",-0.0200443239330516,"A","A","A"
"4","g7822",7.22559116493793,-1.96666527710146,16.5823220714332,1.51904282761305e-15,5.69610679498341e-12,"scaffold_805",1069,NA,NA,NA,"N",45340,"A",-0.0150398183614996,"A","A","A"
"5","g20085",6.59176203699601,-2.49687636895536,15.4530605432752,7.93454477736108e-15,2.47941300051238e-11,"scaffold_552",1087,NA,NA,NA,"N",189883,"B1",1.94663466562078,"B.strict","A","B"
"6","g9061",5.69794588781664,-3.07378944834512,15.2296304345606,1.11297580568951e-14,2.74203873125606e-11,"scaffold_848",1328,NA,NA,"Predicted AAA-ATPase","Y",36415,"B1",1.38857690730129,"B.strict","A","B"
"7","g1208",5.63815123479573,-2.87207324622198,15.1968962801831,1.1699989252786e-14,2.74203873125606e-11,"scaffold_2293",283,"FAS_CHICK","A0A2J7PFW7",NA,"Y",4891,"B1",0.3195591,"B.strict","A","B"
"8","g5582",6.53208221743316,-2.52122714658298,15.0681759781559,1.42597891784823e-14,2.94495920923771e-11,"scaffold_897",663,"FAS_ANSAN","A0A158NZW8","Beta-ketoacyl synthase, N-terminal domain","Y",31263,"B1",0.42170527814484,"B.strict","A","B"
"9","g1060",6.46343334783964,1.46874961573104,14.9312718545328,1.76165870663073e-14,2.94495920923771e-11,"scaffold_197",602,NA,NA,NA,"N",695333,"A",-0.302707020010726,"A","A","A"
"10","g20686",7.40268425549685,-1.53919477487437,14.9281896246255,1.77185337783e-14,2.94495920923771e-11,"scaffold_131",2058,NA,NA,"Low-density lipoprotein receptor domain class A,Trypsin","Y",945783,"A",0.121336882920779,"A","A","A"
"11","g2645",8.86842401687999,-1.05728111793734,14.8903868046071,1.8848744205479e-14,2.94495920923771e-11,"scaffold_1454",894,NA,"J9K3D3","Thioesterase domain","Y",13677,"B3",-0.2613518,"B.strict","A","A"
"12","g4055",5.96187286538834,-1.5654888331978,14.5586669462146,3.15630140768797e-14,4.55211500713399e-11,"scaffold_438",383,NA,NA,NA,"N",280546,"A",0.201201988679961,"A","A","A"
"13","g4590",9.09840020026141,-0.634168513675473,14.2076575306959,5.55840803023967e-14,7.05966009438036e-11,"scaffold_793",853,"ELOV6_CHICK","Q29D49","GNS1/SUR4 family","Y",47033,"A",-3.57793692025621,"A","A","A"
"14","g21179",8.83759885551352,-1.29249513136803,14.1972309215827,5.64802930373382e-14,7.05966009438036e-11,"scaffold_98",2174,"PGBD4_HUMAN","A0A087UIR8","Transposase IS4,DDE_Tnp_1-like zinc-ribbon","Y",1127684,"A",0.24514465794487,"A","A","A"
"15","g1128",3.61063953882463,5.11022361243524,13.8621761338436,9.69885702281479e-14,1.01024372400419e-10,"scaffold_605",2789,NA,"A0A2J7PQL3","RhoGEF domain","Y",140797,"A",-2.17625348427945,"A","A","A"
"16","g4056",6.0386576694512,-2.78493767931802,13.6811490916445,1.30846028924729e-13,1.29117484016302e-10,"scaffold_438",815,NA,NA,NA,"N",280546,"A",0.201201988679961,"A","A","A"
"17","g13531",6.16502749579261,-1.64092329548502,13.440167860989,1.95767432188613e-13,1.83522179305215e-10,"scaffold_266",886,NA,NA,"THAP domain","Y",513539,"A",-0.0200443239330516,"A","A","A"
"18","g20048",9.06808726992219,-0.808916693247435,12.9563337569175,4.49527199119585e-13,3.84105509280147e-10,"scaffold_850",2636,"NRDC_MOUSE","A0A087ZSL6","Insulinase (Peptidase family M16),Middle or third domain of peptidase_M16,Peptidase M16 inactive domain","Y",36264,"A",-1.26225189821126,"A","A","A"
"19","g4224",9.04808453213329,-1.05943673259372,12.9418236382565,4.60930662883518e-13,3.84105509280147e-10,"scaffold_28",1133,"SPOP_XENTR","N6U5F7","BTB/POZ domain","Y",1812903,"A",0.0615545488203059,"A","A","A"
"20","g8364",4.46228497763459,-3.67511319706898,12.9208245334444,4.75123973564591e-13,3.84105509280147e-10,"scaffold_275",1595,NA,NA,NA,"N",503033,"A",0.23057257481182,"A","A","A"
"21","g13171",4.51261815976248,-3.64833089780416,12.9010787030173,4.91681274879914e-13,3.84105509280147e-10,"scaffold_13",2370,NA,NA,NA,"N",2344678,"A",0.0805657756356739,"A","A","A"
"22","g2809",6.71409000179675,-2.19445616297905,12.7597385102727,6.29609554005425e-13,4.72181981121909e-10,"scaffold_817",281,NA,NA,"Proteasome assembly chaperone 4","Y",42457,"A",-0.186849101691396,"A","A","A"
"23","g20049",9.00636647495097,-0.817865743315289,12.3942323135764,1.20804681091513e-12,8.71141140686453e-10,"scaffold_850",595,NA,NA,NA,"N",36264,"A",-1.26225189821126,"A","A","A"
"24","g14658",6.2589511868107,-2.22815660723058,11.8790069727765,3.06012359353886e-12,2.12497249093556e-09,"scaffold_1980",677,NA,NA,NA,"N",7380,"A",-1.569334,"A","A","A"
"25","g10916",5.12331550871284,-3.34101751860989,11.5974223071709,5.16098115667194e-12,3.45582984665865e-09,"scaffold_1",1824,NA,"X1XR80","Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8,MULE transposase domain","Y",4205925,"A",-0.407990358368454,"A","A","A"
"26","g10968",6.94817179277137,-2.24303861905044,11.5291713025962,5.87437159653928e-12,3.79788251943155e-09,"scaffold_1",638,NA,NA,NA,"N",4205925,"A",-0.407990358368454,"A","A","A"
"27","g6525",9.09799821752047,0.473434622623617,11.4452704586576,6.92139081542369e-12,4.32563854661263e-09,"scaffold_52",2295,NA,"A0A1X7TGY6","hAT family C-terminal dimerisation region,BED zinc finger","Y",1435599,"A",-0.134785747536566,"A","A","A"
"28","g22271",5.06443411957933,-3.20013134561818,11.2659319086158,9.66420785624993e-12,5.66231978427594e-09,"scaffold_945",422,NA,NA,NA,"N",27636,"A",0.257285808821613,"A","A","A"
"29","g20279",7.58298607901201,-1.82221854770273,11.1259521295999,1.26757716296422e-11,7.2017588570958e-09,"scaffold_119",1413,NA,NA,"Sugar (and other) transporter","Y",991669,"A",-0.015208061271447,"A","A","A"
"30","g23417",6.56583541221284,-2.34025751359881,11.0372198415541,1.50220191291116e-11,8.28375990152098e-09,"scaffold_364",839,NA,NA,"OB-fold nucleic acid binding domain","Y",369540,"A",0.49483194180424,"A","A","A"
"31","g15527",5.9266932739487,-2.6841804646777,10.5410227764215,3.98488724479807e-11,2.01926083655997e-08,"scaffold_1202",446,NA,NA,NA,"N",18321,"B3",-1.547978,"B.loose","A","A"
"32","g11372",6.19497183757583,-1.75444904525769,10.3040615886945,6.41971979318096e-11,3.08623913852179e-08,"scaffold_151",482,NA,NA,NA,"N",880401,"A",-0.186194389548242,"A","A","A"
