"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g13530",3.96880220282673,6.04104472289721,19.493331216498,9.4772489839242e-17,1.77688941199595e-12,"scaffold_266",3107,"SAP_BOVIN","A0A437BE89","Saposin-like type B, region 1,Saposin A-type domain,Saposin-like type B, region 2","Y",513539,"A",-0.020043995,"A","A","A"
"2","g18439",8.51812454842991,-1.7074944232765,17.6809480561429,8.95908639665022e-16,8.39869554253975e-12,"scaffold_1579",577,"CSN4_DANRE","A0A2J7R0G0","CSN4/RPN5/eIF3a helix turn helix domain,PCI domain","Y",11810,"B4",-0.362880522,"B.strict","A","B"
"3","g4057",8.4943431587323,-0.890300193727616,13.594979878904,3.1794539234369e-13,1.98705272035062e-09,"scaffold_438",1747,NA,NA,"BTB/POZ domain,BTB And C-terminal Kelch","Y",280546,"A",0.201202584,"A","A","A"
"4","g9061",4.94156601021156,-3.07378944834512,13.0500650728466,7.67841289185789e-13,3.59906408273609e-09,"scaffold_848",1328,NA,NA,"Predicted AAA-ATPase","Y",36415,"B1",1.388582994,"B.strict","A","B"
"5","g20018",4.3453300710821,4.0163499984528,12.556947566737,1.75548298342543e-12,6.58271009124868e-09,"scaffold_894",643,"TCPA_DROME","A0A2J7QHG0","TCP-1/cpn60 chaperonin family","Y",31517,"A",0.10497079,"A","A","A"
"6","g22042",4.36498127322004,3.19631953060445,12.0513856473344,4.20384530398988e-12,1.31363159340844e-08,"scaffold_342",2273,"HSP7D_MANSE","A0A423SC79","Hsp70 protein,MULE transposase domain,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8","Y",390780,"A",-0.346987163,"A","A","A"
"7","g1128",3.48508031857618,5.11022361243524,11.7188147474375,7.57616463456883e-12,1.77556888416914e-08,"scaffold_605",2789,NA,"A0A2J7PQL3","RhoGEF domain","Y",140797,"A",-2.176244454,"A","A","A"
"8","g9804",3.65165439771962,3.08421976938602,10.5717893510552,6.34780339196592e-11,1.3223885088441e-07,"scaffold_47",738,"TADBP_XENTR","T1HYV6","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y",1504070,"A",-0.04900082,"A","A","A"
"9","g1060",6.49095013109657,1.46874961573104,10.1635648705034,1.40576586451294e-10,2.4207761583999e-07,"scaffold_197",602,NA,NA,NA,"N",695333,"A",-0.302706707,"A","A","A"
"10","g1208",5.57760200276182,-2.87207324622198,10.1578482312792,1.42026442703071e-10,2.4207761583999e-07,"scaffold_2293",283,"FAS_CHICK","A0A2J7PFW7",NA,"Y",4891,"B1",0.31966567,"B.strict","A","B"
"11","g7822",6.9647825222573,-1.96666527710146,10.0066073088279,1.91948662704275e-10,2.94262216176569e-07,"scaffold_805",1069,NA,NA,NA,"N",45340,"A",-0.015036239,"A","A","A"
"12","g13531",6.26890247535068,-1.64092329548502,9.61250206203476,4.2384385184883e-10,5.29776558554248e-07,"scaffold_266",886,NA,NA,"THAP domain","Y",513539,"A",-0.020043995,"A","A","A"
"13","g2645",8.80604982150627,-1.05728111793734,9.53798724976437,4.97634205390643e-10,5.83133982304323e-07,"scaffold_1454",894,NA,"J9K3D3","Thioesterase domain","Y",13677,"B4",-0.261317525,"B.strict","A","A"
"14","g13171",4.74135254171731,-3.64833089780416,9.42634205464685,6.200205150178e-10,6.83809684474632e-07,"scaffold_13",2370,NA,NA,NA,"N",2344678,"A",0.080565871,"A","A","A"
"15","g4056",5.22919615633328,-2.78493767931802,9.34695629683242,7.30700257020394e-10,7.60821292592426e-07,"scaffold_438",815,NA,NA,NA,"N",280546,"A",0.201202584,"A","A","A"
"16","g4055",5.82451702000394,-1.5654888331978,9.29658521072821,8.11585996685077e-10,7.60821292592426e-07,"scaffold_438",383,NA,NA,NA,"N",280546,"A",0.201202584,"A","A","A"
"17","g5915",3.21998689479806,2.76910430198559,8.98843365215047,1.54802167833602e-09,1.382088497482e-06,"scaffold_139",803,NA,NA,NA,"N",925897,"A",-0.742299179,"A","A","A"
