"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g1462",5.20560229631344,8.52092649630345,28.1219304754475,1.71322216547484e-20,3.21212023804878e-16,"scaffold_20",4018,NA,"A0A3Q0INX5",NA,"Y",2080048,"A",-0.276802087,"A","A","A"
"2","g17560",4.08504878503743,7.21221669905742,22.3433993049513,3.95109924149019e-18,2.78547791265023e-14,"scaffold_247",1138,"LDH_DROME","B0XBA2","lactate/malate dehydrogenase, NAD binding domain,lactate/malate dehydrogenase, alpha/beta C-terminal domain","Y",544523,"A",-0.145962259,"A","A","A"
"3","g7362",5.4501289341676,7.07030185254817,21.6649170008636,8.1334789675371e-18,2.78547791265023e-14,"scaffold_149",950,NA,NA,NA,"N",892767,"A",-0.02607312,"A","A","A"
"4","g13803",4.48050143531534,6.86234264496659,21.5939243239297,8.78081170347194e-18,2.78547791265023e-14,"scaffold_254",2167,"PAL2_DROME","J9JSH4","NHL repeat","Y",531794,"A",-0.17067692,"A","A","A"
"5","g23353",7.11180664117621,7.64387255197414,21.5025358615865,9.70727985996344e-18,2.78547791265023e-14,"scaffold_185",1015,"TBA2_CAEEL","A0A3Q1EH56","Tubulin/FtsZ family, GTPase domain","Y",758493,"A",-0.286512834,"A","A","A"
"6","g14382",8.53363452483245,6.27681828953943,21.4736585325519,1.00431118531803e-17,2.78547791265023e-14,"scaffold_24",1181,NA,NA,NA,"N",1928806,"A",-0.074834814,"A","A","A"
"7","g13934",4.10409601851208,8.45872513561567,21.4380608298348,1.03996721897443e-17,2.78547791265023e-14,"scaffold_553",4031,"CAPU_DROME","A0A067R058","Formin Homology 2 Domain","Y",188930,"A",0.356454496,"A","A","A"
"8","g22065",5.40591452154002,6.44335354839282,21.055445588359,1.58324563761697e-17,3.08442071887223e-14,"scaffold_342",1719,"ZFAN6_HUMAN","A0A2P8YC23","AN1-like Zinc finger","Y",390780,"A",-0.346987163,"A","A","A"
"9","g14360",8.52007617947497,7.23769430301747,21.030058770932,1.63447421247099e-17,3.08442071887223e-14,"scaffold_24",802,"TBA3_BOVIN","A0A2A2KX38","Tubulin/FtsZ family, GTPase domain","Y",1928806,"A",-0.074834814,"A","A","A"
"10","g15126",7.31790188270686,5.90142413864334,21.0220927355389,1.64511212271173e-17,3.08442071887223e-14,"scaffold_76",835,NA,NA,"Haemolymph juvenile hormone binding protein (JHBP)","Y",1257193,"A",0.209389323,"A","A","A"
"11","g9973",4.99997576191454,6.60628303202075,20.6136683047566,2.59385697936221e-17,4.42111131873292e-14,"scaffold_53",1923,"KLH10_HUMAN","A0A151WTN2","Kelch motif,BTB/POZ domain,BTB And C-terminal Kelch","Y",1421213,"A",0.153286275,"A","A","A"
