gene	gene_len	seq
g1	530	scaffold_1617
g2	2201	scaffold_93
g3	1505	scaffold_93
g4	351	scaffold_93
g5	279	scaffold_93
g6	232	scaffold_93
g7	260	scaffold_93
g8	436	scaffold_93
g9	600	scaffold_93
g10	310	scaffold_93
g11	962	scaffold_93
g12	343	scaffold_93
g13	1993	scaffold_93
g14	287	scaffold_93
g15	2327	scaffold_93
g16	2641	scaffold_93
g17	3064	scaffold_93
g18	569	scaffold_93
g19	963	scaffold_93
g20	896	scaffold_93
g21	2645	scaffold_93
g22	2906	scaffold_93
g23	1457	scaffold_93
g24	668	scaffold_93
g25	6262	scaffold_93
g26	1537	scaffold_93
g27	906	scaffold_93
g28	483	scaffold_93
g29	1323	scaffold_93
g30	415	scaffold_93
g31	644	scaffold_93
g32	276	scaffold_93
g33	383	scaffold_93
g34	242	scaffold_93
g35	4441	scaffold_93
g36	229	scaffold_93
g37	477	scaffold_93
g38	248	scaffold_93
g39	428	scaffold_93
g40	233	scaffold_93
g41	313	scaffold_93
g42	2010	scaffold_93
g43	1984	scaffold_93
g44	2056	scaffold_93
g45	222	scaffold_93
g46	2093	scaffold_93
g47	2160	scaffold_93
g48	962	scaffold_93
g49	341	scaffold_93
g50	1519	scaffold_93
g51	1527	scaffold_93
g52	6518	scaffold_93
g53	806	scaffold_93
g54	1162	scaffold_93
g55	1234	scaffold_93
g56	1790	scaffold_93
g57	2453	scaffold_93
g58	2727	scaffold_93
g59	1488	scaffold_93
g60	1908	scaffold_93
g61	1849	scaffold_93
g62	4003	scaffold_93
g63	1954	scaffold_93
g64	2087	scaffold_93
g65	1099	scaffold_93
g66	256	scaffold_93
g67	1168	scaffold_93
g68	1124	scaffold_415
g69	2645	scaffold_415
g70	385	scaffold_415
g71	312	scaffold_415
g72	2667	scaffold_415
g73	242	scaffold_415
g74	392	scaffold_415
g75	921	scaffold_415
g76	1531	scaffold_415
g77	1979	scaffold_415
g78	599	scaffold_415
g79	1073	scaffold_415
g80	1243	scaffold_415
g81	776	scaffold_1664
g82	479	scaffold_1257
g83	166	scaffold_360
g84	714	scaffold_360
g85	1746	scaffold_360
g86	745	scaffold_360
g87	1673	scaffold_360
g88	1055	scaffold_360
g89	1781	scaffold_360
g90	785	scaffold_360
g91	537	scaffold_360
g92	1775	scaffold_360
g93	859	scaffold_360
g94	1494	scaffold_360
g95	1417	scaffold_360
g96	413	scaffold_360
g97	590	scaffold_360
g98	976	scaffold_360
g99	234	scaffold_360
g100	205	scaffold_360
g101	669	scaffold_360
g102	198	scaffold_360
g103	848	scaffold_360
g104	217	scaffold_360
g105	399	scaffold_360
g106	278	scaffold_360
g107	4892	scaffold_360
g108	282	scaffold_360
g109	387	scaffold_360
g110	367	scaffold_360
g111	704	scaffold_360
g112	772	scaffold_360
g113	1199	scaffold_360
g114	551	scaffold_360
g115	4774	scaffold_360
g116	1058	scaffold_360
g117	1568	scaffold_360
g118	2239	scaffold_360
g119	1930	scaffold_360
g120	2480	scaffold_360
g121	1523	scaffold_360
g122	1822	scaffold_360
g123	3397	scaffold_360
g124	904	scaffold_360
g125	2168	scaffold_360
g126	1643	scaffold_360
g127	1667	scaffold_360
g128	2987	scaffold_360
g129	536	scaffold_360
g130	1025	scaffold_360
g131	1108	scaffold_360
g132	1202	scaffold_360
g133	1319	scaffold_360
g134	3382	scaffold_360
g135	1475	scaffold_360
g136	1835	scaffold_360
g137	1472	scaffold_360
g138	270	scaffold_360
g139	731	scaffold_360
g140	1721	scaffold_360
g141	1496	scaffold_360
g142	318	scaffold_360
g143	322	scaffold_360
g144	1829	scaffold_360
g145	1844	scaffold_360
g146	1916	scaffold_360
g147	996	scaffold_360
g148	1442	scaffold_360
g149	607	scaffold_360
g150	2014	scaffold_360
g151	509	scaffold_360
g152	1535	scaffold_360
g153	821	scaffold_360
g154	860	scaffold_360
g155	3108	scaffold_360
g156	3047	scaffold_360
g157	3449	scaffold_360
g158	1676	scaffold_360
g159	875	scaffold_360
g160	2741	scaffold_360
g161	2126	scaffold_360
g162	728	scaffold_360
g163	248	scaffold_360
g164	476	scaffold_360
g165	260	scaffold_360
g166	2143	scaffold_360
g167	1808	scaffold_360
g168	506	scaffold_360
g169	1067	scaffold_360
g170	587	scaffold_360
g171	674	scaffold_360
g172	1756	scaffold_360
g173	815	scaffold_360
g174	2201	scaffold_360
g175	1241	scaffold_360
g176	3398	scaffold_360
g177	530	scaffold_360
g178	1507	scaffold_360
g179	1952	scaffold_360
g180	1148	scaffold_360
g181	1583	scaffold_360
g182	2254	scaffold_360
g183	1457	scaffold_360
g184	2020	scaffold_360
g185	398	scaffold_360
g186	974	scaffold_360
g187	1958	scaffold_360
g188	362	scaffold_360
g189	1120	scaffold_360
g190	2024	scaffold_360
g191	388	scaffold_360
g192	1736	scaffold_360
g193	836	scaffold_360
g194	365	scaffold_360
g195	5900	scaffold_360
g196	1028	scaffold_360
g197	872	scaffold_360
g198	464	scaffold_360
g199	2507	scaffold_360
g200	1571	scaffold_360
g201	1136	scaffold_360
g202	3710	scaffold_360
g203	1634	scaffold_360
g204	272	scaffold_360
g205	1289	scaffold_360
g206	365	scaffold_360
g207	361	scaffold_360
g208	1421	scaffold_360
g209	908	scaffold_360
g210	265	scaffold_360
g211	327	scaffold_360
g212	215	scaffold_360
g213	632	scaffold_360
g214	3353	scaffold_360
g215	569	scaffold_360
g216	2816	scaffold_360
g217	2765	scaffold_360
g218	3115	scaffold_360
g219	3802	scaffold_360
g220	731	scaffold_360
g221	2249	scaffold_360
g222	593	scaffold_360
g223	230	scaffold_360
g224	1226	scaffold_360
g225	1372	scaffold_360
g226	2471	scaffold_360
g227	2585	scaffold_360
g228	1008	scaffold_360
g229	717	scaffold_137
g230	5222	scaffold_137
g231	739	scaffold_137
g232	742	scaffold_137
g233	1272	scaffold_137
g234	1104	scaffold_137
g235	1942	scaffold_137
g236	261	scaffold_137
g237	437	scaffold_137
g238	893	scaffold_137
g239	610	scaffold_137
g240	1062	scaffold_137
g241	1007	scaffold_137
g242	1328	scaffold_137
g243	1496	scaffold_137
g244	1217	scaffold_137
g245	1283	scaffold_137
g246	354	scaffold_137
g247	2622	scaffold_137
g248	202	scaffold_137
g249	238	scaffold_137
g250	499	scaffold_137
g251	551	scaffold_137
g252	2004	scaffold_137
g253	426	scaffold_137
g254	608	scaffold_137
g255	235	scaffold_137
g256	587	scaffold_137
g257	1396	scaffold_137
g258	1538	scaffold_137
g259	1132	scaffold_137
g260	1773	scaffold_137
g261	2074	scaffold_137
g262	544	scaffold_137
g263	814	scaffold_137
g264	2282	scaffold_137
g265	231	scaffold_137
g266	364	scaffold_137
g267	881	scaffold_137
g268	3623	scaffold_137
g269	2871	scaffold_137
g270	2324	scaffold_137
g271	261	scaffold_137
g272	505	scaffold_137
g273	921	scaffold_137
g274	214	scaffold_137
g275	443	scaffold_137
g276	1721	scaffold_137
g277	3252	scaffold_137
g278	489	scaffold_137
g279	610	scaffold_137
g280	776	scaffold_137
g281	1686	scaffold_137
g282	611	scaffold_137
g283	2140	scaffold_137
g284	242	scaffold_137
g285	1845	scaffold_137
g286	2843	scaffold_137
g287	1240	scaffold_137
g288	981	scaffold_137
g289	285	scaffold_137
