"gene","seq","gene_len","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","b.status.final"
"g16324","scaffold_1148",797,"KIF23_HUMAN","K7J331","PF00225","Kinesin motor domain","IPR001752","Kinesin motor domain","GO:0003777;GO:0005524;GO:0007018;GO:0008017","B"
"g16323","scaffold_1148",725,"KIF23_HUMAN","K7J331","PF00225","Kinesin motor domain","IPR001752","Kinesin motor domain","GO:0003777;GO:0005524;GO:0007018;GO:0008017","B"
"g12159","scaffold_1269",1076,NA,"A0A226CTZ9",NA,NA,NA,NA,NA,"B"
"g12160","scaffold_1269",1038,NA,"A0A226DDY8","PF05699","hAT family C-terminal dimerisation region","IPR008906","HAT, C-terminal dimerisation domain","GO:0046983","B"
"g13953","scaffold_2040",1483,"EP300_HUMAN","A0A3B3RK67","PF08214","Histone acetylation protein","IPR013178","Histone acetyltransferase Rtt109/CBP","GO:0004402;GO:0006355;GO:0016573","B"
"g123","scaffold_360",3397,NA,"J9M4U0",NA,NA,NA,NA,NA,"B-A"
"g130","scaffold_360",1025,NA,"A0A2H4T2S8",NA,NA,NA,NA,NA,"B-A"
"g170","scaffold_360",587,NA,"A0A2H4T2T7",NA,NA,NA,NA,NA,"B-A"
"g195","scaffold_360",5900,NA,"A0A2H4UX56",NA,NA,NA,NA,NA,"B-A"
"g98","scaffold_360",976,"DCR1_DROME","A0A067QYQ9","PF00636","Ribonuclease III domain","IPR000999","Ribonuclease III domain","GO:0004525;GO:0006396","B-A"
"g93","scaffold_360",859,NA,NA,"PF13920","Zinc finger, C3HC4 type (RING finger)",NA,NA,NA,"B-A"
"g150","scaffold_360",2014,NA,NA,"PF13920","Zinc finger, C3HC4 type (RING finger)",NA,NA,NA,"B-A"
"g133","scaffold_360",1319,NA,"A0A2H4UXB5",NA,NA,NA,NA,NA,"B-A"
"g160","scaffold_360",2741,NA,"B7SVC7","PF01607","Chitin binding Peritrophin-A domain","IPR002557","Chitin binding domain","GO:0005576;GO:0006030;GO:0008061","B-A"
"g156","scaffold_360",3047,NA,"A0A1S5VG25",NA,NA,NA,NA,NA,"B-A"
"g174","scaffold_360",2201,NA,"A0A2H4T2P1",NA,NA,NA,NA,NA,"B-A"
"g101","scaffold_360",669,"LST4_CAEEL","A0A067R133","PF10456;PF00787","WASP-binding domain of Sorting nexin protein; PX domain","IPR019497;IPR001683","Sorting nexin protein, WASP-binding domain; Phox homologous domain","GO:0035091","B-A"
"g137","scaffold_360",1472,NA,"B7SVD6","PF04639","Baculoviral E56 protein, specific to ODV envelope","IPR006733","Baculovirus occlusion-derived virus envelope, E56","GO:0019031","B-A"
"g124","scaffold_360",904,NA,NA,"PF13837","Myb/SANT-like DNA-binding domain",NA,NA,NA,"B-A"
"g135","scaffold_360",1475,NA,"A0A1S5VG57","PF01068","ATP dependent DNA ligase domain","IPR012310","DNA ligase, ATP-dependent, central","GO:0003910;GO:0005524;GO:0006281;GO:0006310","B-A"
"g184","scaffold_360",2020,NA,"B7SV33",NA,NA,NA,NA,NA,"B-A"
"g118","scaffold_360",2239,NA,"A0A1S5VG70",NA,NA,NA,NA,NA,"B-A"
"g175","scaffold_360",1241,NA,"A4L229","PF04631","Per os infectivity factor 2","IPR006725","Per os infectivity factor 2",NA,"B-A"
"g202","scaffold_360",3710,NA,"A0A2I7G2T7","PF02867","Ribonucleotide reductase, barrel domain","IPR000788","Ribonucleotide reductase large subunit, C-terminal","GO:0006260;GO:0055114","B-A"
"g162","scaffold_360",728,NA,NA,"PF05006","Per os infectivity factor 3","IPR007703","Per os infectivity factor 3",NA,"B-A"
"g201","scaffold_360",1136,NA,"A0A2P8Y5M2","PF01359","Transposase (partial DDE domain)","IPR001888","Transposase, type 1",NA,"B-A"
"g119","scaffold_360",1930,NA,"A0A0F7KNK5","PF10340","Steryl acetyl hydrolase","IPR019436","Steryl acetyl hydrolase 1-like",NA,"B-A"
"g85","scaffold_360",1746,NA,"J9L0E4","PF10551","MULE transposase domain","IPR018289","MULE transposase domain",NA,"B-A"
"g126","scaffold_360",1643,NA,"B7SVE6",NA,NA,NA,NA,NA,"B-A"
"g222","scaffold_360",593,NA,NA,"PF05820","Baculoviridae AC81","IPR008563","Protein AC81, baculovirus",NA,"B-A"
"g115","scaffold_360",4774,NA,"B7SV22,A0A2H4T2N0","PF03104","DNA polymerase family B, exonuclease domain","IPR006133","DNA-directed DNA polymerase, family B, exonuclease domain",NA,"B-A"
"g172","scaffold_360",1756,NA,NA,"PF00268","Ribonucleotide reductase, small chain","IPR000358","Ribonucleotide reductase small subunit family","GO:0055114","B-A"
"g125","scaffold_360",2168,NA,"B7SVE7","PF04583;PF08404","Baculoviridae p74 conserved region; Baculoviridae P74 N-terminal","IPR007663;IPR013613","Baculoviridae p74; Baculoviridae p74 N-terminal","GO:0019058","B-A"
"g208","scaffold_360",1421,NA,"A0A067R7U8","PF13920;PF00653","Zinc finger, C3HC4 type (RING finger); Inhibitor of Apoptosis domain","IPR001370","BIR repeat",NA,"B-A"
"g152","scaffold_360",1535,NA,"A0A1S5VG33","PF05092","Per os infectivity","IPR007784","Per os infectivity factor",NA,"B-A"
"g102","scaffold_360",198,NA,NA,"PF14604","Variant SH3 domain","IPR001452","SH3 domain","GO:0005515","B-A"
"g167","scaffold_360",1808,NA,"A4L220",NA,NA,NA,NA,NA,"B-A"
"g198","scaffold_360",464,NA,NA,"PF11792","Baculoviridae late expression factor 5 C-terminal domain","IPR021758","Baculoviridae late expression factor 5, C-terminal",NA,"B-A"
"g159","scaffold_360",875,NA,NA,"PF03258","Baculovirus FP protein","IPR004941","Baculovirus FP protein",NA,"B-A"
"g221","scaffold_360",2249,NA,"B7SVB7",NA,NA,NA,NA,NA,"B-A"
"g149","scaffold_360",607,NA,NA,"PF13920","Zinc finger, C3HC4 type (RING finger)",NA,NA,NA,"B-A"
"g94","scaffold_360",1494,NA,NA,"PF02373","JmjC domain, hydroxylase","IPR003347","JmjC domain",NA,"B-A"
"g20100","scaffold_552",3042,NA,"A0A087T926","PF07679;PF10551","Immunoglobulin I-set domain; MULE transposase domain","IPR013098;IPR018289","Immunoglobulin I-set; MULE transposase domain",NA,"B"
"g20092","scaffold_552",2589,NA,"A0A0R3QBG2","PF14529;PF00078","Endonuclease-reverse transcriptase; Reverse transcriptase (RNA-dependent DNA polymerase)","IPR005135;IPR000477","Endonuclease/exonuclease/phosphatase; Reverse transcriptase domain",NA,"B"
