"seq","length","PV04.mapped","PV13.mapped","PV21.mapped","PV23.mapped","cov.13v21","cov.13v23","cov.04v21","cov.04v23","cov.04v13","cov.21v23","b.status","PV04.asn","PV13.asn","PV21.asn","PV23.asn","b.status.asn","b.status.cov.asn","A.lo","B.lo","A.st","B.st","AB.ratio.st","AB.ratio.lo","b.status.kmer","b.status.final"
"scaffold_1",4205925,1178332,1645741,671995,730422,0.235631052556018,0.238362244654523,-0.0928144493511489,-0.133805210962726,-0.407990358368454,-0.0310123396967868,"A","Y","Y","Y","Y","A","A",3781153,370230,3903178,248205,-3.97503973042058,-3.35232900463758,"A","A"
"scaffold_2",3312200,1346785,1447892,837929,910799,-0.26752909423662,-0.264822937623272,-0.21841834127212,-0.259434102691157,-0.0304338332387087,-0.0310373293095481,"A","Y","Y","Y","Y","A","A",3230050,50564,3244550,36064,-6.49127560939685,-5.99727400586619,"A","A"
"scaffold_3",3189128,1115383,1112775,590190,630036,-0.141672744386357,-0.112916709668978,0.0152495102461103,0.000283655719629821,0.0773777880487399,-0.00498744355626076,"A","Y","Y","Y","Y","A","A",3008101,158307,3102127,64281,-5.59269958970665,-4.24804741920099,"A","A"
"scaffold_4",3039205,1106325,1265319,518467,530074,0.230593138991839,0.321662283292458,0.190412576828772,0.237759804255412,-0.119725207294507,0.0573256191664419,"A","Y","Y","Y","Y","A","A",2586546,424703,2736391,274858,-3.31551129238181,-2.60649780527857,"A","A"
"scaffold_5",2912966,1001976,1504501,574166,619712,0.333161212008284,0.346042121058296,-0.099729944813654,-0.130570997033011,-0.512436122659878,-0.0208626307026854,"A","Y","Y","Y","Y","A","A",2539950,360553,2686350,214153,-3.64892729089164,-2.81651341270392,"A","A"
"scaffold_6",2881478,1063179,1183393,661922,665271,-0.218387032667196,-0.102657263236887,-0.219386525284353,-0.147378664601246,-0.0805441011864333,0.0819862938985923,"A","Y","Y","Y","Y","A","A",2789743,60904,2849546,1101,-11.336392649224,-5.51742825829828,"A","A"
"scaffold_7",2872801,1298293,1253190,587898,820653,0.0353837998252541,-0.322811270249605,0.239939587721304,-0.161977378069787,0.125011332074952,-0.391938573615424,"A","Y","Y","Y","Y","A","A",2794333,59026,2848253,5106,-9.12338603350336,-5.56498564285683,"A","A"
"scaffold_8",2847527,1052888,1015664,498614,576838,-0.0301555520561066,-0.117387327147405,0.175318081698518,0.0443644307593104,0.12592923041673,-0.120975259228646,"A","Y","Y","Y","Y","A","A",2614795,201096,2700208,115683,-4.54480983086439,-3.70073493077678,"A","A"
"scaffold_9",2791333,1415102,1337814,598274,685322,0.104415578966889,0.0314509585464501,0.338988998299082,0.222302478955445,0.155028969252163,-0.106708133786905,"A","Y","Y","Y","Y","A","A",2428827,349012,2585197,192642,-3.74627311124212,-2.79890764772644,"A","A"
"scaffold_10",2776264,672378,1005755,328147,353977,0.559279820158894,0.572977408076097,0.131891622903766,0.101867259809066,-0.506933298875844,-0.0200459840253909,"A","Y","Y","Y","Y","A","A",2432787,321074,2589795,164066,-3.9804814670135,-2.92162836387498,"A","A"
"scaffold_11",2599874,1020807,1067529,517808,546159,-0.0127974013652742,0.0333096428378675,0.0761825540605744,0.0785677063777488,0.00943543793899257,0.012363554769062,"A","Y","Y","Y","Y","A","A",2413648,161783,2482293,93138,-4.73614479393431,-3.89907504905436,"A","A"
"scaffold_12",2392395,697625,815025,499411,504054,-0.349966020529908,-0.24030610630903,-0.420813148795095,-0.354875120755033,-0.150391795909699,0.0759164898056603,"A","Y","Y","Y","Y","A","A",2227823,116760,2259067,85516,-4.72337264446082,-4.25400488595333,"A","A"
"scaffold_13",2344678,756765,753329,276101,329711,0.391499184702338,0.258504692229962,0.551609322734154,0.3748929848867,0.0805657756356739,-0.166738032429223,"A","Y","Y","Y","Y","A","A",1931822,378029,2145302,164549,-3.70458349504298,-2.35339028112507,"A","A"
