"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","seq.x","b.status.final","gene_len","seq.y","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"1","g13530",5.65019610527649,6.04110097652638,22.4694617915844,3.71929202473e-18,6.71927297187721e-14,"B+","scaffold_266","A",3107,"scaffold_266","SAP_BOVIN","A0A437BE89","PF05184;PF02199;PF03489","Saposin-like type B, region 1; Saposin A-type domain; Saposin-like type B, region 2","IPR007856;IPR003119;IPR008138","Saposin-like type B, region 1; Saposin A-type domain; Saposin B type, region 2","GO:0006629","Y"
"2","g9061",6.51133588961681,-3.07373319471595,18.2260747257965,4.77055291445851e-16,4.30924044763037e-12,"B+","scaffold_848","B1",1328,"scaffold_848",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"3","g18439",8.26035335845426,-1.70743816964732,15.4730960880796,1.98010289576583e-14,1.19241796383018e-10,"B+","scaffold_1579","B3",577,"scaffold_1579","CSN4_DANRE","A0A2J7R0G0","PF18420;PF01399","CSN4/RPN5/eIF3a helix turn helix domain; PCI domain","IPR041406;IPR000717","COP9 signalosome complex subunit 4, helix turn helix domain; Proteasome component (PCI) domain",NA,"Y"
"5","g4593",8.67681122337828,-2.65472967104134,13.3679602136084,4.98626908395337e-13,1.62249273359139e-09,"B+","scaffold_888","A",655,"scaffold_888",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"6","g4057",8.95188607382856,-0.89024394009844,13.3231469339388,5.3885510913032e-13,1.62249273359139e-09,"B+","scaffold_438","A",1747,"scaffold_438",NA,NA,"PF00651;PF07707","BTB/POZ domain; BTB And C-terminal Kelch","IPR000210;IPR011705","BTB/POZ domain; BTB/Kelch-associated","GO:0005515","Y"
"7","g864",6.96448177860795,-3.29321155185289,12.8953027533573,1.05575486661558e-12,2.67943248322399e-09,"B+","scaffold_158","A",441,"scaffold_158",NA,NA,"PF15868","Transcription activator MBF2","IPR031734","Transcription activator MBF2",NA,"Y"
"10","g4591",5.21039055572993,-4.50295637217839,12.3819982212815,2.46858472176474e-12,4.45974515834018e-09,"B+","scaffold_793","A",400,"scaffold_793",NA,NA,"PF01151","GNS1/SUR4 family","IPR002076","ELO family","GO:0016021","Y"
"11","g1128",3.71944417442679,5.11027986606442,12.2656852258761,2.99601559918982e-12,4.92054707408757e-09,"B+","scaffold_605","A",2789,"scaffold_605",NA,"A0A2J7PQL3","PF00621","RhoGEF domain","IPR000219","Dbl homology (DH) domain","GO:0005089;GO:0035023","Y"
"12","g9057",-4.13734394739191,5.11384857718509,-11.7719622100456,7.12895001117657e-12,1.07326342418263e-08,"B-","scaffold_740","A",2103,"scaffold_740",NA,"C3WB46","PF18694;PF09820","Transactive response DNA-binding protein N-terminal domain; Predicted AAA-ATPase","IPR041105;IPR018631","TAR DNA-binding protein 43, N-terminal; AAA-ATPase-like domain",NA,"Y"
"13","g20277",7.10703119417637,-2.54642493843013,11.1041153686582,2.46871475725692e-11,3.43075390804643e-08,"B+","scaffold_119","A",1422,"scaffold_119",NA,"T1I516","PF00083","Sugar (and other) transporter","IPR005828","Major facilitator,  sugar transporter-like","GO:0016021;GO:0022857;GO:0055085","Y"
