## 1.1.1
## assembly	: /data/ross/mealybugs/analyses/B_viburni_andres/1_pacbio_assembly/1_redbean/polished/pseudococcus_viburni.redbean.cns3.srp1.fa
## coverage	 bam0 - /data/ross/mealybugs/analyses/B_viburni_andres/1_pacbio_assembly/1_redbean/blobtools/p.viburni.decon.to.cns3.srp1.sorted.bam
## taxonomy	 tax0 - /data/ross/mealybugs/analyses/B_viburni_andres/1_pacbio_assembly/1_redbean/blobtools/p.viburni.decon.blast.out
## taxonomy	 tax1 - /data/ross/mealybugs/analyses/B_viburni_andres/1_pacbio_assembly/1_redbean/blobtools/p.viburni.decon.diamond.taxified.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
ctg1	2631267	0.341	0	20.2187	Arthropoda	5563.9	0
ctg2	2022326	0.3436	0	19.4024	Arthropoda	1393.5	0
ctg3	1490344	0.3235	0	20.7765	Arthropoda	7165.0	0
ctg4	1860347	0.33	0	21.3251	Arthropoda	2750.3	0
ctg5	1383197	0.3399	0	19.4427	Arthropoda	2369.1	0
ctg6	1292543	0.327	0	19.9973	Arthropoda	2749.9	0
ctg7	1311222	0.3241	0	19.6372	Arthropoda	2634.3	0
ctg8	1286592	0.3391	0	20.0949	Arthropoda	2269.7	0
ctg9	1278380	0.3322	0	20.7024	Arthropoda	2785.7	0
ctg10	1267006	0.3318	0	21.018	Arthropoda	6774.9	0
ctg11	2836906	0.3293	0	21.9014	Arthropoda	5246.1	0
ctg12	1508027	0.3398	0	19.3074	Arthropoda	2543.8	0
ctg13	1448476	0.3274	0	20.7596	Arthropoda	2208.5	2
ctg14	1205815	0.3299	0	21.4028	Chordata	1372.0	1
ctg15	1196167	0.333	0	20.1899	Arthropoda	2843.1	2
ctg16	2790335	0.3463	0	20.2941	Arthropoda	3533.3	0
ctg17	1134414	0.3281	0	20.9121	Arthropoda	2355.9	1
ctg18	1657105	0.3291	0	19.1501	Arthropoda	2557.0	1
ctg19	1015396	0.3335	0	19.4057	Arthropoda	634.9	0
ctg20	2021234	0.328	0	20.2556	Arthropoda	3161.9	0
ctg21	1328816	0.3443	0	20.5056	Arthropoda	1305.1	0
ctg23	1174841	0.3382	0	19.6663	Arthropoda	1379.6	0
ctg22	1520789	0.3373	0	19.7897	Arthropoda	5492.1	0
ctg24	970391	0.3467	0	18.8621	Arthropoda	558.2	0
ctg25	902579	0.3267	0	20.9205	Arthropoda	1908.8	0
ctg26	1937990	0.3456	0	19.137	Arthropoda	2309.6	0
ctg27	1086179	0.3492	0	18.8738	Arthropoda	2993.6	0
ctg28	2216328	0.3422	0	21.8021	Arthropoda	1336.2	0
