"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g8501",9.04380691420203,-1.75623946498867,13.0792248597263,7.37074267275523e-13,1.13273815058596e-10,"scaffold_543",761,NA,NA,NA,"N",195591,"B3",-0.0471392890068341,"B.loose","A","A"
"2","g5309",6.41333099369031,-3.11507585971246,12.6415908264559,1.52196884770417e-12,2.03824242325753e-10,"scaffold_1578",398,NA,NA,NA,"N",11811,"B2",0.2228978,"B.loose","A","A"
"3","g23625",4.57150521766859,2.60641772356704,11.8317774740643,6.19447083397414e-12,6.41658197050724e-10,"scaffold_497",1584,"MYRO1_BREBR","A0A067RC84","Glycosyl hydrolase family 1","Y",224833,"B3",-0.0553107531962105,"B.loose","A","A"
"4","g19187",6.64230977946313,-2.6707485364883,9.83890794123389,2.68220924882702e-10,1.81547802188657e-08,"scaffold_1000",386,NA,NA,NA,"N",25048,"B2",0.3877875,"B.loose","A","A"
"5","g5312",6.3047074252834,-3.63746172181191,9.45750844983047,5.82201418772943e-10,3.43260830206727e-08,"scaffold_1578",879,NA,NA,"Transposase IS4","Y",11811,"B2",0.2228978,"B.loose","A","A"
"6","g13953",6.95034809797549,-3.69151956724346,7.3591717015245,5.84616620237566e-08,2.20702873233111e-06,"scaffold_2040",1483,"EP300_HUMAN","A0A3B3RK67","Histone acetylation protein","Y",6888,"B1",1.200703,"B.strict","A","B"
"7","g17806",2.51574265096883,2.94660951923715,6.16261284056438,1.03711347720709e-06,2.71575985812231e-05,"scaffold_295",645,"BHE22_XENTR","A0A1S3D3L0","Helix-loop-helix DNA-binding domain","Y",464503,"B2",0.445260673936596,"B.loose","A","A"
"8","g8513",4.93486859494404,1.41048104226781,5.58437636709655,4.41717008533589e-06,9.26370491386605e-05,"scaffold_1484",1055,"MURF_BACSU","Q5GT47","Mur ligase family, catalytic domain,Mur ligase middle domain","Y",13285,"B3",-0.0699916,"B.loose","A","A"
"9","g5311",5.73784431918665,-3.70144802357973,5.44260935361451,6.34356164132883e-06,0.000124195143242849,"scaffold_1578",1420,NA,"A0A087T137","Transposase IS4","Y",11811,"B2",0.2228978,"B.loose","A","A"
"10","g9860",-2.98562810711038,1.3901934402797,-5.4169247639678,6.7455575653716e-06,0.000131059542790831,"scaffold_423",2813,NA,NA,NA,"N",294159,"B3",-0.269610913910345,"B.loose","A","A"
"11","g506",-3.64174456731543,-1.24530603233324,-4.59813411406474,5.49273501610692e-05,0.000725234428288652,"scaffold_816",905,NA,"A0A2J7RAG5","Peptidase family M1 domain","Y",42994,"B2",0.23847646001005,"B.loose","A","A"
"12","g507",-3.49253529287252,-0.714225527089011,-4.56054818358657,6.04965591326806e-05,0.000788220977886469,"scaffold_816",601,NA,NA,"ERAP1-like C-terminal domain","Y",42994,"B2",0.23847646001005,"B.loose","A","A"
"13","g990",-4.79916007011769,0.936119204596551,-4.32908652965799,0.000109991648631692,0.00129050902390212,"scaffold_1966",725,"4CLL7_ARATH","K7IVI9","AMP-binding enzyme,AMP-binding enzyme C-terminal domain","Y",7531,"B2",0.3263487,"B.loose","A","A"
"14","g114",3.47837827005897,0.763687641286349,4.23836528596957,0.000138406698638401,0.00158766508836647,"scaffold_360",551,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"15","g113",3.52223102101524,2.1562686578186,4.21018882641957,0.00014877860000133,0.00169365511319061,"scaffold_360",1199,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"16","g9552",-3.5252490755898,-2.49288660187581,-3.94146283078037,0.000295631832155004,0.00296744788205529,"scaffold_1388",1646,NA,NA,NA,"N",14907,"B1",0.6026681,"B.strict","B","B"
"17","g4588",-2.7971953064815,-4.19617316193038,-3.67093292149119,0.000586240815844289,0.00532273304314111,"scaffold_640",375,NA,NA,NA,"N",113869,"B3",-0.411957789294194,"B.loose","A","A"
"18","g6857",6.32004997610879,-4.11951352390133,3.64522246433329,0.000644172922934241,0.00573485191457459,"scaffold_1082",954,NA,"J9LMH3","Transposase IS4","Y",21822,"B2",0.004111291,"B.loose","A","A"
"19","g23628",-4.4673691029732,0.805897609152125,-3.58309557659964,0.00073462323325362,0.0064122211360671,"scaffold_497",2865,"LPH_RAT","A0A3Q0J5H8","Glycosyl hydrolase family 1","Y",224833,"B3",-0.0553107531962105,"B.loose","A","A"
