"","gene","B.males.tpm","B.females.tpm","nonB.males.tpm","nonB.females.tpm","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale"
"1","g1",0.0742857142857143,0.37,0,0.26,"scaffold_1617",530,NA,NA,NA,"N",11290,"A",1.310512,0,0,0,0,0
"2","g10",0,0,0,0,"scaffold_93",310,NA,NA,NA,"N",1182508,"A",0.201287524430213,NA,NA,NA,NA,NA
"3","g1000",1.05857142857143,0.448333333333333,1.71714285714286,0.495,"scaffold_832",237,NA,NA,NA,"N",40185,"A",-0.319295151561735,0,0,0,0,0
"4","g10000",4.64571428571429,14.4483333333333,4.55142857142857,14.1083333333333,"scaffold_53",2880,NA,"A0A1Y1YT47","Predicted AAA-ATPase","Y",1421213,"A",0.15328615067164,0,-1,0,0,0
"5","g10001",0.741428571428571,0.723333333333333,0.64,0.351666666666667,"scaffold_53",284,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,0,0,0,0
"6","g10002",19.96,0.0916666666666667,57.3414285714286,0.0183333333333333,"scaffold_53",432,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,0,0,0,1
"7","g10003",18.8328571428571,0.09,53.89,0.0683333333333333,"scaffold_53",388,NA,NA,NA,"N",1421213,"A",0.15328615067164,-1,0,0,0,1
"8","g10004",0.947142857142857,2.53333333333333,0.987142857142857,2.67666666666667,"scaffold_53",861,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,0,0,0,0
"9","g10005",53.63,0.308333333333333,61.1371428571429,0.996666666666667,"scaffold_53",271,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,1,1,0,1
"10","g10006",64.2714285714286,0.126666666666667,68.7042857142857,0.88,"scaffold_53",785,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,1,1,0,1
"11","g10007",0,0,0,0,"scaffold_53",368,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"12","g10008",0,0,0,0,"scaffold_53",301,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"13","g10009",114.435714285714,0,158.337142857143,0,"scaffold_53",791,NA,"A8AH86",NA,"Y",1421213,"A",0.15328615067164,0,1,1,0,1
"14","g1001",0,0,0,0.00166666666666667,"scaffold_197",2399,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"15","g10010",1.24857142857143,0.443333333333333,0.462857142857143,0.193333333333333,"scaffold_53",200,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
