"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","gid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g10005.t1",6.27805639574276,-0.473865804064674,8.88494663395481,4.07319825128134e-09,5.66623954459565e-08,10.8491965128761,"g10005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","g10006.t1",7.37231568663658,1.46509943234417,7.00542563715848,2.77449352280152e-07,1.79445125750101e-06,6.94394064548568,"g10006","25fd2b3e27aa2de407d2582c8bfb4276",262,"SignalP_EUK","SignalP-noTM","",1,22,"-",TRUE,"27-07-2020","","",""
"3","g10009.t1",12.258259420048,0.702667873566843,12.5562461590016,3.84733639825956e-12,2.09164932702083e-10,16.4277454275046,"g10009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","g10019.t1",0.557227629702887,4.85302158469302,7.32078160030479,1.32291630273459e-07,9.67474602245e-07,6.93016155118352,"g10019","a8aaeb9ca60832b3f722ac2cf91ec884",403,"Pfam","PF01399","PCI domain",283,392,"7.1E-14",TRUE,"27-07-2020","IPR000717","Proteasome component (PCI) domain",""
"5","g10021.t1",1.31932830151975,4.52460151099026,8.79192919706353,4.96465369221469e-09,6.6785753703325e-08,10.3896408924015,"g10021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","g10034.t1",1.44637978631311,8.04050300441074,9.57494271962999,9.71902397700585e-10,1.76951487779232e-08,11.6358109124917,"g10034","6ab934068de4134cab231c1651b08420",722,"Pfam","PF12698","ABC-2 family transporter protein",335,704,"5.3E-25",TRUE,"27-07-2020","","",""
"7","g10034.t1",1.44637978631311,8.04050300441074,9.57494271962999,9.71902397700585e-10,1.76951487779232e-08,11.6358109124917,"g10034","6ab934068de4134cab231c1651b08420",722,"Pfam","PF00005","ABC transporter",72,206,"1.3E-28",TRUE,"27-07-2020","IPR003439","ABC transporter-like","GO:0005524|GO:0016887"
"8","g10036.t1",1.25694521754768,5.11484236022411,9.85060163109131,5.57705634062699e-10,1.12139640175924e-08,12.4837022470821,"g10036","ff83201ff0dfc0c59f4c3de2d10187ab",633,"Pfam","PF13639","Ring finger domain",153,201,"4.5E-7",TRUE,"27-07-2020","IPR001841","Zinc finger, RING-type",""
"9","g10038.t1",0.687324327078938,6.14114064136177,9.12341556122168,2.46505845749368e-09,3.735651088893e-08,10.7909782445991,"g10038","e65ed79a445b6e0d002c35f7f3a6a30e",199,"Pfam","PF00179","Ubiquitin-conjugating enzyme",8,147,"3.6E-42",TRUE,"27-07-2020","IPR000608","Ubiquitin-conjugating enzyme E2",""
"10","g10042.t1",0.851110194817502,4.74061663062318,7.6073113247931,6.82520025601277e-08,5.65383349181765e-07,7.64500345551543,"g10042","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01534","Frizzled/Smoothened family membrane region",224,550,"4.0E-63",TRUE,"27-07-2020","IPR000539","Frizzled/Smoothened, transmembrane domain","GO:0007166|GO:0016020"
