"gene","gene_len","seq","blast","diamond","interpro","anno"
"g1",530,"scaffold_1617",NA,NA,NA,"N"
"g10",310,"scaffold_93",NA,NA,NA,"N"
"g100",205,"scaffold_360",NA,NA,NA,"N"
"g1000",237,"scaffold_832",NA,NA,NA,"N"
"g10000",2880,"scaffold_53",NA,"A0A1Y1YT47","Predicted AAA-ATPase","Y"
"g10001",284,"scaffold_53",NA,NA,NA,"N"
"g10002",432,"scaffold_53",NA,NA,NA,"N"
"g10003",388,"scaffold_53",NA,NA,NA,"N"
"g10004",861,"scaffold_53",NA,NA,NA,"N"
"g10005",271,"scaffold_53",NA,NA,NA,"N"
"g10006",785,"scaffold_53",NA,NA,NA,"N"
"g10007",368,"scaffold_53",NA,NA,NA,"N"
"g10008",301,"scaffold_53",NA,NA,NA,"N"
"g10009",791,"scaffold_53",NA,"A8AH86",NA,"Y"
"g1001",2399,"scaffold_197",NA,NA,NA,"N"
"g10010",200,"scaffold_53",NA,NA,NA,"N"
"g10011",413,"scaffold_53",NA,NA,NA,"N"
"g10012",379,"scaffold_53",NA,NA,NA,"N"
"g10013",3966,"scaffold_53","KCNT1_CHICK","A0A139WM47,J9K6K2","Ion channel,Calcium-activated BK potassium channel alpha subunit","Y"
"g10014",231,"scaffold_53",NA,NA,NA,"N"
"g10015",2480,"scaffold_53",NA,"J9K7E4","ALMS motif","Y"
"g10016",1004,"scaffold_53","WDR35_MOUSE","A0A482XF15",NA,"Y"
"g10017",1226,"scaffold_53",NA,"U4UI05","HIUase/Transthyretin family","Y"
"g10018",798,"scaffold_53","MED11_DROME","A0A067R7U6","Mediator complex protein","Y"
"g10019",1201,"scaffold_53","PCID2_HUMAN","A0A1S3CUM7","PCI domain","Y"
"g1002",1005,"scaffold_197",NA,"J9JZE9","DDE superfamily endonuclease","Y"
"g10020",476,"scaffold_53","MGDP1_MOUSE","A0A2P8Y3X9","Acid Phosphatase","Y"
"g10021",939,"scaffold_53",NA,"E0W1P4",NA,"Y"
"g10022",462,"scaffold_53",NA,NA,NA,"N"
"g10023",360,"scaffold_53",NA,NA,NA,"N"
"g10024",565,"scaffold_53",NA,NA,NA,"N"
"g10025",1655,"scaffold_53","ASND1_MACFA,ASND1_BOVIN","A0A2A3E3R0","Glutamine amidotransferase domain,Asparagine synthase","Y"
"g10026",829,"scaffold_53","PHYD1_CAEBR","A0A154PB32","Phytanoyl-CoA dioxygenase (PhyH)","Y"
"g10027",2121,"scaffold_53",NA,"J9M7I9","Predicted AAA-ATPase","Y"
"g10028",988,"scaffold_53",NA,NA,"Predicted AAA-ATPase","Y"
"g10029",1959,"scaffold_53",NA,"J9M7I9","Predicted AAA-ATPase","Y"
"g1003",479,"scaffold_197",NA,NA,"SET domain","Y"
"g10030",1769,"scaffold_53","MA1B1_HUMAN","J9JJF7","Glycosyl hydrolase family 47","Y"
"g10031",820,"scaffold_53",NA,NA,NA,"N"
"g10032",2567,"scaffold_53",NA,"J9JN65","Sushi repeat (SCR repeat),Lectin C-type domain","Y"
"g10033",720,"scaffold_53",NA,NA,NA,"N"
"g10034",2150,"scaffold_53","ABCGN_DICDI","J9M7A0","ABC transporter,ABC-2 family transporter protein","Y"
"g10035",939,"scaffold_53","RNF41_MOUSE","D6WGM9","USP8 interacting,Zinc finger, C3HC4 type (RING finger)","Y"
"g10036",1890,"scaffold_53","RFWD3_HUMAN","A0A2J7PHJ6","Ring finger domain","Y"
"g10037",1096,"scaffold_53","PRPS1_RAT","A0A151IY24","N-terminal domain of ribose phosphate pyrophosphokinase,Phosphoribosyl synthetase-associated domain","Y"
"g10038",592,"scaffold_53","UBE2K_MOUSE","C4WVG8","Ubiquitin-conjugating enzyme","Y"
"g10039",591,"scaffold_53","UBE2K_MOUSE","A0A482XSU8","Ubiquitin-conjugating enzyme","Y"
"g1004",661,"scaffold_197",NA,NA,NA,"N"
"g10040",618,"scaffold_53",NA,NA,NA,"N"
"g10041",3958,"scaffold_53","IBTK_XENLA","A0A067RQX8","Ankyrin repeats (3 copies),Regulator of chromosome condensation (RCC1) repeat,BTB/POZ domain","Y"
"g10042",2348,"scaffold_53","SMO_DROME","A0A2J7Q946","Frizzled/Smoothened family membrane region,Fz domain","Y"
"g10043",1539,"scaffold_53","M3K7_BOVIN","A0A0L7RH64","Protein tyrosine kinase","Y"
"g10044",981,"scaffold_53","VDAC_DROME","A0A067RGH4","Eukaryotic porin","Y"
"g10045",1431,"scaffold_53",NA,"D6WV24","SET domain","Y"
"g10046",341,"scaffold_53",NA,NA,NA,"N"
"g10047",1169,"scaffold_53","LOLAL_DROME","J9K537","BTB/POZ domain,C2H2-type zinc finger","Y"
"g10048",2481,"scaffold_53","RA54B_HUMAN","A0A067QKB0","Helicase conserved C-terminal domain,SNF2 family N-terminal domain","Y"
"g10049",749,"scaffold_53",NA,"A0A3Q0IMR4",NA,"Y"
"g1005",247,"scaffold_197",NA,NA,NA,"N"
"g10050",1605,"scaffold_130","MINP1_DROME","K7J1W3","Histidine phosphatase superfamily (branch 2)","Y"
"g10051",1566,"scaffold_130","MINP1_DROME","A0A067R6V0","Histidine phosphatase superfamily (branch 2)","Y"
"g10052",1069,"scaffold_130",NA,NA,NA,"N"
"g10053",1279,"scaffold_130",NA,NA,NA,"N"
