"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"1","g1462",5.45234139633204,8.52092649630345,29.4826562982401,5.54614329081202e-21,1.03984640559435e-16,"scaffold_20",4018,NA,"A0A3Q0INX5",NA,"Y",2080048,"A",-0.276802087,"A","A","A"
"2","g23353",6.38546368948337,7.64387255197414,23.3163671873661,1.45275072518094e-18,9.49177471411704e-15,"scaffold_185",1015,"TBA2_CAEEL","A0A3Q1EH56","Tubulin/FtsZ family, GTPase domain","Y",758493,"A",-0.286512834,"A","A","A"
"3","g14360",7.57833770784335,7.23769430301747,23.2736345176799,1.51876495505633e-18,9.49177471411704e-15,"scaffold_24",802,"TBA3_BOVIN","A0A2A2KX38","Tubulin/FtsZ family, GTPase domain","Y",1928806,"A",-0.074834814,"A","A","A"
"4","g15126",6.76238749995231,5.90142413864334,22.4630966420536,3.48881913846526e-18,1.63529675067713e-14,"scaffold_76",835,NA,NA,"Haemolymph juvenile hormone binding protein (JHBP)","Y",1257193,"A",0.209389323,"A","A","A"
"5","g7362",5.40536874907264,7.07030185254817,21.9383858887969,6.06536168432849e-18,2.10573851853028e-14,"scaffold_149",950,NA,NA,NA,"N",892767,"A",-0.02607312,"A","A","A"
"6","g22065",5.54810708984439,6.44335354839282,21.7776831312733,7.20397378331269e-18,2.10573851853028e-14,"scaffold_342",1719,"ZFAN6_HUMAN","A0A2P8YC23","AN1-like Zinc finger","Y",390780,"A",-0.346987163,"A","A","A"
"7","g17560",3.90850798329847,7.21221669905742,21.6962840653378,7.86184310081174e-18,2.10573851853028e-14,"scaffold_247",1138,"LDH_DROME","B0XBA2","lactate/malate dehydrogenase, NAD binding domain,lactate/malate dehydrogenase, alpha/beta C-terminal domain","Y",544523,"A",-0.145962259,"A","A","A"
"8","g13934",4.10126643601111,8.45872513561567,21.4005029748319,1.08342922187412e-17,2.53915181011473e-14,"scaffold_553",4031,"CAPU_DROME","A0A067R058","Formin Homology 2 Domain","Y",188930,"A",0.356454496,"A","A","A"
"9","g14382",8.77088748326514,6.27681828953943,21.2469010855349,1.28758295419484e-17,2.68232142313323e-14,"scaffold_24",1181,NA,NA,NA,"N",1928806,"A",-0.074834814,"A","A","A"
"10","g13803",4.35426052951227,6.86234264496659,21.0909230786804,1.52211935440642e-17,2.8538215775766e-14,"scaffold_254",2167,"PAL2_DROME","J9JSH4","NHL repeat","Y",531794,"A",-0.17067692,"A","A","A"
"11","g9973",4.7403373857061,6.60628303202075,20.7532155550832,2.21696193190385e-17,3.7787108419332e-14,"scaffold_53",1923,"KLH10_HUMAN","A0A151WTN2","Kelch motif,BTB/POZ domain,BTB And C-terminal Kelch","Y",1421213,"A",0.153286275,"A","A","A"
"12","g7883",7.80707566795711,8.23478104920851,20.663096552589,2.45884734698845e-17,3.84174407572387e-14,"scaffold_46",1061,"PP1G_HUMAN","A0A0C9MMR5","Calcineurin-like phosphoesterase","Y",1511820,"A",0.268979977,"A","A","A"
"13","g21514",3.39595738912074,8.22206056323673,20.37751236561,3.39028233448886e-17,4.88956949917936e-14,"scaffold_477",3222,"RYK2_DROME","E0W415","Protein tyrosine kinase,WIF domain","Y",243240,"A",0.139535298,"A","A","A"
"14","g11667",4.38603097062398,7.34635203541494,19.8957092296814,5.90655043728254e-17,7.75847526308295e-14,"scaffold_152",1517,"TBCE_RAT","A0A2J7QV38","CAP-Gly domain,Leucine-rich repeat","Y",874986,"A",-0.337730979,"A","A","A"
"15","g5194",6.98930277758072,7.02069641828332,19.85410158316,6.20711125640003e-17,7.75847526308295e-14,"scaffold_504",1535,NA,"A0A067R6B0",NA,"Y",220088,"A",0.432675202,"A","A","A"
"16","g19229",4.60587678103964,6.8122397091293,19.7767385948957,6.78687846262669e-17,7.95294901848674e-14,"scaffold_421",3225,"NRDC_MOUSE","A0A0M9A7S4","Peptidase M16 inactive domain,Insulinase (Peptidase family M16),Middle or third domain of peptidase_M16","Y",295146,"A",-0.00802893,"A","A","A"
"17","g14384",3.54958866345417,7.95246613066988,19.4477207330578,1.00044664708916e-16,1.1033749521338e-13,"scaffold_24",4282,"RPC2_DROME","A0A482X4H9","Ulp1 protease family, C-terminal catalytic domain,RNA polymerase Rpb2, domain 6,RNA polymerase Rpb2, domain 2,RNA polymerase Rpb2, domain 5,RNA polymerase Rpb2, domain 3,RNA polymerase beta subunit,RNA polymerase Rpb2, domain 7,RNA polymerase Rpb2, domain 4","Y",1928806,"A",-0.074834814,"A","A","A"
"18","g21687",8.85326465194823,5.11136670266167,19.0371511747647,1.64530793796555e-16,1.71377102938422e-13,"scaffold_9",893,NA,NA,NA,"N",2791333,"A",0.15502902,"A","A","A"
"19","g15778",8.42655786376966,6.1439744323854,18.969440486054,1.78398677591203e-16,1.76041937166183e-13,"scaffold_59",355,NA,NA,NA,"N",1359663,"A",-0.669052076,"A","A","A"
"20","g10981",11.3247549323884,4.92321502949762,18.3424993301368,3.91223890542844e-16,3.66752836189389e-13,"scaffold_1",860,NA,NA,NA,"N",4205925,"A",-0.407990297,"A","A","A"
"21","g17480",8.48353279026635,4.52476443766004,18.2746072030349,4.20747671923423e-16,3.75647528613917e-13,"scaffold_41",1700,NA,NA,"Domain of unknown function (DUF4485)","Y",1577355,"A",0.165155028,"A","A","A"
"22","g21148",9.3029737711718,-1.33460557585886,18.2394772097828,4.40866935824357e-16,3.75718826353222e-13,"scaffold_1765",494,NA,NA,NA,"N",9438,"A",-1.353215369,"A","A","A"
"23","g15581",9.90115362696312,5.30590329307752,17.7087961601131,8.6857162288404e-16,7.08036928584907e-13,"scaffold_166",1718,NA,NA,NA,"N",818316,"A",0.308824859,"A","A","A"
"24","g18285",5.14643623986711,4.95902046637723,17.3091351464428,1.44833453232297e-15,1.13145100610514e-12,"scaffold_250",858,"TBA1_PNECA","M7AS14","Tubulin/FtsZ family, GTPase domain","Y",539725,"A",-0.363944797,"A","A","A"
"25","g18206",3.45673193961752,8.14743350170639,17.2440462955844,1.5778038545045e-15,1.1832897787242e-12,"scaffold_78",4710,NA,"J9LFM3",NA,"Y",1238903,"A",-0.410988649,"A","A","A"
"26","g5591",11.1868768854777,4.47056622644369,17.2230958004064,1.6482449699014e-15,1.18857480541082e-12,"scaffold_402",1751,NA,NA,NA,"N",314374,"A",-0.395076455,"A","A","A"
"27","g3313",9.19528414657026,-1.10860331638685,17.0420967704681,2.07567821085624e-15,1.44136632501273e-12,"scaffold_135",332,NA,NA,NA,"N",932943,"A",0.249686739,"A","A","A"
"28","g22861",5.66019409383989,6.04983803993908,16.814315429199,2.79902525967368e-15,1.8518656687401e-12,"scaffold_37",2004,"CENPJ_MOUSE",NA,"T-complex protein 10 C-terminus","Y",1648890,"A",-0.516653857,"A","A","A"
"29","g6988",7.40161561324344,8.04583449626496,16.798410838304,2.86437166747362e-15,1.8518656687401e-12,"scaffold_26",1301,"TBA2_CAEEL","C3YW48","Tubulin/FtsZ family, GTPase domain,Tubulin C-terminal domain","Y",1877544,"A",-0.164714665,"A","A","A"
"30","g3567",6.81218805959771,3.00822791326909,16.7298532066384,3.13985533410521e-15,1.92305873565876e-12,"scaffold_10",309,"GLRX2_MOUSE",NA,"Glutaredoxin","Y",2776264,"A",-0.506933192,"A","A","A"
"31","g9760",3.31331987363675,7.13079495336527,16.7197557617595,3.1796266897126e-15,1.92305873565876e-12,"scaffold_557",2378,"PDXD1_HUMAN","A0A482XU15","F-box-like","Y",184046,"A",0.363599236,"A","A","A"
"32","g15701",9.23382056939981,4.6230563780282,16.5047133681724,4.29030206118741e-15,2.47484915386908e-12,"scaffold_493",1196,NA,NA,NA,"N",227342,"A",-0.264036686,"A","A","A"
"33","g6570",4.38975468326746,9.03587752124359,16.4886793688277,4.35596682904047e-15,2.47484915386908e-12,"scaffold_52",7712,NA,"A0A2J7PZL8",NA,"Y",1435599,"A",-0.134785629,"A","A","A"
"34","g15569",12.4382616945583,3.55432152915804,16.4484328132458,4.71895908873899e-15,2.6022283516108e-12,"scaffold_166",1592,NA,NA,NA,"N",818316,"A",0.308824859,"A","A","A"
"35","g9979",13.9464022781825,2.42257460900227,16.4264278260804,4.9232511935165e-15,2.63731533220688e-12,"scaffold_53",1316,NA,NA,NA,"N",1421213,"A",0.153286275,"A","A","A"
"36","g12147",15.388504559105,2.78137037566606,16.3499553095783,5.54305359914373e-15,2.88685310917627e-12,"scaffold_563",872,NA,NA,NA,"N",181475,"A",-0.028364565,"A","A","A"
"37","g20359",3.0676095553634,6.57975185680352,16.252326937224,6.0335558790329e-15,3.05738213989157e-12,"scaffold_129",1076,"MAPK2_DROME","A0A182G249","Protein kinase domain","Y",951482,"A",0.005302338,"A","A","A"
"38","g17144",7.343767388513,5.517840024435,16.2113755044955,6.39832862912401e-15,3.15690167019595e-12,"scaffold_57",1652,"POLO_DROME","Q2M0V5","POLO box duplicated region,Protein kinase domain","Y",1361687,"A",-0.000589339,"A","A","A"
