,X1,gene,seq,gene_len,blast,diamond,interpro,anno,length,b.status.final,cov.04v13,b.status,b.status.asn,b.status.kmer
1,1,g10306,scaffold_765,274,NA,NA,NA,N,54856,A,0.243398552,A,A,A
2,2,g10350,scaffold_159,5634,NA,A0A3Q0JHJ8,"MULE transposase domain,GDSL-like Lipase/Acylhydrolase family",Y,848934,A,-0.157158057,A,A,A
3,3,g10729,scaffold_518,363,NA,NA,NA,N,209603,A,0.337176987,A,A,A
4,4,g10800,scaffold_270,710,NA,NA,NA,N,511095,A,-0.121600324,A,A,A
5,5,g11555,scaffold_65,677,NA,NA,NA,N,1324386,A,0.045272684,A,A,A
6,6,g1248,scaffold_485,472,NA,NA,NA,N,237609,A,0.255941722,A,A,A
7,7,g12841,scaffold_44,454,NA,NA,Uncharacterized conserved domain (SAYSvFN),Y,1539515,A,0.244409,A,A,A
8,8,g13042,scaffold_823,288,NA,NA,NA,N,41255,A,-0.307130469,A,A,A
9,9,g1324,scaffold_69,1942,NA,D6WEX8,Predicted AAA-ATPase,Y,1296325,A,0.352042127,A,A,A
10,10,g13388,scaffold_297,1084,NA,NA,NA,N,460796,A,-0.441019929,A,A,A
11,11,g13495,scaffold_143,1559,ERMP1_HUMAN,A0A067R1N3,Peptidase family M28,Y,907036,A,-0.57179311,A,A,A
12,12,g13497,scaffold_143,1513,NA,E0VQ39,NA,Y,907036,A,-0.57179311,A,A,A
13,13,g1438,scaffold_20,2439,THAP9_HUMAN,J9JTA4,Transposase protein,Y,2080048,A,-0.276802188,A,A,A
14,14,g15704,scaffold_493,3104,MCM9_XENTR,A0A067RI06,"MCM OB domain,MCM P-loop domain,MCM AAA-lid domain",Y,227342,A,-0.264038199,A,A,A
15,15,g15797,scaffold_1906,755,CBP_MOUSE,G5BVC5,TAZ zinc finger,Y,8069,A,0.4633885,A,A,A
16,16,g15798,scaffold_1906,1750,NA,NA,"BTB And C-terminal Kelch,BTB/POZ domain",Y,8069,A,0.4633885,A,A,A
17,17,g15894,scaffold_187,325,NA,NA,NA,N,753167,A,0.222681329,A,A,A
18,18,g16040,scaffold_225,683,NA,NA,Mitochondrial-associated sphingomyelin phosphodiesterase,Y,632046,A,-0.350678417,A,A,A
19,19,g16809,scaffold_8,226,NA,NA,NA,N,2847527,A,0.12592923,A,A,A
20,20,g17069,scaffold_2094,1988,NA,A0A482XLL5,NA,Y,6389,A,-0.3353438,A,A,A
21,21,g17070,scaffold_2094,680,NA,NA,NA,N,6389,A,-0.3353438,A,A,A
22,22,g17199,scaffold_57,698,NA,NA,NA,N,1361687,A,-0.000589509,A,A,A
23,23,g17204,scaffold_57,1121,DUT_HUMAN,A0A2A4JSL6,"dUTPase,Zinc knuckle,gag-polypeptide of LTR copia-type",Y,1361687,A,-0.000589509,A,A,A
24,24,g17218,scaffold_57,617,UDB14_RABIT,A0A2P8Z243,UDP-glucoronosyl and UDP-glucosyl transferase,Y,1361687,A,-0.000589509,A,A,A
25,25,g17219,scaffold_57,396,NA,K7J0S2,NA,Y,1361687,A,-0.000589509,A,A,A
26,26,g17277,scaffold_180,1238,NA,NA,NA,N,782579,A,-0.035907264,A,A,A
27,27,g17311,scaffold_811,2024,NA,J9KHS0,Transposase protein,Y,44050,A,-0.083854391,A,A,A
28,28,g17312,scaffold_811,288,NA,NA,NA,N,44050,A,-0.083854391,A,A,A
29,29,g17317,scaffold_390,1170,ZNF41_HUMAN,NA,"Zinc finger, C2H2 type,Zinc-finger of C2H2 type,C2H2-type zinc finger",Y,334945,A,-0.814214035,A,A,A
30,30,g17785,scaffold_965,2400,LFC_TACTR,J9KTP3,Trypsin,Y,26730,A,-1.610754561,A,A,A
31,31,g17872,scaffold_146,560,C4G15_DROME,NA,Cytochrome P450,Y,897096,A,-0.088357331,A,A,A
32,32,g17932,scaffold_226,1409,NA,NA,NA,N,631026,A,-0.69191933,A,A,A
33,33,g18023,scaffold_1231,335,NA,U4UG15,NA,Y,17812,A,-1.484324,A,A,A
