"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","gid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g10005.t1",6.44664958370807,-0.473865804064674,9.1456120541265,2.35336797896992e-09,2.71725008664258e-08,11.2660069356262,"g10005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","g10006.t1",7.46161530250252,1.46509943234417,7.09222161143072,2.25999386662233e-07,1.21171887593877e-06,7.14452450093551,"g10006","25fd2b3e27aa2de407d2582c8bfb4276",262,"SignalP_EUK","SignalP-noTM","",1,22,"-",TRUE,"27-07-2020","","",""
"3","g10009.t1",12.7524728956382,0.702667873566843,13.0680781134888,1.63904563889058e-12,8.36156698453832e-11,16.7895941315802,"g10009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","g10019.t1",0.701407407610294,4.85302158469302,9.29899869592315,1.71116178918021e-09,2.10549519253756e-08,11.4166779625345,"g10019","a8aaeb9ca60832b3f722ac2cf91ec884",403,"Pfam","PF01399","PCI domain",283,392,"7.1E-14",TRUE,"27-07-2020","IPR000717","Proteasome component (PCI) domain",""
"5","g10021.t1",1.5956793880018,4.52460151099026,10.7933992854173,8.95600509502255e-11,1.96993879411328e-09,14.5224459496399,"g10021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","g10034.t1",1.67522325922088,8.04050300441074,11.1230957400551,4.84344797777517e-11,1.20414309797281e-09,14.7744446666013,"g10034","6ab934068de4134cab231c1651b08420",722,"Pfam","PF12698","ABC-2 family transporter protein",335,704,"5.3E-25",TRUE,"27-07-2020","","",""
"7","g10034.t1",1.67522325922088,8.04050300441074,11.1230957400551,4.84344797777517e-11,1.20414309797281e-09,14.7744446666013,"g10034","6ab934068de4134cab231c1651b08420",722,"Pfam","PF00005","ABC transporter",72,206,"1.3E-28",TRUE,"27-07-2020","IPR003439","ABC transporter-like","GO:0005524|GO:0016887"
"8","g10036.t1",1.37278471451142,5.11484236022411,10.7979792570897,8.87908991209847e-11,1.95929382321573e-09,14.4151543989572,"g10036","ff83201ff0dfc0c59f4c3de2d10187ab",633,"Pfam","PF13639","Ring finger domain",153,201,"4.5E-7",TRUE,"27-07-2020","IPR001841","Zinc finger, RING-type",""
"9","g10038.t1",0.692128618300347,6.14114064136177,9.17372797310356,2.21933101493491e-09,2.59193995800382e-08,10.9608744125527,"g10038","e65ed79a445b6e0d002c35f7f3a6a30e",199,"Pfam","PF00179","Ubiquitin-conjugating enzyme",8,147,"3.6E-42",TRUE,"27-07-2020","IPR000608","Ubiquitin-conjugating enzyme E2",""
"10","g10042.t1",1.00507931371602,4.74061663062318,9.0602257041762,2.81389346671095e-09,3.10296117436665e-08,10.9469929275074,"g10042","49b2ebedee84333b4b6a92f45968970a",787,"SignalP_EUK","SignalP-noTM","",1,19,"-",TRUE,"27-07-2020","","",""
