"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","tid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","g100",1.27151700469228,2.27675813329487,5.5164749388365,1.04790029285231e-05,3.60695476238074e-05,3.1380970493005,"g100.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","g10000",-1.69569756214463,4.44009881859839,-6.0241269888664,2.92553981689885e-06,1.19657386620935e-05,3.94627048033745,"g10000.t1","0890440f5444913ec3431ae8f284a864",961,"SignalP_EUK","SignalP-noTM","",1,17,"-",TRUE,"27-07-2020","","",""
"3","g10000",-1.69569756214463,4.44009881859839,-6.0241269888664,2.92553981689885e-06,1.19657386620935e-05,3.94627048033745,"g10000.t1","0890440f5444913ec3431ae8f284a864",961,"Pfam","PF09820","Predicted AAA-ATPase",34,348,"2.0E-22",TRUE,"27-07-2020","IPR018631","AAA-ATPase-like domain",""
"4","g10000",-1.69569756214463,4.44009881859839,-6.0241269888664,2.92553981689885e-06,1.19657386620935e-05,3.94627048033745,"g10000.t1","0890440f5444913ec3431ae8f284a864",961,"Pfam","PF09820","Predicted AAA-ATPase",498,820,"1.8E-22",TRUE,"27-07-2020","IPR018631","AAA-ATPase-like domain",""
"5","g10005",6.29073914094405,-0.473867341843081,8.76878499391312,4.94588833513294e-09,5.80654103916139e-08,10.5900632244017,"g10005.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","g10006",7.38890565730668,1.46509789456577,6.79653044959881,4.41374565424708e-07,2.37933632177914e-06,6.4975823192217,"g10006.t1","25fd2b3e27aa2de407d2582c8bfb4276",262,"SignalP_EUK","SignalP-noTM","",1,22,"-",TRUE,"27-07-2020","","",""
"7","g10009",12.2708734864212,0.702666335788436,11.7353286039386,1.47114155840868e-11,5.48297935120448e-10,15.0566203222158,"g10009.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t2","ae88fdb1954204db3317104486273888",1309,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.7E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"9","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t3","e32ac3b3a2cb0e2607333b16ed0c8e52",1292,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.5E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"10","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t2","ae88fdb1954204db3317104486273888",1309,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"11","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t3","e32ac3b3a2cb0e2607333b16ed0c8e52",1292,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"12","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t1","d48872120ae9023087c499d47b3b2948",1331,"Pfam","PF07885","Ion channel",212,275,"2.3E-9",TRUE,"27-07-2020","IPR013099","Potassium channel domain",""
"13","g10013",1.04653944759344,3.90244408768923,7.46922636542621,9.00933885220658e-08,6.28174392487992e-07,7.57588051903745,"g10013.t1","d48872120ae9023087c499d47b3b2948",1331,"Pfam","PF03493","Calcium-activated BK potassium channel alpha subunit",430,531,"9.9E-30",TRUE,"27-07-2020","IPR003929","Calcium-activated potassium channel BK, alpha subunit","GO:0006813|GO:0016020"
"14","g10019",0.570469271570462,4.85302004691462,7.55680784342618,7.35694946802601e-08,5.36088012343644e-07,7.531098089714,"g10019.t1","a8aaeb9ca60832b3f722ac2cf91ec884",403,"Pfam","PF01399","PCI domain",283,392,"7.1E-14",TRUE,"27-07-2020","IPR000717","Proteasome component (PCI) domain",""
"15","g10021",1.33307127981071,4.52459997321186,8.87885957079348,3.90795268472815e-09,4.80775622611339e-08,10.6403657479866,"g10021.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","g10034",1.45940956831621,8.04050146663234,9.86970542524323,5.03368293496832e-10,8.99680851741859e-09,12.3437738548345,"g10034.t1","6ab934068de4134cab231c1651b08420",722,"Pfam","PF12698","ABC-2 family transporter protein",335,704,"5.3E-25",TRUE,"27-07-2020","","",""
"17","g10034",1.45940956831621,8.04050146663234,9.86970542524323,5.03368293496832e-10,8.99680851741859e-09,12.3437738548345,"g10034.t1","6ab934068de4134cab231c1651b08420",722,"Pfam","PF00005","ABC transporter",72,206,"1.3E-28",TRUE,"27-07-2020","IPR003439","ABC transporter-like","GO:0005524|GO:0016887"
"18","g10036",1.27027727139302,5.11484082244571,9.96378143138569,4.1706046589713e-10,7.70390805429092e-09,12.7827243146285,"g10036.t1","ff83201ff0dfc0c59f4c3de2d10187ab",633,"Pfam","PF13639","Ring finger domain",153,201,"4.5E-7",TRUE,"27-07-2020","IPR001841","Zinc finger, RING-type",""
"19","g10038",0.700246996515201,6.14113910358337,9.36902867004871,1.39566598690849e-09,2.0702010750433e-08,11.3775776809137,"g10038.t1","e65ed79a445b6e0d002c35f7f3a6a30e",199,"Pfam","PF00179","Ubiquitin-conjugating enzyme",8,147,"3.6E-42",TRUE,"27-07-2020","IPR000608","Ubiquitin-conjugating enzyme E2",""
"20","g1004",-3.10294585926561,-1.47056207278397,-5.58962502888722,8.70750742254787e-06,3.0629841775863e-05,3.66149999796436,"g1004.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","g10042",0.864219778137891,4.74061509284478,7.74450514797169,4.78173810785996e-08,3.78921419206536e-07,8.01211266728703,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01392","Fz domain",73,179,"1.5E-12",TRUE,"27-07-2020","IPR020067","Frizzled domain","GO:0005515"
"22","g10042",0.864219778137891,4.74061509284478,7.74450514797169,4.78173810785996e-08,3.78921419206536e-07,8.01211266728703,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"SignalP_EUK","SignalP-noTM","",1,19,"-",TRUE,"27-07-2020","","",""
"23","g10042",0.864219778137891,4.74061509284478,7.74450514797169,4.78173810785996e-08,3.78921419206536e-07,8.01211266728703,"g10042.t1","49b2ebedee84333b4b6a92f45968970a",787,"Pfam","PF01534","Frizzled/Smoothened family membrane region",224,550,"4.0E-63",TRUE,"27-07-2020","IPR000539","Frizzled/Smoothened, transmembrane domain","GO:0007166|GO:0016020"
"24","g10044",-0.448659116702002,8.99276851581745,-6.79112194383381,4.47152142208932e-07,2.40606579740515e-06,5.37377681368399,"g10044.t1","e2318b0ab490d69e294ea3affb5c90b1",330,"Pfam","PF01459","Eukaryotic porin",26,297,"2.9E-70",TRUE,"27-07-2020","IPR027246","Eukaryotic porin/Tom40","GO:0005741|GO:0055085"
"25","g10051",-4.6250234022799,2.24032882446693,-7.62195357922435,6.33180010734115e-08,4.74290532211503e-07,8.29368785521131,"g10051.t1","9dd6c863095d64995bf8911f720cf501",525,"SignalP_EUK","SignalP-noTM","",1,20,"-",TRUE,"27-07-2020","","",""
