"","seq","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer","gene","gene_len","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"976","scaffold_1124",20190,"B1",1.711547,"B.strict","A","B","g19189",2414,NA,NA,NA,NA,NA,NA,NA,"N"
"977","scaffold_1124",20190,"B1",1.711547,"B.strict","A","B","g19188",285,NA,NA,NA,NA,NA,NA,NA,"N"
"978","scaffold_1124",20190,"B1",1.711547,"B.strict","A","B","g19190",1792,NA,NA,NA,NA,NA,NA,NA,"N"
"1045","scaffold_1148",19549,"B1",1.88146,"B.strict","A","B","g16323",725,"KIF23_HUMAN","K7J331","PF00225","Kinesin motor domain","IPR001752","Kinesin motor domain","GO:0003777;GO:0005524;GO:0007018;GO:0008017","Y"
"1046","scaffold_1148",19549,"B1",1.88146,"B.strict","A","B","g16324",797,"KIF23_HUMAN","K7J331","PF00225","Kinesin motor domain","IPR001752","Kinesin motor domain","GO:0003777;GO:0005524;GO:0007018;GO:0008017","Y"
"1326","scaffold_1269",17142,"B1",1.907414,"B.strict","A","B","g12159",1076,NA,"A0A226CTZ9",NA,NA,NA,NA,NA,"Y"
"1327","scaffold_1269",17142,"B1",1.907414,"B.strict","A","B","g12160",1038,NA,"A0A226DDY8","PF05699","hAT family C-terminal dimerisation region","IPR008906","HAT, C-terminal dimerisation domain","GO:0046983","Y"
"1328","scaffold_1269",17142,"B1",1.907414,"B.strict","A","B","g12161",369,NA,NA,NA,NA,NA,NA,NA,"N"
"1329","scaffold_1271",17114,"B1",2.013767,"B.strict","A","B","g4788",222,NA,NA,NA,NA,NA,NA,NA,"N"
"2887","scaffold_1768",9394,"B1",0.4527596,"B.strict","B","B","g23391",2182,NA,"J9LQI3",NA,NA,NA,NA,NA,"Y"
"7479","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20107",596,NA,NA,NA,NA,NA,NA,NA,"N"
"7480","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20086",742,NA,NA,NA,NA,NA,NA,NA,"N"
"7481","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20097",552,NA,"T1HLH9",NA,NA,NA,NA,NA,"Y"
"7482","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20084",1170,NA,"A0A0J7N8Y6","PF17921","Integrase zinc binding domain","IPR041588","Integrase zinc-binding domain",NA,"Y"
"7483","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20087",737,NA,NA,NA,NA,NA,NA,NA,"N"
"7484","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20095",928,NA,NA,NA,NA,NA,NA,NA,"N"
"7485","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20111",965,NA,NA,"PF07679","Immunoglobulin I-set domain","IPR013098","Immunoglobulin I-set",NA,"Y"
"7486","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20106",1316,"YMD2_CAEEL","A0A151IDY8",NA,NA,NA,NA,NA,"Y"
"7487","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20089",1599,NA,NA,NA,NA,NA,NA,NA,"N"
"7488","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20114",569,NA,NA,NA,NA,NA,NA,NA,"N"
"7489","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20096",526,NA,NA,NA,NA,NA,NA,NA,"N"
"7490","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20113",227,NA,NA,NA,NA,NA,NA,NA,"N"
"7491","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20103",842,NA,"J9L5G6",NA,NA,NA,NA,NA,"Y"
"7492","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20083",563,NA,NA,NA,NA,NA,NA,NA,"N"
"7493","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20088",677,NA,NA,NA,NA,NA,NA,NA,"N"
"7494","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20104",1025,NA,NA,NA,NA,NA,NA,NA,"N"
"7495","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20099",1158,NA,NA,NA,NA,NA,NA,NA,"N"
"7496","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20090",686,NA,NA,"PF03564","Protein of unknown function (DUF1759)","IPR005312","Protein of unknown function DUF1759",NA,"Y"
"7497","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20091",1279,NA,NA,NA,NA,NA,NA,NA,"N"
"7498","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20112",971,NA,NA,"PF00047","Immunoglobulin domain","IPR013151","Immunoglobulin",NA,"Y"
