seq	length	PV04.asn	PV13.asn	PV21.asn	PV23.asn	b.status.asn	A.lo	B.lo	A.st	B.st	AB.ratio.st	AB.ratio.lo	b.status.kmer	b.status.old.final	norm_cov_PV04	norm_cov_PV13	norm_cov_PV21	norm_cov_PV23	fraction_of_B_windows	cov.b.status	b.status.final	assignment_changes
scaffold_1	4205925	Y	Y	Y	Y	A	3781153	370230	3903178	248205	-3.97503973042058	-3.35232900463758	A	A	2.05214463459866	2.09536328921468	2.06606433786856	2.08394262678296	0.0071	A	A	A -> A
scaffold_2	3312200	Y	Y	Y	Y	A	3230050	50564	3244550	36064	-6.49127560939685	-5.99727400586619	A	A	2.05646386571001	2.04548798609712	2.14434242547441	2.1297435330203	0	A	A	A -> A
scaffold_3	3189128	Y	Y	Y	Y	A	3008101	158307	3102127	64281	-5.59269958970665	-4.24804741920099	A	A	2.08999051436298	1.99514890557853	2.13027356563089	2.11014268151815	0	A	A	A -> A
scaffold_4	3039205	Y	Y	Y	Y	A	2586546	424703	2736391	274858	-3.31551129238181	-2.60649780527857	A	A	2.01732410455789	2.07469967628154	1.95106550329456	1.92992376528574	0.0099	A	A	A -> A
scaffold_5	2912966	Y	Y	Y	Y	A	2539950	360553	2686350	214153	-3.64892729089164	-2.81651341270392	A	A	2.11051996460358	2.21994956008932	2.09642068779656	2.08959872492198	0	A	A	A -> A
scaffold_6	2881478	Y	Y	Y	Y	A	2789743	60904	2849546	1101	-11.336392649224	-5.51742825829828	A	A	2.0245081187239	2.01852188675208	2.06305000763716	2.05833442464881	0	A	A	A -> A
scaffold_7	2872801	Y	Y	Y	Y	A	2794333	59026	2848253	5106	-9.12338603350336	-5.56498564285683	A	A	2.23065553272151	2.13151710727113	2.11194454722353	2.20569445802129	0	A	A	A -> A
scaffold_8	2847527	Y	Y	Y	Y	A	2614795	201096	2700208	115683	-4.54480983086439	-3.70073493077678	A	A	1.99116913297451	1.94756396514281	1.99119319245466	1.9831450667595	0	A	A	A -> A
scaffold_9	2791333	Y	Y	Y	Y	A	2428827	349012	2585197	192642	-3.74627311124212	-2.79890764772644	A	A	2.2519659848625	2.19095896137025	2.06252000017035	2.11284188635946	0.0036	A	A	A -> A
scaffold_10	2776264	Y	Y	Y	Y	A	2432787	321074	2589795	164066	-3.9804814670135	-2.92162836387498	A	A	1.82317180544175	1.95197559664526	1.86927823798377	1.85220283083721	0	A	A	A -> A
scaffold_11	2599874	Y	Y	Y	Y	A	2413648	161783	2482293	93138	-4.73614479393431	-3.89907504905436	A	A	2.04341617834524	2.01491398596044	2.03092531259868	2.01345947686944	0.0038	A	A	A -> A
scaffold_12	2392395	Y	Y	Y	Y	A	2227823	116760	2259067	85516	-4.72337264446082	-4.25400488595333	A	A	1.95935440634599	1.95124776639397	2.05501501061791	2.0207063355002	0.025	A	A	A -> A
