gene	seq	b.status.final
g1	scaffold_1617	A
g10	scaffold_93	A
g100	scaffold_360	B-A
g1000	scaffold_832	A
g10000	scaffold_53	A
g10001	scaffold_53	A
g10002	scaffold_53	A
g10003	scaffold_53	A
g10004	scaffold_53	A
g10005	scaffold_53	A
g10006	scaffold_53	A
g10007	scaffold_53	A
g10008	scaffold_53	A
g10009	scaffold_53	A
g1001	scaffold_197	A
g10010	scaffold_53	A
g10011	scaffold_53	A
g10012	scaffold_53	A
g10013	scaffold_53	A
g10014	scaffold_53	A
g10015	scaffold_53	A
g10016	scaffold_53	A
g10017	scaffold_53	A
g10018	scaffold_53	A
g10019	scaffold_53	A
g1002	scaffold_197	A
g10020	scaffold_53	A
g10021	scaffold_53	A
g10022	scaffold_53	A
g10023	scaffold_53	A
g10024	scaffold_53	A
g10025	scaffold_53	A
g10026	scaffold_53	A
g10027	scaffold_53	A
g10028	scaffold_53	A
g10029	scaffold_53	A
g1003	scaffold_197	A
g10030	scaffold_53	A
g10031	scaffold_53	A
g10032	scaffold_53	A
g10033	scaffold_53	A
g10034	scaffold_53	A
g10035	scaffold_53	A
g10036	scaffold_53	A
g10037	scaffold_53	A
g10038	scaffold_53	A
g10039	scaffold_53	A
g1004	scaffold_197	A
g10040	scaffold_53	A
g10041	scaffold_53	A
g10042	scaffold_53	A
g10043	scaffold_53	A
g10044	scaffold_53	A
g10045	scaffold_53	A
g10046	scaffold_53	A
g10047	scaffold_53	A
g10048	scaffold_53	A
g10049	scaffold_53	A
g1005	scaffold_197	A
g10050	scaffold_130	A
g10051	scaffold_130	A
g10052	scaffold_130	A
g10053	scaffold_130	A
g10054	scaffold_130	A
g10055	scaffold_130	A
g10056	scaffold_130	A
g10057	scaffold_130	A
g10058	scaffold_130	A
g10059	scaffold_130	A
g1006	scaffold_197	A
g10060	scaffold_130	A
g10061	scaffold_130	A
g10062	scaffold_130	A
g10063	scaffold_130	A
g10064	scaffold_130	A
g10065	scaffold_130	A
g10066	scaffold_130	A
g10067	scaffold_130	A
g10068	scaffold_130	A
g10069	scaffold_130	A
g1007	scaffold_197	A
g10070	scaffold_130	A
g10071	scaffold_130	A
g10072	scaffold_130	A
g10073	scaffold_130	A
g10074	scaffold_130	A
g10075	scaffold_130	A
g10076	scaffold_130	A
g10077	scaffold_130	A
g10078	scaffold_130	A
g10079	scaffold_130	A
g1008	scaffold_197	A
g10080	scaffold_130	A
g10081	scaffold_130	A
g10082	scaffold_130	A
g10083	scaffold_130	A
g10084	scaffold_130	A
g10085	scaffold_130	A
g10086	scaffold_130	A
g10087	scaffold_130	A
g10088	scaffold_130	A
g10089	scaffold_130	A
g1009	scaffold_197	A
g10090	scaffold_130	A
g10091	scaffold_130	A
g10092	scaffold_130	A
g10093	scaffold_130	A
g10094	scaffold_130	A
g10095	scaffold_130	A
g10096	scaffold_130	A
g10097	scaffold_130	A
g10098	scaffold_130	A
g10099	scaffold_130	A
g101	scaffold_360	B-A
g1010	scaffold_197	A
g10100	scaffold_130	A
g10101	scaffold_130	A
g10102	scaffold_130	A
g10103	scaffold_130	A
g10104	scaffold_130	A
g10105	scaffold_130	A
g10106	scaffold_130	A
g10107	scaffold_130	A
g10108	scaffold_130	A
g10109	scaffold_130	A
g1011	scaffold_197	A
g10110	scaffold_130	A
g10111	scaffold_130	A
g10112	scaffold_130	A
g10113	scaffold_130	A
g10114	scaffold_130	A
g10115	scaffold_130	A
g10116	scaffold_130	A
g10117	scaffold_130	A
g10118	scaffold_130	A
g10119	scaffold_130	A
g1012	scaffold_197	A
g10120	scaffold_130	A
g10121	scaffold_130	A
g10122	scaffold_130	A
g10123	scaffold_130	A
g10124	scaffold_130	A
g10125	scaffold_130	A
g10126	scaffold_130	A
g10127	scaffold_130	A
g10128	scaffold_130	A
g10129	scaffold_130	A
g1013	scaffold_197	A
g10130	scaffold_130	A
g10131	scaffold_130	A
g10132	scaffold_130	A
g10133	scaffold_130	A
g10134	scaffold_1094	A
g10135	scaffold_128	A
g10136	scaffold_128	A
g10137	scaffold_128	A
g10138	scaffold_128	A
g10139	scaffold_128	A
g1014	scaffold_197	A
g10140	scaffold_128	A
g10141	scaffold_128	A
g10142	scaffold_128	A
g10143	scaffold_128	A
g10144	scaffold_128	A
g10145	scaffold_128	A
g10146	scaffold_128	A
g10147	scaffold_128	A
g10148	scaffold_128	A
g10149	scaffold_128	A
g1015	scaffold_197	A
g10150	scaffold_128	A
g10151	scaffold_128	A
g10152	scaffold_128	A
g10153	scaffold_128	A
g10154	scaffold_128	A
g10155	scaffold_128	A
g10156	scaffold_128	A
g10157	scaffold_128	A
g10158	scaffold_128	A
g10159	scaffold_128	A
g1016	scaffold_197	A
g10160	scaffold_128	A
g10161	scaffold_128	A
g10162	scaffold_128	A
g10163	scaffold_128	A
g10164	scaffold_128	A
g10165	scaffold_128	A
g10166	scaffold_128	A
g10167	scaffold_128	A
g10168	scaffold_128	A
g10169	scaffold_128	A
g1017	scaffold_197	A
g10170	scaffold_128	A
g10171	scaffold_128	A
g10172	scaffold_128	A
g10173	scaffold_128	A
g10174	scaffold_128	A
g10175	scaffold_128	A
g10176	scaffold_128	A
g10177	scaffold_128	A
g10178	scaffold_128	A
g10179	scaffold_128	A
g1018	scaffold_197	A
g10180	scaffold_128	A
g10181	scaffold_128	A
g10182	scaffold_128	A
g10183	scaffold_128	A
g10184	scaffold_128	A
g10185	scaffold_128	A
g10186	scaffold_128	A
g10187	scaffold_735	A
g10188	scaffold_735	A
g10189	scaffold_735	A
g1019	scaffold_197	A
g10190	scaffold_735	A
g10191	scaffold_735	A
g10192	scaffold_72	A
g10193	scaffold_72	A
g10194	scaffold_72	A
g10195	scaffold_72	A
g10196	scaffold_72	A
g10197	scaffold_72	A
g10198	scaffold_72	A
g10199	scaffold_72	A
g102	scaffold_360	B-A
g1020	scaffold_197	A
g10200	scaffold_72	A
g10201	scaffold_72	A
g10202	scaffold_72	A
g10203	scaffold_72	A
g10204	scaffold_72	A
g10205	scaffold_72	A
g10206	scaffold_72	A
g10207	scaffold_72	A
g10208	scaffold_72	A
g10209	scaffold_72	A
g1021	scaffold_197	A
g10210	scaffold_72	A
g10211	scaffold_72	A
g10212	scaffold_72	A
g10213	scaffold_72	A
g10214	scaffold_72	A
g10215	scaffold_72	A
g10216	scaffold_72	A
g10217	scaffold_72	A
g10218	scaffold_72	A
g10219	scaffold_72	A
g1022	scaffold_197	A
g10220	scaffold_72	A
g10221	scaffold_72	A
g10222	scaffold_72	A
g10223	scaffold_72	A
g10224	scaffold_72	A
g10225	scaffold_72	A
g10226	scaffold_72	A
g10227	scaffold_72	A
g10228	scaffold_72	A
g10229	scaffold_72	A
g1023	scaffold_197	A
g10230	scaffold_72	A
